index,회사명,거래소코드,회계년도,상장일,상장폐지일,부실기업1,부실기업2,부실기업,이자보상배율,매출액증가율
13893,영진약품(주),3520.0,201212.0,197306.0,,0,0,0,2.35,22.820406407447987
13894,영진약품(주),3520.0,201312.0,197306.0,,0,0,0,5.83,13.751545518721985
13895,영진약품(주),3520.0,201412.0,197306.0,,0,0,0,10.56,6.989229012249777
13896,영진약품(주),3520.0,201512.0,197306.0,,0,0,0,5.8,1.5718323180017812
13897,영진약품(주),3520.0,201612.0,197306.0,,0,0,0,6.93,13.472441790512525
13898,영진약품(주),3520.0,201712.0,197306.0,,0,0,0,6.54,0.9708261761856944
13899,영진약품(주),3520.0,201812.0,197306.0,,0,0,0,-8.02,-4.410137351358219
13900,영진약품(주),3520.0,201912.0,197306.0,,0,0,0,3.933333333333333,18.297217357716622
13901,영진약품(주),3520.0,202012.0,197306.0,,0,0,0,1.51,-5.465651490276283
13902,영풍정밀(주),36560.0,201112.0,199912.0,,0,0,0,547.21,9.331627798277346
13903,영풍정밀(주),36560.0,201212.0,199912.0,,0,0,0,360.65,1.2478759461325952
13904,영풍정밀(주),36560.0,201312.0,199912.0,,0,0,0,279.61,-17.53418581516683
13905,영풍정밀(주),36560.0,201412.0,199912.0,,0,0,0,311.27,-13.624319039715852
13906,영풍정밀(주),36560.0,201512.0,199912.0,,0,0,0,63.26,-14.812551211408366
13907,영풍정밀(주),36560.0,201612.0,199912.0,,0,0,0,1650.67,-16.68272925690203
13908,영풍정밀(주),36560.0,201712.0,199912.0,,0,0,0,639.4175,8.678457425656969
13909,영풍정밀(주),36560.0,201812.0,199912.0,,0,0,0,639.4175,0.0690311626326245
13910,영풍정밀(주),36560.0,201912.0,199912.0,,0,0,0,774.23,13.773789843522149
13911,영풍정밀(주),36560.0,202012.0,199912.0,,0,0,0,1128.44,21.137715846328945
13912,영풍제지(주),6740.0,201112.0,199607.0,,0,0,0,27.47,8.655473099489347
13913,영풍제지(주),6740.0,201212.0,199607.0,,0,0,0,80.78,-1.928327123902409
13914,영풍제지(주),6740.0,201312.0,199607.0,,0,0,0,8.03,-16.807969368526816
13915,영풍제지(주),6740.0,201412.0,199607.0,,0,0,0,2.63,-11.918003404906138
13916,영풍제지(주),6740.0,201512.0,199607.0,,0,0,0,-5.97,-7.604005913425245
13917,영풍제지(주),6740.0,201612.0,199607.0,,0,0,0,1.68,13.945885573783556
13918,영풍제지(주),6740.0,201712.0,199607.0,,0,0,0,5.79,20.06467967265551
13919,영풍제지(주),6740.0,201812.0,199607.0,,0,0,0,36.81,5.862818209551897
13920,영풍제지(주),6740.0,201912.0,199607.0,,0,0,0,32.49,-10.381907126451168
13921,영풍제지(주),6740.0,202012.0,199607.0,,0,0,0,43.4,-1.523357696528779
13922,영화금속(주),12280.0,201112.0,199001.0,,0,0,0,2.87,16.505338454956398
13923,영화금속(주),12280.0,201212.0,199001.0,,0,0,0,3.6,-3.914503673490705
13924,영화금속(주),12280.0,201312.0,199001.0,,0,0,0,4.0,-3.791348947156615
13925,영화금속(주),12280.0,201412.0,199001.0,,0,0,0,8.77,-3.1737866417650022
13926,영화금속(주),12280.0,201512.0,199001.0,,0,0,0,18.69,4.002832588811619
13927,영화금속(주),12280.0,201612.0,199001.0,,0,0,0,13.13,-6.18441062803761
13928,영화금속(주),12280.0,201712.0,199001.0,,0,0,0,4.13,15.391729879770082
13929,영화금속(주),12280.0,201812.0,199001.0,,0,0,0,0.41,25.64967274818868
13930,영화금속(주),12280.0,201912.0,199001.0,,1,0,1,0.64,2.5924575354078034
13931,영화금속(주),12280.0,202012.0,199001.0,,1,0,1,-2.36,-22.88105112367334
13932,영화테크(주),265560.0,201712.0,201710.0,,0,0,0,47.02,-3.6183625184382016
13933,영화테크(주),265560.0,201812.0,201710.0,,0,0,0,48.85,-9.581126778773635
13934,영화테크(주),265560.0,201912.0,201710.0,,0,0,0,-30.83,-16.67693027835749
13935,영화테크(주),265560.0,202012.0,201710.0,,0,0,0,1.07,-21.35737221988097
13936,예스이십사(주),53280.0,201112.0,200805.0,,0,0,0,241.54,5.671627596258842
13937,예스이십사(주),53280.0,201212.0,200805.0,,0,0,0,76704.04,-4.2871715718083685
13938,예스이십사(주),53280.0,201312.0,200805.0,,0,0,0,24.91,-2.831498417831926
13939,예스이십사(주),53280.0,201412.0,200805.0,,0,0,0,15.49,25.89810185387603
13940,예스이십사(주),53280.0,201512.0,200805.0,,0,0,0,26.11,-12.711629948466417
13941,예스이십사(주),53280.0,201612.0,200805.0,,0,0,0,6.7,15.93415117971556
13942,예스이십사(주),53280.0,201712.0,200805.0,,0,0,0,-1.49,8.50887566812968
13943,예스이십사(주),53280.0,201812.0,200805.0,,0,0,0,-2.73,10.867452208528064
13944,예스이십사(주),53280.0,201912.0,200805.0,,0,0,0,6.12,5.248269159613113
13945,예스이십사(주),53280.0,202012.0,200805.0,,0,0,0,7.42,15.495484520524174
13946,오로라월드(주),39830.0,201112.0,200101.0,,0,0,0,1.93,0.4273943376112334
13947,오로라월드(주),39830.0,201212.0,200101.0,,0,0,0,2.43,8.954090604712567
13948,오로라월드(주),39830.0,201312.0,200101.0,,0,0,0,4.25,18.120817592436588
13949,오로라월드(주),39830.0,201412.0,200101.0,,0,0,0,7.82,3.056854658085629
13950,오로라월드(주),39830.0,201512.0,200101.0,,0,0,0,7.37,-0.559712647129242
13951,오로라월드(주),39830.0,201612.0,200101.0,,0,0,0,6.58,17.247817759120224
13952,오로라월드(주),39830.0,201712.0,200101.0,,0,0,0,6.53,0.1562109680494563
13953,오로라월드(주),39830.0,201812.0,200101.0,,0,0,0,3.99,2.235017381227144
13954,오로라월드(주),39830.0,201912.0,200101.0,,0,0,0,3.24,6.981031567344767
13955,오로라월드(주),39830.0,202012.0,200101.0,,0,0,0,3.29,-9.853579163103138
13956,오상자이엘(주),53980.0,201112.0,200204.0,,0,0,0,5.81,7.634333962568338
13957,오상자이엘(주),53980.0,201212.0,200204.0,,0,0,0,12.07,15.10766310237835
13958,오상자이엘(주),53980.0,201312.0,200204.0,,0,0,0,9.32,8.139790346330567
13959,오상자이엘(주),53980.0,201412.0,200204.0,,0,0,0,6.46,11.251902803043237
13960,오상자이엘(주),53980.0,201512.0,200204.0,,0,0,0,3.8,0.3739345367377691
13961,오상자이엘(주),53980.0,201612.0,200204.0,,0,0,0,-0.24,6.275223287892952
13962,오상자이엘(주),53980.0,201712.0,200204.0,,0,0,0,3.14,10.184359675577898
13963,오상자이엘(주),53980.0,201812.0,200204.0,,0,0,0,-2.65,-3.346191397162778
13964,오상자이엘(주),53980.0,201912.0,200204.0,,1,0,1,-5.78,14.698769788736865
13965,오상자이엘(주),53980.0,202012.0,200204.0,,1,0,1,-14.78,-7.065909678118909
13966,오성첨단소재(주),52420.0,201112.0,200108.0,,0,0,0,0.3,9.63383798563508
13967,오성첨단소재(주),52420.0,201212.0,200108.0,,0,0,0,-2.23,-47.13939871350709
13968,오성첨단소재(주),52420.0,201312.0,200108.0,,0,0,0,-1.04,28.501907399054165
13969,오성첨단소재(주),52420.0,201412.0,200108.0,,0,0,0,-2.34,-13.409099944362794
13970,오성첨단소재(주),52420.0,201512.0,200108.0,,0,0,0,0.29,-56.34203155315179
13971,오성첨단소재(주),52420.0,201612.0,200108.0,,0,0,0,-0.78,-11.591273231543342
13972,오성첨단소재(주),52420.0,201712.0,200108.0,,0,0,0,0.53,-0.6203080481113221
13973,오성첨단소재(주),52420.0,201812.0,200108.0,,0,0,0,0.5,-1.3097699220542658
13974,오성첨단소재(주),52420.0,201912.0,200108.0,,0,0,0,4.98,51.01789848434222
