회사명,거래소코드,회계년도,상장일,상장폐지일,부실기업1,부실기업2,부실기업,이자보상배율,매출액증가율
(주)가비아,79940.0,201812.0,200510.0,,0,0,0,62.3,10.764686495349284
(주)가비아,79940.0,201912.0,200510.0,,0,0,0,34.25,15.20910243624645
(주)가비아,79940.0,202012.0,200510.0,,0,0,0,58.63,13.983219982555362
(주)강원랜드,35250.0,201112.0,200309.0,,0,0,0,1142.61,-3.683470628982105
(주)강원랜드,35250.0,201212.0,200309.0,,0,0,0,565.68,2.4101386723808784
(주)강원랜드,35250.0,201312.0,200309.0,,0,0,0,1421.81,5.022050284319816
(주)강원랜드,35250.0,201412.0,200309.0,,0,0,0,2073.72,9.93580949072122
(주)강원랜드,35250.0,201512.0,200309.0,,0,0,0,2623.81,9.166161005761284
(주)강원랜드,35250.0,201612.0,200309.0,,0,0,0,836.02,3.844954676383794
(주)강원랜드,35250.0,201712.0,200309.0,,0,0,0,2241.82,-5.426507031435249
(주)강원랜드,35250.0,201812.0,200309.0,,0,0,0,1834.66,-10.371695967862737
(주)강원랜드,35250.0,201912.0,200309.0,,0,0,0,255.56,5.7035999876386185
(주)강원랜드,35250.0,202012.0,200309.0,,0,0,0,-230.09,-68.51621463095339
(주)강원에너지,114190.0,201212.0,200911.0,,0,0,0,58.37,111.99737761019418
(주)강원에너지,114190.0,201312.0,200911.0,,0,0,0,18.11,-52.41844523346939
(주)강원에너지,114190.0,201412.0,200911.0,,0,0,0,39.01,1.6199197092955304
(주)강원에너지,114190.0,201512.0,200911.0,,0,0,0,187.51,-10.280732695262424
(주)강원에너지,114190.0,201612.0,200911.0,,0,0,0,-241.54,-8.446208792702903
(주)강원에너지,114190.0,201712.0,200911.0,,1,0,1,-26.56,93.9932163834902
(주)강원에너지,114190.0,201812.0,200911.0,,1,0,1,0.2,4.718161843184923
(주)강원에너지,114190.0,201912.0,200911.0,,1,0,1,-8.38,-50.46919130138146
(주)강원에너지,114190.0,202012.0,200911.0,,1,0,1,-19.76,-9.881300473127586
(주)갤럭시아에스엠,11420.0,201112.0,198911.0,,0,0,0,6.31,10.833538149472446
(주)갤럭시아에스엠,11420.0,201212.0,198911.0,,0,0,0,3.79,16.306934925076312
(주)갤럭시아에스엠,11420.0,201312.0,198911.0,,0,0,0,1.9,-15.644813675023888
(주)갤럭시아에스엠,11420.0,201412.0,198911.0,,0,0,0,-0.88,-5.494311211520807
(주)갤럭시아에스엠,11420.0,201512.0,198911.0,,0,0,0,5.69,42.35269765724723
(주)갤럭시아에스엠,11420.0,201612.0,198911.0,,0,0,0,-18.76,-15.761147651662672
(주)갤럭시아에스엠,11420.0,201712.0,198911.0,,1,1,1,-35.52,-29.15850432362461
(주)갤럭시아에스엠,11420.0,201812.0,198911.0,,1,1,1,-157.86,-40.82710411230516
(주)갤럭시아에스엠,11420.0,201912.0,198911.0,,1,1,1,-8.95,30.245426502214624
(주)갤럭시아에스엠,11420.0,202012.0,198911.0,,1,1,1,18.6,-31.995223974764063
(주)경농,2100.0,201112.0,197706.0,,0,0,0,4.52,-15.232688754131784
(주)경농,2100.0,201212.0,197706.0,,0,0,0,5.6,12.961960182544678
(주)경농,2100.0,201312.0,197706.0,,0,0,0,4.81,43.35862474978088
(주)경농,2100.0,201412.0,197706.0,,0,0,0,4.53,-4.010922303150203
(주)경농,2100.0,201512.0,197706.0,,0,0,0,3.96,4.210224163967296
(주)경농,2100.0,201612.0,197706.0,,0,0,0,3.5,3.852091789015416
(주)경농,2100.0,201712.0,197706.0,,0,0,0,2.8,1.2498192329777835
(주)경농,2100.0,201812.0,197706.0,,0,0,0,5.16,2.9633008028658394
(주)경농,2100.0,201912.0,197706.0,,0,0,0,2.2,6.986128121544617
(주)경농,2100.0,202012.0,197706.0,,0,0,0,5.1,9.135641085498388
(주)경동나비엔,9450.0,201112.0,199308.0,,0,0,0,12.0,10.834809677162518
(주)경동나비엔,9450.0,201212.0,199308.0,,0,0,0,11.7,11.0674529551867
(주)경동나비엔,9450.0,201312.0,199308.0,,0,0,0,14.4,9.27756731178813
(주)경동나비엔,9450.0,201412.0,199308.0,,0,0,0,4.93,3.5752306157039
(주)경동나비엔,9450.0,201512.0,199308.0,,0,0,0,6.98,19.358645253550783
(주)경동나비엔,9450.0,201612.0,199308.0,,0,0,0,25.05,13.909659241024256
(주)경동나비엔,9450.0,201712.0,199308.0,,0,0,0,30.33,17.386635077945538
(주)경동나비엔,9450.0,201812.0,199308.0,,0,0,0,11.32,6.1462036805668125
(주)경동나비엔,9450.0,201912.0,199308.0,,0,0,0,11.06,6.542777793177565
(주)경동나비엔,9450.0,202012.0,199308.0,,0,0,0,16.97,12.801175900466449
(주)경동도시가스,267290.0,201812.0,201705.0,,0,0,0,98.82,84.33079342738972
(주)경동도시가스,267290.0,201912.0,201705.0,,0,0,0,29.28,-11.442289803019513
(주)경동도시가스,267290.0,202012.0,201705.0,,0,0,0,18.35,-23.608305144393896
(주)경동인베스트,12320.0,201112.0,199703.0,,0,0,0,11.03,29.797796749255177
(주)경동인베스트,12320.0,201212.0,199703.0,,0,0,0,17.71,35.44878624694399
(주)경동인베스트,12320.0,201312.0,199703.0,,0,0,0,27.91,11.412816576781765
(주)경동인베스트,12320.0,201412.0,199703.0,,0,0,0,20.25,-6.642315675961832
(주)경동인베스트,12320.0,201512.0,199703.0,,0,1,1,-4.35,-38.373719295000335
(주)경동인베스트,12320.0,201612.0,199703.0,,0,1,1,7.92,-26.323035874233064
(주)경동인베스트,12320.0,201712.0,199703.0,,0,1,1,9.05,-83.49526831625134
(주)경동인베스트,12320.0,201812.0,199703.0,,0,1,1,10.67,17.21135042190193
(주)경동인베스트,12320.0,201912.0,199703.0,,0,1,1,5.29,18.859452241251745
(주)경동인베스트,12320.0,202012.0,199703.0,,0,1,1,6.48,14.265251019699832
(주)경방,50.0,201112.0,195603.0,,0,0,0,1.15,4.310769767247598
(주)경방,50.0,201212.0,195603.0,,0,0,0,0.36,-4.169505484788922
(주)경방,50.0,201312.0,195603.0,,0,0,0,2.58,4.067118967796744
(주)경방,50.0,201412.0,195603.0,,0,0,0,2.47,-5.228710233189933
(주)경방,50.0,201512.0,195603.0,,0,0,0,3.9,8.689663441501054
(주)경방,50.0,201612.0,195603.0,,0,0,0,5.54,5.541193337730191
(주)경방,50.0,201712.0,195603.0,,0,0,0,6.35,-4.412897886135271
