회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,총자본정상영업이익률,유보율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,타인자본회전률,순운전자본회전률,시장구분
동원수산(주),030720,201312,199611,,1,0,1,"농업, 임업 및 어업",0,-0.1843397604927698,-4.874182993897838,-2.185714285714285,-0.635541243970828,-1.11787072243346,-1.7966850828729282,-0.3476190476190477,-0.0819672131147538,KOSPI
한국정보통신(주),025770,201312,199801,,0,0,0,정보통신업,0,0.482731785697325,0.3739881909638087,1.9619047619047616,-0.4934608641074096,1.205703422053232,1.0088397790055246,0.3285714285714286,0.557377049180328,KOSDAQ
삼부토건(주),001470,201612,197606,,0,1,1,건설업,1,-1.4657009137072683,0.4878793490175374,-1.2142857142857142,-0.4761050355098615,0.0973384030418251,0.8453038674033148,-0.8476190476190478,-1.2295081967213113,KOSPI
한국타이어앤테크놀로지(주),161390,201612,201210,,0,0,0,제조업,1,0.0176380763427383,0.2574209804631381,1.1206349206349202,4.652617359921954,0.6361216730038024,1.1933701657458564,-0.3523809523809525,-0.0491803278688521,KOSPI
(주)케이엔엔,058400,201512,201011,,0,0,0,정보통신업,0,0.1745534406124055,0.1073032037257377,-0.0111111111111111,-0.6028216865990352,2.479467680608365,1.3723756906077345,1.0000000000000002,0.0163934426229508,KOSDAQ
모트렉스(주),118990,202012,201708,,0,0,0,제조업,1,0.5169152081736411,1.420704295333753,-0.3238095238095238,1.2704275510134468,-0.2726235741444866,0.0342541436464088,-0.6380952380952383,-0.1475409836065571,KOSDAQ
(주)유진테크,084370,201312,200601,,0,1,1,제조업,1,-2.0116471343406648,-0.5195807599108754,1.96031746031746,0.2687629196542479,3.7825095057034215,2.477348066298342,0.2,-0.901639344262295,KOSDAQ
(주)화승코퍼레이션,013520,201612,199102,,0,0,0,제조업,1,-0.3285567542981949,-0.0780220044209245,0.5555555555555555,-0.0894944023359416,-0.1577946768060835,0.0099447513812154,-0.3857142857142858,-0.0983606557377046,KOSPI
(주)모다,149940,201312,201209,44022.0,0,0,0,제조업,1,-0.5955535029733106,-0.228765624481449,-0.1111111111111112,-0.4821768466151359,2.668441064638783,-0.0121546961325966,2.7952380952380955,1.1967213114754105,KOSDAQ
(주)엘아이에스,138690,201312,201106,,1,0,1,제조업,1,3.922669333258433,0.8999474317466993,-1.784126984126984,-0.3792971708089153,-0.6110266159695817,-0.816574585635359,-0.3142857142857144,-0.1147540983606554,KOSDAQ
(주)세원물산,024830,201312,199412,,1,0,1,제조업,1,-0.8250025895190977,-4.2711175493520575,-1.111111111111111,1.9159497608797984,0.4490494296577947,0.6298342541436464,-0.5476190476190478,-0.967213114754098,KOSDAQ
(주)미투온,201490,202012,201610,,0,0,0,정보통신업,0,0.360854488410835,0.0899496979638628,2.519047619047619,-0.3697323627531911,2.3129277566539925,2.477348066298342,-0.1714285714285716,-0.5245901639344259,KOSDAQ
일진디스플레이(주),020760,201412,200201,,0,1,1,제조업,1,-1.721089287968712,-0.7496625923219428,0.7158730158730158,-0.0194911958738973,1.71787072243346,0.6530386740331492,1.0761904761904766,2.344262295081968,KOSPI
삼성중공업(주),010140,201612,199401,,1,0,1,제조업,1,0.231368420188993,1.0180221823553668,-0.8460317460317459,-0.5297211742473341,-0.7372623574144487,-1.247513812154696,-0.7238095238095239,-0.967213114754098,KOSPI
울트라건설(주),004320,201312,199112,42107.0,0,0,0,건설업,1,2.194488657357492,0.5245718458000034,-0.1476190476190477,-0.6609268721986096,0.4429657794676806,0.9171270718232044,-0.4142857142857144,0.0327868852459016,KOSDAQ
(주)유티아이,179900,202012,201709,,0,0,0,제조업,1,-0.4173520543609889,-1.0484966673681038,-0.5714285714285714,-0.2529216327031839,0.3882129277566539,0.7977900552486187,-0.0857142857142858,-0.3114754098360655,KOSDAQ
(주)엔에스브이,095300,201412,200904,42990.0,1,0,1,제조업,1,-1.0501968082547162,0.683028211894336,-1.4619047619047618,-0.4726052162997427,-0.1775665399239543,0.191160220994475,-0.5523809523809525,-0.5901639344262293,KOSDAQ
(주)아이티엠반도체,084850,202012,201911,,0,0,0,제조업,1,-0.2211158974848156,-0.6394047936728701,0.2174603174603173,0.8652467270209239,0.2239543726235742,0.2508287292817679,-0.019047619047619,-0.0491803278688521,KOSDAQ
(주)이글벳,044960,202012,200011,,0,0,0,도매 및 소매업,1,0.7430659387991294,0.9478735137654272,0.4746031746031744,-0.3528404478131246,0.952851711026616,0.4232044198895028,0.6857142857142858,0.4426229508196722,KOSDAQ
(주)제이와이피엔터테인먼트,035900,201412,200108,,0,0,0,정보통신업,0,3.922669333258433,1.4906502093897878,1.1238095238095236,-0.503469119041609,-0.0163498098859315,-0.1513812154696132,0.0095238095238095,-0.1475409836065571,KOSDAQ
