회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,1주당순이익,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율,부가가치율,종업원1인당부가가치율_계산,자기자본회전률,타인자본회전률,시장구분
(주)태영건설,009410,201912,198911,,0,0,0,건설업,1,19.31128279,6.014902097,1.917253408,-0.9,-15.59753725,7.2,0.65,1260.219741,133.74,96.39,276.48,1.74,1.92,13.8,20.8,244.8784421,2.639450799,1.0,KOSPI
(주)에이블씨엔씨,078520,201712,201109,,0,0,0,제조업,1,34.11136115,53.95534406,-14.09954361,1.46,-53.78811719,3.45,-0.66,344.0178836,472.57,403.96,22.18,23.07,4.18,10.32,10.3,79.62014368,1.483902798,5.07,KOSPI
(주)보령,003850,201912,198810,,0,0,0,제조업,1,12.80202029,10.48448145,13.87201745,9.61,56.53264455,8.16,0.01,729.0000679,166.54,105.44,79.4,19.12,8.19,29.76,28.82,111.8503579,1.945135054,2.5,KOSPI
(주)알에프텍,061040,201112,200205,,0,0,0,제조업,1,40.8799471,4.111454544,33.21922388,32.97,6.039702088,7.58,-0.01,473.8374788,129.07,81.85,119.9,6.09,1.91,18.22,10.47,93.06398374,3.826807768,3.89,KOSDAQ
대한해운(주),005880,201112,199204,,1,1,1,운수 및 창고업,0,-22.36308992,-31.51271657,-38.67458151,-11.01,-51.70382637,-10.22,5.3,-2238.020276,113.96,102.56,388.92,-1.22,-2.47,-3.59,-5.86,-75.62221774,1.259532982,0.58,KOSPI
(주)엘지생활건강,051900,201412,200104,,0,0,0,제조업,1,11.44780995,15.80113533,8.107579647,2.4,2.946779138,14.07,0.69,16360.35769,117.24,77.53,124.08,20.17,9.14,30.1,24.64,150.0601309,2.937931298,2.29,KOSPI
(주)드림시큐리티,203650,201812,201410,,0,0,0,정보통신업,0,11.40024661,21.400699,14.32617655,14.56,190.2802503,12.28,-0.37,87.67305948,618.16,591.74,12.23,42.72,4.44,48.45,46.2,62.55198895,1.290538337,7.69,KOSDAQ
(주)보광산업,225530,201512,201512,,0,0,0,제조업,1,78.27578096,102.2875763,27.74861674,0.0,31.40857645,20.12,2.55,879.7805048,144.72,136.53,93.15,27.01,27.43,25.01,52.67,316.5801493,0.917093485,1.18,KOSDAQ
(주)한진피앤씨,061460,201112,200204,43007.0,1,0,1,제조업,1,-4.964603378,-7.581613177,-7.841545577,-9.54,-14.99335874,1.73,2.34,-672.938157,51.15,34.28,137.44,0.98,0.76,-3.59,-5.86,-40.90730909,0.348038399,1.27,KOSDAQ
(주)고영테크놀러지,098460,201112,200806,,0,0,0,제조업,1,26.06068668,26.16660991,20.9571866,22.73,0.012960672,20.54,-0.49,1812.501855,424.78,329.07,24.97,67.32,13.59,33.3,33.63,171.1048765,1.237107694,5.23,KOSDAQ
두산건설(주),011160,201112,199601,43914.0,1,0,1,건설업,1,-0.573937309,0.80032225,12.80592902,2.07,-393.0991241,-4.97,4.01,-1696.012554,139.18,136.58,301.85,-9.3,-12.77,0.17,0.3,-10.72444018,0.845536461,0.71,KOSPI
