회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,자기자본정상영업이익률,금융비용부담률,1주당순이익,1주당 CASH FLOW,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,부가가치율,종업원1인당부가가치율_계산,자본집약도_계산,타인자본회전률,순운전자본회전률,시장구분
(주)아이톡시,052770,201212,200208,,0,0,0,도매 및 소매업,1,-1.1180544343731753,7.390980493740282,-0.5494233937397034,0.7532467532467532,-0.3743154855201648,-0.3573897808168189,-0.8535911602209945,-1.1821192052980132,0.663487016428193,-0.3197949248340363,-0.6014447666794364,-0.242152466367713,-0.1250000000000001,KOSDAQ
유니온스틸(주),003640,201212,197306,42020.0,1,0,1,제조업,1,-0.618478289992744,-0.9484230848161254,-0.558484349258649,1.1428571428571428,-1.9326221208115613,9.468519615065295,-0.2916337805840568,-0.2571743929359824,-0.8086910439851618,-0.1230319130847844,1.5629001259694908,-0.4035874439461885,0.1718749999999998,KOSPI
(주)천보,278280,201912,201902,,0,0,0,제조업,1,0.4322806876087632,0.0612749355386851,0.7685337726523888,-0.7792207792207791,1.469913783026244,0.827812287868205,3.111286503551697,1.2119205298013245,0.4753577106518283,1.4148856218301111,1.2570407659940692,1.2825112107623322,-0.2031250000000001,KOSDAQ
(주)크린앤사이언스,045520,201812,200012,,0,0,0,제조업,1,0.9779322820224996,0.3850900259710279,1.313014827018122,0.1363636363636363,0.5131093515285965,0.0176980398963601,-0.133385951065509,-0.1589403973509934,-0.0143084260731319,0.1972319251940008,-0.2540343794515496,0.0269058295964125,0.3593749999999999,KOSDAQ
(주)에스지세계물산,004060,201212,197604,,0,0,0,도매 및 소매업,1,-0.5050449743324392,-1.009390230392316,-0.630148270181219,-0.2662337662337662,-0.2920572351982212,-0.2877643989384608,0.0272296764009471,-0.2549668874172185,-0.6772655007949128,-0.2026658649494656,0.7065449299564918,0.6995515695067266,0.8281249999999997,KOSPI
(주)코텍,052330,201912,200107,,0,0,0,제조업,1,-1.0969531256465848,-0.1951730382146918,0.2191103789126853,-0.9155844155844156,1.218861277077176,2.0925591673277597,4.147987371744278,2.260485651214128,0.1112877583465817,0.7617677874147507,0.2638080227456168,2.5426008968609866,-0.1250000000000001,KOSDAQ
세원이앤씨(주),091090,201212,200607,,1,0,1,제조업,1,0.7870568421028971,3.565577079281907,0.0568369028006589,2.0974025974025974,-0.2834713404067295,-0.4987456204221236,-0.5473559589581689,-0.7770419426048565,-0.375728669846317,-0.2610076082695943,-0.023793329426158,-0.5739910313901346,-0.5781250000000001,KOSPI
경인전자(주),009140,201212,198906,,1,0,1,제조업,1,1.5187880587950888,7.26940343420441,-0.3385502471169686,-1.915584415584416,0.2657767536258076,0.2901414086185125,0.6160220994475138,-0.1490066225165563,-0.6051934287228405,-0.5953549531224088,4.330367670702202,1.869955156950673,-0.2031250000000001,KOSPI
(주)와이투솔루션,011690,201212,199512,,1,0,1,제조업,1,-0.4283668971153155,3.116778883977777,-0.2751235584843492,1.253246753246753,-0.3261515126082913,-0.2729576381951907,0.5536700868192581,0.7538631346578365,-0.7254901960784316,-0.505264681908926,-0.1543835635429971,-0.1569506726457399,-0.2031250000000001,KOSPI
씨제이제일제당(주),097950,201212,200709,,0,0,0,제조업,1,2.3655464814225926,0.4601450642360616,0.3830313014827018,0.5649350649350648,11.313521373728785,13.140001190915845,-0.3417521704814522,-0.3300220750551876,0.2109167991520933,0.1257074294595826,0.4503759677962816,-0.4215246636771302,0.4843749999999997,KOSPI
