,회사명,거래소코드,회계년도,영업손익,전기영업손익,당기순이익,전기순이익,매출액,전기매출액,정상영업이익증가율,순이익증가율,매출액증가율
18153,이트론(주),96040,2017/12,214267.0,-4000440.0,-1863753.0,-9797163.0,15563155.0,25705833.0,-1967.0350543947502,-80.97660516620985,-39.45671785854985
18154,이트론(주),96040,2018/12,-4433248.0,214267.0,-6233930.0,-1863753.0,8470642.0,15563155.0,-2169.029761932542,234.48262725801112,-45.5724626529775
18155,이트론(주),96040,2019/12,-2335622.0,-4433248.0,-3157363.0,-6233930.0,28980984.0,8470642.0,-47.31578292033291,-49.35196577439914,242.13444506331396
18156,이트론(주),96040,2020/12,450162.0,-2335622.0,-9143732.0,-3157363.0,41349067.0,28980984.0,-618.8403285928177,189.6002771933414,42.676546110373614
18157,이화공영(주),1840,2011/12,641004.0,,937634.0,,71191256.0,,,,
18158,이화공영(주),1840,2012/12,674600.0,641004.0,1038838.0,937634.0,104069291.0,71191256.0,5.241152941323299,10.793550575171123,46.18268709853918
18159,이화공영(주),1840,2013/12,828877.0,674600.0,842530.0,1038838.0,134306787.0,104069291.0,22.86940409131337,-18.896882863353092,29.05515710681646
18160,이화공영(주),1840,2014/12,1466384.0,828877.0,1514171.0,842530.0,179617664.0,134306787.0,76.912135334917,79.71716140671549,33.736848309832624
18161,이화공영(주),1840,2015/12,1374792.0,1466384.0,1480854.0,1514171.0,130036342.0,179617664.0,-6.246112887210989,-2.200345931866348,-27.60381183890689
18162,이화공영(주),1840,2016/12,1593234.0,1374792.0,1411157.0,1480854.0,165041524.0,130036342.0,15.889094495749175,-4.706540955421669,26.919537616645663
18163,이화공영(주),1840,2017/12,1712196.0,1593234.0,1637770.0,1411157.0,210777239.0,165041524.0,7.46669980680804,16.058666753592973,27.711641223090016
18164,이화공영(주),1840,2018/12,50461.0,1712196.0,474263.0,1637770.0,186487736.0,210777239.0,-97.05284908970701,-71.04214877546909,-11.52377890290137
18165,이화공영(주),1840,2019/12,125985.0,50461.0,268264.0,474263.0,138398049.0,186487736.0,149.6680604823527,-43.43560429550693,-25.78705068305403
18166,이화공영(주),1840,2020/12,783338.0,125985.0,301059.0,268264.0,153232963.0,138398049.0,521.7708457356035,12.22489786180777,10.719019601208396
18167,이화산업(주),760,2011/03,11282368.0,,8019739.0,,72579436.0,,,,
18168,이화산업(주),760,2012/03,3249324.0,11282368.0,-300225.0,8019739.0,70879588.0,72579436.0,-71.1999821314107,-103.74357569491974,-2.3420518175423686
18169,이화산업(주),760,2013/03,1145806.0,3249324.0,-7297525.0,-300225.0,71401323.0,70879588.0,-64.73709608521649,2330.6853193438255,0.7360863892154678
18170,이화산업(주),760,2014/03,-1530009.0,1145806.0,-2889807.0,-7297525.0,79434878.0,71401323.0,-233.53124350893606,-60.40017677226183,11.25126911163817
18171,이화산업(주),760,2015/03,35978.0,-1530009.0,7285547.0,-2889807.0,82960067.0,79434878.0,-4352.623825671243,-139.66492838492428,4.437835229003562
18172,이화산업(주),760,2016/03,1549613.0,35978.0,-116541.0,7285547.0,66910987.0,82960067.0,4207.112679971093,-101.5996190814499,-19.345548503474568
18173,이화산업(주),760,2017/12,778638.0,1549613.0,-2965910.0,-116541.0,65664099.0,66910987.0,-49.75274471755206,2444.949845976952,-1.8635026262577774
18174,이화산업(주),760,2018/12,479159.0,778638.0,-1653686.0,-2965910.0,69095677.0,65664099.0,-38.46190399132845,-44.24355425484927,5.225957642394515
18175,이화산업(주),760,2019/12,-1689016.0,479159.0,-4760001.0,-1653686.0,61703168.0,69095677.0,-452.49593558714326,187.84188775861924,-10.69894575314748
18176,이화산업(주),760,2020/12,-3486086.0,-1689016.0,-3668521.0,-4760001.0,51125794.0,61703168.0,106.39745271803227,-22.930247283561496,-17.142351588819558
18177,이화전기공업(주),24810,2011/12,560343.0,,1038662.0,,59603031.0,,,,
18178,이화전기공업(주),24810,2012/12,-7059875.0,560343.0,-26933032.0,1038662.0,126656674.0,59603031.0,-1359.9202631245505,-2693.050674810477,112.5003911294377
18179,이화전기공업(주),24810,2013/12,-5152785.0,-7059875.0,-33091958.0,-26933032.0,120476893.0,126656674.0,-27.01308450928664,22.867555349876685,-4.879159388000351
18180,이화전기공업(주),24810,2014/12,-15376381.0,-5152785.0,-37027856.0,-33091958.0,107438140.0,120476893.0,198.4091321489253,11.893820244785758,-10.822617246611763
18181,이화전기공업(주),24810,2015/12,1314394.0,-15376381.0,-1806578.0,-37027856.0,40965395.0,107438140.0,-1269.8456474999125,-95.1210299618752,-61.87071462704027
18182,이화전기공업(주),24810,2016/12,852355.0,1314394.0,-4343398.0,-1806578.0,45745866.0,40965395.0,-35.152245065026165,140.42128266811616,11.669534737795157
18183,이화전기공업(주),24810,2017/12,461044.0,852355.0,5642020.0,-4343398.0,47381131.0,45745866.0,-45.90939221333834,-176.9830309002804,3.5746727365484787
18184,이화전기공업(주),24810,2018/12,-3667212.0,461044.0,-1967364.0,5642020.0,42045722.0,47381131.0,-895.4147543401497,-134.86985157798094,-11.260619760216361
18185,이화전기공업(주),24810,2019/12,608838.0,-3667212.0,75695.0,-1967364.0,56846635.0,42045722.0,-702.3296837582411,-2699.0673095977277,35.20194753701696
18186,이화전기공업(주),24810,2020/12,-3667522.0,608838.0,-19919222.0,75695.0,53295892.0,56846635.0,-702.3806004224441,-26415.10932029857,-6.246179743092973
18187,인바이오(주),352940,2011/12,,,,,,,,,
18188,인바이오(주),352940,2012/12,,,,,,,,,
18189,인바이오(주),352940,2013/12,,,,,,,,,
18190,인바이오(주),352940,2014/12,,,,,,,,,
18191,인바이오(주),352940,2015/12,,,,,,,,,
18192,인바이오(주),352940,2016/12,,,,,,,,,
18193,인바이오(주),352940,2017/12,,,,,,,,,
18194,인바이오(주),352940,2018/12,,,,,,,,,
18195,인바이오(주),352940,2019/12,4448859.0,,1020273.0,,33735609.0,,,,
18196,인바이오(주),352940,2020/12,4095561.0,4448859.0,-4449448.0,1020273.0,34563133.0,33735609.0,-7.941317088269149,-536.1036702921668,2.4529689089057203
18197,인베니아(주),79950,2011/12,-1077509.0,,-1736572.0,,115829969.0,,,,
18198,인베니아(주),79950,2012/12,-18675267.0,-1077509.0,-20104282.0,-1736572.0,22934688.0,115829969.0,1633.1889571224,1057.6993064497183,-80.19969426047243
18199,인베니아(주),79950,2013/12,7561044.0,-18675267.0,4636562.0,-20104282.0,151572101.0,22934688.0,-346.99323268056634,-533.6032172113735,560.885820639897
18200,인베니아(주),79950,2014/12,-6166364.0,7561044.0,-4023576.0,4636562.0,106910935.0,151572101.0,-181.55439910149974,-186.77929897195378,-29.46529453992328
18201,인베니아(주),79950,2015/12,4587650.0,-6166364.0,1210060.0,-4023576.0,89512779.0,106910935.0,-234.41225899970576,-432.510454027073,-16.273504670032114
18202,인베니아(주),79950,2016/12,5363236.0,4587650.0,8328575.0,1210060.0,151506152.0,89512779.0,16.905954028751104,588.2778539907112,69.25644996453522
18203,인베니아(주),79950,2017/12,8488796.0,5363236.0,1110053.0,8328575.0,182175707.0,151506152.0,58.27750261222888,-86.6717535712892,20.2431086758774
18204,인베니아(주),79950,2018/12,7201898.0,8488796.0,5696458.0,1110053.0,172804068.0,182175707.0,-15.15995908018051,413.16991170691847,-5.144285785590501
18205,인베니아(주),79950,2019/12,4080034.0,7201898.0,1166030.0,5696458.0,146173882.0,172804068.0,-43.347795261749056,-79.53061358479252,-15.410624476733961
18206,인베니아(주),79950,2020/12,4768736.0,4080034.0,-4769066.0,1166030.0,141016315.0,146173882.0,16.879810315306194,-509.0002830115863,-3.5283779355329705
18207,인선이엔티(주),60150,2011/12,3348984.0,,-554014.0,,99906003.0,,,,
18208,인선이엔티(주),60150,2012/12,-2124744.0,3348984.0,-8384095.0,-554014.0,99703684.0,99906003.0,-163.44443568556912,1413.3363055807254,-0.2025093527162727
18209,인선이엔티(주),60150,2013/12,196100.0,-2124744.0,1431258.0,-8384095.0,68636673.0,99703684.0,-1183.5002549719532,-685.7850226863361,-31.159341113213028
18210,인선이엔티(주),60150,2014/12,-367547.0,196100.0,-5286138.0,1431258.0,67201260.0,68636673.0,-287.4283528811831,-469.3350884326935,-2.0913207724972334
18211,인선이엔티(주),60150,2015/12,8038837.0,-367547.0,-1763997.0,-5286138.0,97222705.0,67201260.0,-104.57214146772725,-66.62975881446908,44.67393170901855
18212,인선이엔티(주),60150,2016/12,18063943.0,8038837.0,472467.0,-1763997.0,135518950.0,97222705.0,124.70841242333934,-473.35877426359934,39.39022782795439
18213,인선이엔티(주),60150,2017/12,21914663.0,18063943.0,3151192.0,472467.0,160280182.0,135518950.0,21.317162039317772,566.9655235180446,18.271416654276027
18214,인선이엔티(주),60150,2018/12,23853490.0,21914663.0,15475260.0,3151192.0,175954965.0,160280182.0,8.84716776160327,391.092259690936,9.779613926318103
18215,인선이엔티(주),60150,2019/12,29617084.0,23853490.0,16641556.0,15475260.0,183949124.0,175954965.0,24.162476853491878,7.53651958028492,4.543298337730907
18216,인선이엔티(주),60150,2020/12,48944471.0,29617084.0,35504252.0,16641556.0,208566539.0,183949124.0,65.25756215568015,113.34694904731263,13.38273021620913
18217,인지컨트롤스(주),23800,2011/12,44367167.0,,40174203.0,,974296103.0,,,,
18218,인지컨트롤스(주),23800,2012/12,19068977.0,44367167.0,31102526.0,40174203.0,560167605.0,974296103.0,-57.02007072031442,-22.5808511994625,-42.505404334969406
18219,인지컨트롤스(주),23800,2013/12,9599531.0,19068977.0,-2521046.0,31102526.0,546644401.0,560167605.0,-49.65890933740179,-108.10559888286888,-2.414135319374636
18220,인지컨트롤스(주),23800,2014/12,9908953.0,9599531.0,741793.0,-2521046.0,593348370.0,546644401.0,3.2233033051302193,-439.85842411562254,8.543756949593268
18221,인지컨트롤스(주),23800,2015/12,18220305.0,9908953.0,8714718.0,741793.0,659496346.0,593348370.0,83.87719671291205,1074.81804223011,11.148252754111383
18222,인지컨트롤스(주),23800,2016/12,18370073.0,18220305.0,11542486.0,8714718.0,623987469.0,659496346.0,0.82198404472373,32.44818707845739,-5.384241658861291
18223,인지컨트롤스(주),23800,2017/12,4993555.0,18370073.0,-930762.0,11542486.0,540854543.0,623987469.0,-72.81690170746735,-108.06379145705701,-13.322851840795542
18224,인지컨트롤스(주),23800,2018/12,11088639.0,4993555.0,984498.0,-930762.0,504149220.0,540854543.0,122.0590140691351,-194.54178677864252,-6.786542421628508
