회사명,거래소코드,회계년도,상장일,상장폐지일,자기자본회전률
(주)경인양행,12610,201412,199510,,1.428831204325429
(주)경인양행,12610,201512,199510,,1.3179139637511266
(주)경인양행,12610,201612,199510,,1.3427523035720175
(주)경인양행,12610,201712,199510,,1.4311431330505975
(주)경인양행,12610,201812,199510,,1.5233786079687317
(주)경인양행,12610,201912,199510,,1.5559765925433777
(주)경인양행,12610,202012,199510,,1.4139181899113888
(주)고려시멘트,198440,201412,201408,,
(주)고려시멘트,198440,201512,201408,,
(주)고려시멘트,198440,201612,201408,,
(주)고려시멘트,198440,201712,201408,,
(주)고려시멘트,198440,201812,201408,,1.0466512475788576
(주)고려시멘트,198440,201912,201408,,0.8107369072764097
(주)고려시멘트,198440,202012,201408,,0.776325167286191
(주)고바이오랩,348150,201912,202011,,-0.010751164616724289
(주)고바이오랩,348150,202012,202011,,5.197488806090528
(주)고영테크놀러지,98460,201112,200806,,1.2371076938297418
(주)고영테크놀러지,98460,201212,200806,,1.4094755351848127
(주)고영테크놀러지,98460,201312,200806,,1.23159030904921
(주)고영테크놀러지,98460,201412,200806,,1.3339892294477067
(주)고영테크놀러지,98460,201512,200806,,1.179927279141577
(주)고영테크놀러지,98460,201612,200806,,1.1899419618247877
(주)고영테크놀러지,98460,201712,200806,,1.2767003151384355
(주)고영테크놀러지,98460,201812,200806,,1.2304691407422226
(주)고영테크놀러지,98460,201912,200806,,0.9458590137935291
(주)고영테크놀러지,98460,202012,200806,,0.7332463567822596
(주)골드앤에스,35290,201112,199912,,2.118070739853658
(주)골드앤에스,35290,201212,199912,,1.830441496742568
(주)골드앤에스,35290,201312,199912,,2.0467658935506874
(주)골드앤에스,35290,201412,199912,,2.4821287414157
(주)골드앤에스,35290,201512,199912,,1.6296323350600845
(주)골드앤에스,35290,201612,199912,,1.0801326769192376
(주)골드앤에스,35290,201712,199912,,0.9271931231457501
(주)골드앤에스,35290,201812,199912,,0.6400181083251661
(주)골드앤에스,35290,201912,199912,,1.7593776516471693
(주)골드앤에스,35290,202012,199912,,0.8894251871925232
(주)골드퍼시픽,38530,201112,200006,,0.514753416030363
(주)골드퍼시픽,38530,201212,200006,,0.46878852792004744
(주)골드퍼시픽,38530,201312,200006,,0.36645918990426257
(주)골드퍼시픽,38530,201412,200006,,1.0065203626713632
(주)골드퍼시픽,38530,201512,200006,,0.98701164776501
(주)골드퍼시픽,38530,201612,200006,,0.8307574604283104
(주)골드퍼시픽,38530,201712,200006,,1.3871919946347842
(주)골드퍼시픽,38530,201812,200006,,0.4485668883406325
(주)골드퍼시픽,38530,201912,200006,,0.5502536980255814
(주)골드퍼시픽,38530,202012,200006,,0.3548049183476836
(주)골프존,215000,201512,201504,,1.8516596312586258
(주)골프존,215000,201612,201504,,1.8907359084290725
(주)골프존,215000,201712,201504,,1.290875036371824
(주)골프존,215000,201812,201504,,1.0341111028149617
(주)골프존,215000,201912,201504,,1.2508434928647898
(주)골프존,215000,202012,201504,,1.4027940147613385
(주)골프존뉴딘홀딩스,121440,201112,201105,,0.6183755212218038
(주)골프존뉴딘홀딩스,121440,201212,201105,,0.7615755563661084
(주)골프존뉴딘홀딩스,121440,201312,201105,,0.873319069601458
(주)골프존뉴딘홀딩스,121440,201412,201105,,0.9431892228033115
(주)골프존뉴딘홀딩스,121440,201512,201105,,0.3171033912130856
(주)골프존뉴딘홀딩스,121440,201612,201105,,0.4507405850212097
(주)골프존뉴딘홀딩스,121440,201712,201105,,0.4154652869956061
(주)골프존뉴딘홀딩스,121440,201812,201105,,0.4520027420933742
(주)골프존뉴딘홀딩스,121440,201912,201105,,0.49066363902547006
(주)골프존뉴딘홀딩스,121440,202012,201105,,0.6371382127373064
(주)공구우먼,366030,201712,202203,,
(주)공구우먼,366030,201812,202203,,
(주)공구우먼,366030,201912,202203,,
(주)공구우먼,366030,202012,202203,,
(주)광림,14200,201112,199307,,1.8789837822700404
(주)광림,14200,201212,199307,,1.4199202606976316
(주)광림,14200,201312,199307,,1.612515637972984
(주)광림,14200,201412,199307,,2.3889056073658033
(주)광림,14200,201512,199307,,2.260663387219937
(주)광림,14200,201612,199307,,0.8981543108658375
(주)광림,14200,201712,199307,,1.2223653186215495
(주)광림,14200,201812,199307,,1.3813836353884155
(주)광림,14200,201912,199307,,1.6131192532823508
(주)광림,14200,202012,199307,,1.8704631790801869
(주)광명전기,17040,201112,199009,,1.4678797001460355
(주)광명전기,17040,201212,199009,,1.8616388450294976
(주)광명전기,17040,201312,199009,,1.7743590588254212
(주)광명전기,17040,201412,199009,,1.8146630216070814
(주)광명전기,17040,201512,199009,,1.3969878558921769
(주)광명전기,17040,201612,199009,,1.0429986017309685
(주)광명전기,17040,201712,199009,,1.0431958744148866
(주)광명전기,17040,201812,199009,,1.167990349062934
(주)광명전기,17040,201912,199009,,1.291854977062165
(주)광명전기,17040,202012,199009,,1.148292984732571
(주)광무,29480,201112,199608,,1.3680370407650575
(주)광무,29480,201212,199608,,1.2230293031659756
(주)광무,29480,201312,199608,,1.0724563139481478
(주)광무,29480,201412,199608,,4.442439976662241
(주)광무,29480,201512,199608,,2.172135315031438
(주)광무,29480,201612,199608,,3.3460548613363112
(주)광무,29480,201712,199608,,1.9940336228812363
(주)광무,29480,201812,199608,,1.9006276040775423
(주)광무,29480,201912,199608,,2.1733900275272005
(주)광무,29480,202012,199608,,1.0698069903939147
(주)광주신세계,37710,201112,200202,,0.7079405396970443
(주)광주신세계,37710,201212,200202,,0.636479531536583
(주)광주신세계,37710,201312,200202,,0.5364270707099382
(주)광주신세계,37710,201412,200202,,0.47781802800702533
(주)광주신세계,37710,201512,200202,,0.4368737066049477
(주)광주신세계,37710,201612,200202,,0.4103140240736576
(주)광주신세계,37710,201712,200202,,0.3765035758170272
(주)광주신세계,37710,201812,200202,,0.22535174456029397
(주)광주신세계,37710,201912,200202,,0.24165059809649903
(주)광주신세계,37710,202012,200202,,0.21701071987110296
(주)구영테크,53270,201112,200202,,4.035466645833142
(주)구영테크,53270,201212,200202,,4.24955424603235
(주)구영테크,53270,201312,200202,,4.563351074896546
(주)구영테크,53270,201412,200202,,3.738157725180872
(주)구영테크,53270,201512,200202,,3.1687042634954086
(주)구영테크,53270,201612,200202,,2.5976463580610782
(주)구영테크,53270,201712,200202,,2.638112510204564
(주)구영테크,53270,201812,200202,,3.1328627104706452
(주)구영테크,53270,201912,200202,,3.2854166263289226
(주)구영테크,53270,202012,200202,,2.7853264605280668
(주)국동,5320,201112,199612,,26.467402741540113
(주)국동,5320,201212,199612,,18.118284463214366
(주)국동,5320,201312,199612,,11.907436293682863
(주)국동,5320,201412,199612,,8.44857658557831
(주)국동,5320,201512,199612,,5.689291275504244
(주)국동,5320,201612,199612,,4.7586343993146
(주)국동,5320,201712,199612,,4.061259046122635
(주)국동,5320,201812,199612,,4.8196739679605365
(주)국동,5320,201912,199612,,3.915136587788135
(주)국동,5320,202012,199612,,3.3944187878738767
(주)국보,1140,201112,198912,,3.790231474554476
(주)국보,1140,201212,198912,,3.5846216633286425
(주)국보,1140,201312,198912,,3.6837757921816228
(주)국보,1140,201412,198912,,3.722960703801748
(주)국보,1140,201512,198912,,4.465964068013881
(주)국보,1140,201612,198912,,5.18529377729664
(주)국보,1140,201712,198912,,4.724986516624967
(주)국보,1140,201812,198912,,4.577611510452606
(주)국보,1140,201912,198912,,4.240616718078563
(주)국보,1140,202012,198912,,3.6993544648435313
(주)국보디자인,66620,201112,200209,,2.714582813793462
(주)국보디자인,66620,201212,200209,,2.259107966657121
(주)국보디자인,66620,201312,200209,,2.6553279855514567
(주)국보디자인,66620,201412,200209,,2.520546324066409
(주)국보디자인,66620,201512,200209,,2.443366809914461
(주)국보디자인,66620,201612,200209,,2.3662416609775625
(주)국보디자인,66620,201712,200209,,2.906981609216056
(주)국보디자인,66620,201812,200209,,2.4461672096546954
(주)국보디자인,66620,201912,200209,,2.3193737181703313
(주)국보디자인,66620,202012,200209,,1.9913673156835927
(주)국순당,43650,201112,200008,,0.716877783713227
(주)국순당,43650,201212,200008,,0.6420606784255842
(주)국순당,43650,201312,200008,,0.5135948640433325
(주)국순당,43650,201412,200008,,0.46943617094517454
(주)국순당,43650,201512,200008,,0.3921389569560471
(주)국순당,43650,201612,200008,,0.35545012098063145
(주)국순당,43650,201712,200008,,0.30205772556460625
(주)국순당,43650,201812,200008,,0.28130546910533344
(주)국순당,43650,201912,200008,,0.4854322773369654
(주)국순당,43650,202012,200008,,0.24772983688980768
(주)국영지앤엠,6050,201112,199410,,1.300517566291271
(주)국영지앤엠,6050,201212,199410,,1.112715023464776
(주)국영지앤엠,6050,201312,199410,,1.2088057134031802
(주)국영지앤엠,6050,201412,199410,,1.1004150407641706
(주)국영지앤엠,6050,201512,199410,,0.8337225358080775
(주)국영지앤엠,6050,201612,199410,,1.033984872468037
(주)국영지앤엠,6050,201712,199410,,1.2186083912230528
(주)국영지앤엠,6050,201812,199410,,1.078987348506397
(주)국영지앤엠,6050,201912,199410,,1.3963879754195752
(주)국영지앤엠,6050,202012,199410,,1.240113008006798
(주)국전약품,307750,201812,201812,,
(주)국전약품,307750,201912,201812,,
(주)국전약품,307750,202012,201812,,
(주)그래디언트,35080,201112,199907,,1.303157087716853
(주)그래디언트,35080,201212,199907,,1.2521183700894107
(주)그래디언트,35080,201312,199907,,5.102781133252798
(주)그래디언트,35080,201412,199907,,3.7947828116612126
(주)그래디언트,35080,201512,199907,,3.9207876741876855
(주)그래디언트,35080,201612,199907,,4.40992383754696
(주)그래디언트,35080,201712,199907,,4.47539455274414
(주)그래디언트,35080,201812,199907,,4.7239303061135285
(주)그래디언트,35080,201912,199907,,4.930877373730143
(주)그래디언트,35080,202012,199907,,4.954364101110716
(주)그리티,204020,201112,201807,,
(주)그리티,204020,201212,201807,,
(주)그리티,204020,201312,201807,,
(주)그리티,204020,201412,201807,,
(주)그리티,204020,201512,201807,,2.370906243330918
(주)그리티,204020,201612,201807,,2.2253830555645178
(주)그리티,204020,201712,201807,,2.3857615160568804
(주)그리티,204020,201812,201807,,1.8273122063327774
(주)그리티,204020,201912,201807,,1.6560606943041303
(주)그리티,204020,202012,201807,,1.6896970749708393
(주)그린플러스,186230,201112,201908,,
(주)그린플러스,186230,201212,201908,,
(주)그린플러스,186230,201312,201908,,
(주)그린플러스,186230,201412,201908,,
(주)그린플러스,186230,201512,201908,,
(주)그린플러스,186230,201612,201908,,
(주)그린플러스,186230,201712,201908,,
(주)그린플러스,186230,201812,201908,,
(주)그린플러스,186230,201912,201908,,1.5909542767504357
(주)그린플러스,186230,202012,201908,,1.755024709844712
(주)극동자동화,272420,201412,201706,2018/11/15,
(주)극동자동화,272420,201512,201706,2018/11/15,
(주)극동자동화,272420,201612,201706,2018/11/15,
(주)극동자동화,272420,201712,201706,2018/11/15,
(주)글로벌스탠다드테크놀로지,83450,201112,200602,,1.504063628512648
(주)글로벌스탠다드테크놀로지,83450,201212,200602,,2.0380210504926524
(주)글로벌스탠다드테크놀로지,83450,201312,200602,,2.0596319088836874
(주)글로벌스탠다드테크놀로지,83450,201412,200602,,1.9068626455653614
(주)글로벌스탠다드테크놀로지,83450,201512,200602,,1.5703353663830468
(주)글로벌스탠다드테크놀로지,83450,201612,200602,,1.546448205462691
(주)글로벌스탠다드테크놀로지,83450,201712,200602,,2.3420235354004073
(주)글로벌스탠다드테크놀로지,83450,201812,200602,,1.5827342639398514
(주)글로벌스탠다드테크놀로지,83450,201912,200602,,1.7791144797733882
(주)글로벌스탠다드테크놀로지,83450,202012,200602,,1.5377314711812171
(주)금양,1570,201112,197612,,2.4307324645666153
(주)금양,1570,201212,197612,,2.709604913418375
(주)금양,1570,201312,197612,,3.4316109445514766
(주)금양,1570,201412,197612,,3.521614064375467
(주)금양,1570,201512,197612,,3.1041340363547287
