,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액정상영업이익률,매출액순이익률,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,자기자본구성비율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률
95,(주)강원에너지,114190,201212,200911,,0,1,1,제조업,1,66.15740553,55.95123303,47.36466589,111.9973776,0.0,76.19348869,10.91,8.43,10.05,13.01,32.16,24.85,-0.73,89.58,54.5,8405.516425,708.508114,-248.294482,2850.595721,581.28,40.45334408,151.93,144.74,10.65,236.27,147.2,58.37,-5.92,-25.99,-3.52,-2.95,-7.189204055,21.02,445.26,1901.76,17.62,39.28224006,185.7486139,43.72277228,9.76719802,883.7425743,1.19,2.948693376,2.0,1.32,1.39,27.95,2.56,0.8
97,(주)갤럭시아에스엠,11420,201212,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-2.507814392,-86.6290492,2.505478255,16.30693493,8.11,-59.83667642,3.77,0.71,0.88,4.72,8.01,1.49,0.56,98.48,-6.74,2805.450132,19.82543033,142.7687527,1281.849786,149.31,58.90813703,184.17,183.89,58.88,142.92,69.76,3.79,15.5,81.2,6.37,5.09,0.33138655,25.7,333.76,380.87,20.53,38.24126393,243.02775,6.1,0.0,1004.25,1.25,2.151167139,3.05,2.22,2.23,1468.49,19.66,1.44
104,(주)경농,2100,201212,197706,,0,0,0,제조업,1,55.03623894,1922.967877,6.12141086,12.96196018,-0.65,65.83909445,9.29,7.53,3.83,4.73,8.39,7.43,1.33,91.22,5.24,6314.402895,475.3115355,405.5431212,6984.222112,1319.33,56.32211089,138.53,38.82,19.56,63.35,77.55,5.6,7.48,12.52,3.27,6.42,258.7955288,14.5,42.13,1352.39,28.52,47.92215548,106.6718627,168.1699346,8.119245098,664.9281046,0.51,0.929479003,1.16,0.96,3.43,1.34,11.0,0.56
110,(주)경농,2100,201812,197706,,0,0,0,제조업,1,6.367462053,-51.60023739,4.840364542,2.963300803,3.55,74.83590704,6.95,2.29,1.41,4.26,7.5,3.08,1.28,94.89,30.49,9803.479065,224.8977607,488.9992278,8623.877742,1639.37,56.38850863,132.49,38.2,9.58,102.56,77.34,5.16,8.48,15.62,3.7,6.21,290.2241701,16.22,40.68,423.76,27.25,59.39254041,134.8708857,193.7714286,7.702197143,814.3771429,0.61,1.080543199,1.42,1.28,4.59,1.77,8.96,0.73
111,(주)경농,2100,201912,197706,,0,0,0,제조업,1,3.810538371,-17.70575181,0.214133864,6.986128122,3.43,-41.15866756,3.82,1.76,1.1,2.39,4.31,2.47,1.61,96.84,31.24,10488.36267,185.0779213,-47.03036869,8800.258163,1648.84,54.43498937,150.9,41.85,9.67,91.84,83.71,2.2,2.84,5.07,1.29,2.11,214.2448559,15.09,40.26,472.57,24.6,62.26365006,121.0581215,177.1519337,5.142461326,820.9861878,0.62,1.128137121,1.4,1.28,4.54,1.79,9.02,0.75
114,(주)경동나비엔,9450,201212,199308,,0,0,0,제조업,1,13.87435129,-3.13781851,4.616387393,11.06745296,12.16,12.10645428,3.67,2.42,3.26,4.95,8.1,5.41,0.03,97.0,6.49,29751.08611,719.8051573,2170.31126,11947.1628,1270.59,58.67797339,145.1,85.68,40.75,62.1,70.42,11.7,17.42,86.71,7.2,5.69,131.7507741,22.83,67.24,687.71,18.05,69.32541967,69.76091837,109.6989796,6.405258929,324.7793367,1.35,2.203635537,3.46,2.76,4.9,6.3,11.47,1.66
120,(주)경동나비엔,9450,201812,199308,,0,0,0,제조업,1,15.86242814,-8.403625521,9.199423514,6.146203681,10.05,-14.56291653,5.61,3.41,4.55,7.51,15.21,9.23,0.43,95.33,10.14,57046.2769,1942.660118,-1121.400352,18866.97369,2101.97,47.99616573,104.32,49.78,9.54,121.72,108.35,11.32,0.96,2.44,0.5,0.4,1263.099639,28.21,74.02,372.05,22.65,65.7810101,96.42705499,146.8555452,21.34433178,410.5442684,1.34,2.70863928,2.64,2.81,5.65,5.58,8.47,1.44
121,(주)경동나비엔,9450,201912,199308,,0,0,0,제조업,1,4.491554633,12.54034481,7.475450799,6.542777793,8.76,9.859214268,5.79,3.6,4.67,7.51,15.43,9.59,0.46,93.92,7.08,60778.68803,2186.276395,6166.239361,19981.93023,2266.35,49.36676047,101.49,50.38,7.85,102.91,102.57,11.06,10.41,32.91,5.27,4.15,3430.887621,32.03,72.44,357.2,25.23,59.71714055,102.5306941,142.0428449,18.0314353,395.5501285,1.3,2.664701759,2.53,2.76,5.67,5.37,8.18,1.4
123,(주)경동도시가스,267290,201812,201705,,0,0,0,"전기, 가스, 증기 및 공기조절 공급업",0,9.5721968,91.9526393,8.887311773,84.33079343,0.0,96.89878415,2.66,2.13,4.59,5.73,13.88,11.11,-0.14,97.25,10.52,340578.8447,7242.81147,25589.06379,67576.15915,2615.41,41.17982625,118.17,117.83,31.25,75.7,142.84,98.82,15.3,508.84,9.0,4.36,1.902276506,13.55,33.24,35.84,6.57,37.79270455,352.2170758,1156.227437,0.0,2801.01444,2.16,5.012735174,3.68,3.91,3.92,1332.77,6.27,2.1
124,(주)경동도시가스,267290,201912,201705,,0,0,0,"전기, 가스, 증기 및 공기조절 공급업",0,-3.632435028,-27.88381772,5.966477764,-11.4422898,0.36,-34.23110873,1.97,1.73,3.22,3.67,8.5,7.45,-0.17,97.76,7.92,241324.8273,4179.245331,5762.686404,57282.22959,2202.7,45.28163749,123.03,122.62,30.73,73.64,120.84,29.28,18.85,293.7,10.31,5.44,1.802541829,12.78,30.15,32.48,6.74,42.53536278,311.4332734,1171.107914,0.0,2688.683453,1.86,4.310568921,3.28,3.39,3.4,1080.65,6.32,1.85
127,(주)경방,50,201212,195603,,0,0,0,도매 및 소매업,1,-1.27812549,-599.2864954,-1.429271596,-4.169505485,-2.36,-67.30722888,2.17,-2.37,-0.59,0.54,1.16,-1.26,5.93,102.99,0.15,160394.6173,-3802.965385,8552.433173,321987.9808,5878.49,46.49330638,74.98,42.91,6.86,149.63,115.08,0.36,0.22,0.38,0.12,0.47,-128.2184154,6.05,25.84,142.75,24.2,29.51595354,130.4741105,521.1986183,78.67348532,2248.221071,0.25,0.533618859,0.46,2.54,4.89,5.3,10.74,0.8
133,(주)경방,50,201812,195603,,0,0,0,도매 및 소매업,1,2.178154161,-20.24904958,1.378172567,-2.591495439,-8.15,-3.14229528,11.66,5.74,1.57,3.18,5.82,2.87,2.26,92.39,4.12,12819.0941,736.423205,441.1372202,26597.8048,5111.54,54.44563257,73.99,37.34,3.81,217.15,83.67,5.13,5.9,11.36,2.69,9.95,-140.8867154,7.53,35.35,234.72,27.89,23.07595968,191.7747835,463.9242424,12.35004978,2654.859307,0.27,0.499237264,0.6,3.33,5.89,7.66,9.35,1.01
134,(주)경방,50,201912,195603,,0,0,0,도매 및 소매업,1,5.296514762,116.063749,4.625461321,-2.147411809,-43.94,-21.86255597,9.31,12.68,3.26,2.4,4.42,6.01,2.52,85.63,2.87,12543.81536,1591.143585,2439.344387,27018.95695,5391.92,54.0986512,137.68,121.4,6.76,195.05,84.85,3.59,6.28,12.59,2.88,11.48,43.19498993,9.28,94.48,308.43,37.0,15.2796103,311.5045174,250.4285714,1.645262548,5004.88417,0.26,0.47422842,0.56,1.78,2.34,7.55,8.79,0.93
139,(주)경보제약,214390,201812,201506,,0,0,0,제조업,1,8.177694708,-26.98423063,5.301809356,5.051733585,9.76,-29.77255664,8.58,6.51,6.15,8.1,11.89,9.03,0.44,91.35,62.82,8422.000882,548.6311879,-47.60805058,6233.022655,1146.61,67.23678035,186.01,108.83,7.19,423.11,48.73,19.43,16.99,28.97,5.57,6.13,-77.17248072,31.09,90.88,323.2,34.22,54.37515295,153.0973778,169.9933333,47.36883778,492.4955556,0.94,1.386082718,2.96,1.68,2.92,3.97,3.46,1.09
140,(주)경보제약,214390,201912,201506,,0,0,0,제조업,1,7.30689031,-59.7040313,0.101561507,-4.786547569,9.78,-64.1267999,3.23,2.76,2.3,2.7,4.15,3.55,0.67,96.36,62.57,8018.877803,221.0762518,990.0133685,6239.380663,1147.87,62.72203662,148.16,73.81,8.08,328.3,59.43,4.77,12.71,19.97,4.74,5.88,-74.34532564,26.68,74.62,330.57,33.1,64.77021797,128.4420243,178.3724696,38.85492105,481.4109312,0.83,1.285860712,2.38,1.51,2.79,3.31,3.37,0.94
143,(주)경인양행,12610,201212,199510,,0,0,0,제조업,1,-10.05775418,-27.46951177,-0.739578233,-6.21651728,-2.91,-42.68561246,1.67,0.96,0.69,1.2,2.07,1.49,1.24,98.53,64.89,5829.457467,55.82642667,554.7155467,4323.013333,772.58,60.87564959,155.43,80.65,11.88,374.92,64.27,1.26,13.62,22.48,5.33,7.01,134.9081999,17.58,40.74,193.11,23.12,68.01136024,81.5773297,183.2697548,16.69931608,656.8010899,0.72,1.244613493,1.71,1.4,2.98,2.64,4.08,0.85
149,(주)경인양행,12610,201812,199510,,0,0,0,제조업,1,15.37781616,188.7876735,6.079813247,10.37185158,19.73,167.3687679,5.95,4.17,3.58,5.11,9.06,6.59,0.97,94.78,65.04,8196.331799,341.6614837,46.37575683,4907.297971,927.88,54.17947483,149.64,70.7,14.14,358.04,84.57,5.68,1.9,2.83,0.87,1.09,159.0304083,23.92,65.87,246.56,29.83,63.81009885,91.90100162,146.4911147,20.69646527,557.2019386,0.86,1.523378608,1.97,1.55,3.2,3.0,4.73,0.93
