,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액정상영업이익률,매출액순이익률,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,자기자본구성비율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률
9862,씨에스윈드(주),112610,201512,201411,,0,0,0,제조업,1,5.675035383,-62.58034579,9.472242016,-9.747051862,21.79,-47.06999143,12.26,7.2,5.61,9.55,11.69,6.86,-0.16,91.7,45.82,17190.06798,1237.019932,-1148.326176,19342.61904,3979.7,83.08434507,457.65,315.15,96.8,281.82,20.36,51.45,20.36,89.83,3.44,4.54,39.84365698,24.03,82.46,233.12,31.7,57.19430762,276.3938947,35.71578947,0.0,3833.557895,0.78,1.106650587,4.25,1.21,1.66,4.52,4.99,0.98
9863,씨에스윈드(주),112610,201612,201411,,0,0,0,제조업,1,-1.608638641,-180.6425677,-8.307220072,4.736898796,-2.11,-164.9711655,-7.61,-5.54,-4.43,-6.09,-7.58,-5.54,0.13,104.95,39.36,18004.34411,-997.5646365,2824.767677,17350.80094,3760.37,77.42788048,283.25,216.45,69.17,318.5,29.15,-25.83,16.64,85.73,3.76,4.66,36.45495817,15.64,50.82,156.28,19.39,93.03133152,-258.8031183,36.50537634,0.0,3641.107527,0.8,0.953620175,4.06,1.3,1.79,4.71,4.32,1.01
9867,씨에스윈드(주),112610,202012,201411,,0,0,0,제조업,1,19.71857974,-3.124357112,19.92642121,21.22567691,0.0,62.25648962,10.07,3.47,4.16,12.07,23.99,8.19,0.84,94.12,34.13,56061.71454,1943.730184,1387.72362,19827.0653,4679.97,50.36335259,164.71,103.17,27.63,137.99,98.56,11.37,12.54,22.68,6.23,5.66,95.10758568,18.49,61.7,149.35,16.8,38.87606444,582.0425882,700.0941176,63.26415294,5749.764706,1.2,2.322631011,2.41,1.99,2.98,5.99,5.41,1.22
9870,씨제이(주),1040,201312,197306,,0,0,0,"전문, 과학 및 기술 서비스업",0,3.454115391,-43.42751468,2.586899424,6.939436695,-10.42,-26.05007824,4.17,1.71,1.48,3.61,9.26,4.67,1.29,97.52,2.88,602275.4011,10306.71384,47170.57637,84037.6738,2071.3,38.87660498,100.41,80.53,19.05,198.57,157.22,2.42,11.24,17.03,6.87,8.06,4892.646846,22.33,59.89,208.33,26.21,46.10497563,1264.193023,207.2790698,0.0,69876.09302,0.87,2.21072067,1.42,2.93,3.73,13.59,8.35,1.45
9871,씨제이(주),1040,201412,197306,,0,0,0,"전문, 과학 및 기술 서비스업",0,4.138610436,57.66274013,5.452065423,3.8224798,11.63,27.6122562,5.13,2.6,2.25,4.44,11.35,6.31,1.32,96.08,1.61,624422.3893,16227.11193,56181.39214,84503.41605,2181.14,39.36693868,97.13,77.38,13.76,193.21,154.02,3.0,11.59,17.99,7.03,8.27,-687.2496558,24.3,66.45,240.59,28.61,42.32508107,1582.893542,144.8125,0.0,62058.66667,0.87,2.219805116,1.42,2.89,3.62,14.41,8.0,1.44
9872,씨제이(주),1040,201512,197306,,0,0,0,"전문, 과학 및 기술 서비스업",0,2.269271493,8.352267936,8.749641665,8.146236598,16.67,22.15217018,5.79,2.6,2.37,5.26,12.94,5.87,1.08,96.62,1.63,674228.4119,17554.82118,73122.77153,85056.10838,2301.74,41.86145469,90.44,70.98,15.55,189.91,138.88,4.26,14.81,23.54,8.61,9.58,-203.6454861,24.34,61.94,230.63,27.1,41.15198481,1468.466071,115.2142857,0.0,52711.46429,0.91,2.215211451,1.53,3.04,3.84,14.51,8.19,1.47
9873,씨제이(주),1040,201612,197306,,0,0,0,"전문, 과학 및 기술 서비스업",0,14.63128532,3.394539512,14.10249786,13.16921975,-39.29,2.251063714,5.23,2.38,2.25,4.95,11.87,6.08,1.01,96.75,2.12,761969.3037,18125.75552,66537.32653,85639.15366,2383.69,41.66835023,90.77,71.15,13.5,186.31,139.99,4.31,13.92,22.39,8.12,9.16,-212.4931498,24.32,66.19,259.64,27.42,45.23927227,3288.825,183.4705882,0.0,83158.02941,0.95,2.235920106,1.63,3.23,4.12,15.0,8.06,1.54
9877,씨제이(주),1040,202012,197306,,0,0,0,"전문, 과학 및 기술 서비스업",0,-0.882584151,-37.00406886,5.344759497,-5.271223151,-18.46,-7.872908712,4.34,0.64,0.51,3.46,9.27,1.89,1.65,98.47,2.8,897244.9112,5720.315313,85039.18477,77781.5379,2576.21,38.46655718,97.33,77.74,22.79,140.21,159.97,2.39,14.0,21.34,8.62,10.78,-735.0405396,21.68,71.1,261.33,27.11,53.37500809,2015.64283,1017.320755,0.0,60103.26415,0.8,2.489577856,1.27,2.87,3.66,13.37,9.27,1.39
9880,씨제이대한통운(주),120,201312,195603,,0,0,0,운수 및 창고업,0,25.59528458,-186.3295035,-3.4301099,36.84613438,34.25,-50.24422809,1.69,-1.58,-1.45,1.55,2.8,-2.47,1.08,101.12,18.05,166359.2814,-2632.833084,-4058.150096,98053.84313,2307.92,48.78159469,138.94,137.39,10.59,203.0,105.0,1.07,0.52,0.73,0.26,0.32,3.985732505,42.56,112.48,1209.25,51.68,18.44894571,288.2449563,274.5680495,23.97555076,689.8901019,0.92,1.207650079,2.05,3.78,3.84,267.17,6.92,2.13
9881,씨제이대한통운(주),120,201412,195603,,0,0,0,운수 및 창고업,0,-1.429129524,201.0249557,1.443507229,20.15897328,-3.55,160.3402212,3.66,1.3,1.3,3.65,7.38,2.57,1.09,98.02,18.65,199895.6045,2606.121493,11388.73375,98729.09158,2326.23,50.20322971,145.35,144.24,13.25,232.52,99.19,2.54,3.7,5.47,1.84,1.83,2.449822271,53.4,137.31,1491.81,53.2,17.23628729,371.2985852,277.9739672,25.88991624,700.2527825,1.0,1.658575722,1.97,3.52,3.55,371.95,6.31,2.06
