,회사명,거래소코드,회계년도,상장일,상장폐지일,1주당매출액,1주당순이익,1주당Cashflow,1주당순자산,노동소득분배율
90,(주)STX,11810,Dec-11,1990-09-12,,99556.19535,3709.57162,930.9004014,19429.24483,26.9641995
91,(주)STX,11810,Dec-12,1990-09-12,,101994.1332,-8128.732977,4150.003908,18603.35503,-117.376115
92,(주)STX,11810,Dec-13,1990-09-12,,39841.75539,-25954.38646,2127.240468,-8492.273038,-10.3417342
93,(주)STX,11810,Dec-14,1990-09-12,,54769.35055,12751.90383,-2549.717344,1839.286488,17.282213
94,(주)STX,11810,Dec-15,1990-09-12,,54579.73015,-1639.305912,-533.8068942,2420.236951,114.0223211
95,(주)STX,11810,Dec-16,1990-09-12,,36342.53076,-9664.6899,1221.866649,-6948.475248,-18.8120533
96,(주)STX,11810,Dec-17,1990-09-12,,94278.86166,17476.53191,5241.872471,2336.747776,12.61000591
97,(주)STX,11810,Dec-18,1990-09-12,,76189.61153,461.653837,-2439.004361,3153.713644,65.19318495
98,(주)STX,11810,Dec-19,1990-09-12,,74576.53513,-1683.893396,26.76547995,2565.836237,120.6681811
99,(주)STX,11810,Dec-20,1990-09-12,,49453.63443,-1036.554042,2935.838582,1310.697443,96.62700364
100,(주)TCC스틸,2710,Dec-11,1984-12-21,,32151.50269,284.86675,-640.3749375,12851.0625,62.27496014
101,(주)TCC스틸,2710,Dec-12,1984-12-21,,29490.43971,7.328294118,-271.1984118,12338.58824,62.90922628
102,(주)TCC스틸,2710,Dec-13,1984-12-21,,27824.04189,-1108.657222,-1623.335444,11671.44444,100.605043
103,(주)TCC스틸,2710,Dec-14,1984-12-21,,27315.53895,-832.2952632,-1128.443632,11057.57895,84.10544067
104,(주)TCC스틸,2710,Dec-15,1984-12-21,,22190.70699,-4933.153541,1344.870896,3426.474208,96.91735294
105,(주)TCC스틸,2710,Dec-16,1984-12-21,,19892.7441,758.5920555,-1578.748036,4145.641714,57.09771591
106,(주)TCC스틸,2710,Dec-17,1984-12-21,,17516.84422,67.30258476,-52.31992839,4011.502741,77.13751533
107,(주)TCC스틸,2710,Dec-18,1984-12-21,,18492.84006,436.6177017,961.9339376,4402.014099,69.01027442
108,(주)TCC스틸,2710,Dec-19,1984-12-21,,19566.91964,225.4567304,-301.9720264,4363.925255,72.06936497
109,(주)TCC스틸,2710,Dec-20,1984-12-21,,18773.82226,-73.36782609,-243.1346957,4271.73913,82.67967362
110,(주)가비아,79940,Dec-11,2005-10-19,,4148.883091,550.8066155,757.7789304,1907.946208,48.11902948
111,(주)가비아,79940,Dec-12,2005-10-19,,5178.44784,706.3112773,991.6991134,2336.962993,52.29388203
112,(주)가비아,79940,Dec-13,2005-10-19,,5299.733032,712.8028079,960.8388291,2611.264634,51.85906385
113,(주)가비아,79940,Dec-14,2005-10-19,,5942.222573,498.8840608,1198.581837,2818.328206,55.4201535
114,(주)가비아,79940,Dec-15,2005-10-19,,6770.889598,630.2068665,1422.749452,3137.63235,54.92115711
115,(주)가비아,79940,Dec-16,2005-10-19,,7548.859592,751.9150861,1320.317762,3355.131518,58.27443668
116,(주)가비아,79940,Dec-17,2005-10-19,,8586.041237,714.3793398,1510.443358,3521.284924,59.9664236
117,(주)가비아,79940,Dec-18,2005-10-19,,9510.301659,1133.348488,1615.753589,3681.601905,57.61979066
118,(주)가비아,79940,Dec-19,2005-10-19,,10956.73318,1559.019108,2729.863301,3995.660655,61.72431114
119,(주)가비아,79940,Dec-20,2005-10-19,,12488.83728,1754.749815,3700.06488,4311.566375,48.46402049
120,(주)가온칩스,399720,Dec-18,2022-05-20,,,,,,
121,(주)가온칩스,399720,Dec-19,2022-05-20,,,,,,
122,(주)가온칩스,399720,Dec-20,2022-05-20,,213728.825,23146.775,23623.7875,135937.5,71.2392242
123,(주)강스템바이오텍,217730,Dec-13,2015-12-21,,,,,,
124,(주)강스템바이오텍,217730,Dec-14,2015-12-21,,,,,,
125,(주)강스템바이오텍,217730,Dec-15,2015-12-21,,107.4456744,-416.4491954,-275.022273,1537.002928,-47.27690551
126,(주)강스템바이오텍,217730,Dec-16,2015-12-21,,59.29546598,-583.9720972,-548.5299694,1616.54466,-93.73128934
127,(주)강스템바이오텍,217730,Dec-17,2015-12-21,,561.9678099,-709.5836426,-655.1229187,1517.870856,-1119.380037
128,(주)강스템바이오텍,217730,Dec-18,2015-12-21,,440.1191706,-686.3901677,-551.1109589,2302.287877,-262.5006756
129,(주)강스템바이오텍,217730,Dec-19,2015-12-21,,249.2627973,-1095.689547,-553.0050162,2940.923613,-88.1467423
130,(주)강스템바이오텍,217730,Dec-20,2015-12-21,,360.0906786,-778.108725,-551.4617015,2026.705014,-149.2102115
131,(주)강원랜드,35250,Dec-11,2003-09-04,,5916.067435,1781.688427,1953.009173,10648.76449,32.49743563
132,(주)강원랜드,35250,Dec-12,2003-09-04,,6058.652864,1431.374555,2087.214618,11139.36351,39.58936737
