회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,총자본정상영업이익률,금융비용부담률,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,설비투자효율,기계투자효율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,자기자본회전률,당좌자산회전률,재고자산회전률,매출채권회전률
(주)대한과학,131220,201312,201110,,0,0,0,도매 및 소매업,1,16.05511305,4.263281316,1.234190847,7.59,3.37,1.1,6692.947834,122.0093061,-441.9408519,3148.285354,519.66,300.35,107.26,7.16,153.44,2.58,-5.36,-8.48,-2.59,66.25,628.51,50.98347059,78.43529412,8.568176471,216.2588235,2.180203565,5.79,3.18,7.31
(주)대한과학,131220,201412,201110,,0,0,0,도매 및 소매업,1,8.161569403,19.22353428,-1.526936787,0.0,2.74,1.1,6176.428349,138.5325171,409.6215241,3419.165706,570.46,204.38,105.99,9.09,185.21,2.33,-0.08,-0.13,-0.04,71.97,772.19,50.81164706,76.64705882,7.348382353,233.2470588,1.918607923,3.71,2.97,5.51
(주)대한과학,131220,201512,201110,,0,0,0,도매 및 소매업,1,-0.490478015,4.214446393,6.538775969,-8.24,-0.38,0.96,5813.706309,-175.8019284,125.5016397,3096.300998,505.81,190.38,84.69,10.49,142.39,-0.33,9.95,18.92,4.19,58.89,741.18,40.39865385,82.48717949,6.653185897,248.0384615,1.840486593,3.42,3.18,5.4
(주)대한과학,131220,201612,201110,,0,0,0,도매 및 소매업,1,0.37955229,8.770218454,10.73546199,-19.23,4.03,0.46,6437.83454,314.1493466,576.1656089,3256.02083,551.95,211.09,97.96,25.3,142.26,7.1,16.03,40.13,5.45,100.57,1487.44,74.30325397,96.92063492,6.590111111,291.8095238,1.912975333,3.96,3.3,6.4
(주)대한과학,131220,201712,201110,,0,0,0,도매 및 소매업,1,-9.466895249,3.719567788,-10.21494606,-11.11,4.98,0.2,5780.213214,188.1084602,640.0985372,3289.418065,571.43,267.06,108.24,15.63,116.13,20.22,40.05,311.46,10.52,84.19,1548.9,63.59589286,104.7589286,5.643142857,286.8392857,1.618226156,3.83,2.97,6.59
(주)대한과학,131220,201812,201110,,0,0,0,도매 및 소매업,1,5.797869538,13.01316055,13.75751574,8.93,6.82,0.01,6312.383946,337.6454996,503.9474196,3474.41609,615.44,334.83,149.05,37.93,103.01,93.88,43.34,1799.02,8.86,105.86,1431.98,68.83680328,99.97540984,7.003983607,267.1967213,1.697402852,4.58,3.4,8.87
(주)대한과학,131220,201912,201110,,0,0,0,도매 및 소매업,1,13.85607844,11.49936427,17.23431958,4.1,5.27,-0.02,7400.280368,261.5708117,327.1561166,3716.686185,685.05,323.57,146.13,39.43,89.93,41.33,26.6,229.16,5.62,93.02,1934.58,64.0892126,110.8425197,5.273551181,282.2755906,1.773405471,4.64,3.77,11.21
(주)대한과학,131220,202012,201110,,0,0,0,도매 및 소매업,1,1.16713771,5.554387812,11.49797819,-3.15,8.05,-0.05,8251.16299,369.1596608,717.147652,3811.662501,719.37,296.96,142.87,50.98,117.71,78.77,37.64,730.18,6.33,105.89,2276.76,71.31609756,112.6097561,5.040398374,291.0487805,1.824672638,4.63,4.05,12.32
(주)대한항공,3490,201112,196603,,0,0,0,운수 및 창고업,0,13.2831458,-31.03295192,3.791468452,6.09,2.17,4.35,167265.8254,-2238.020276,27504.47205,29807.44261,588.53,51.15,43.99,22.12,325.37,0.81,13.37,17.31,21.38,28.78,3787.25,171.8641773,760.3751855,5.120972019,1111.676268,4.430947592,4.64,31.01,13.37
(주)대한항공,3490,201212,196603,,1,0,1,운수 및 창고업,0,2.613227902,4.891035569,3.672263573,1.01,1.4,4.17,173408.2673,3495.137122,27504.47205,32360.50242,632.52,54.21,46.26,23.61,351.38,0.55,10.79,14.24,17.03,34.59,4038.89,228.6511543,783.9628823,5.97482731,1125.396539,4.48400649,4.4,27.38,14.26
(주)대현,16090,201112,199009,,0,0,0,제조업,1,4.807864021,6.671452737,5.985976039,9.73,6.93,0.34,4333.02941,184.1434989,-57.09291333,2112.193481,259.55,111.27,42.6,5.42,66.56,15.95,8.52,33.95,3.39,74.3,708.54,88.96847291,132.1477833,0.019162562,427.9384236,2.051440173,7.52,4.99,10.79
(주)대현,16090,201212,199009,,0,0,0,제조업,1,14.44499068,4.47270849,10.54074469,11.82,4.89,0.42,4789.762978,150.7136451,180.8973747,2206.66746,275.45,105.99,37.81,2.32,62.32,9.68,2.83,10.91,1.29,130.48,465.67,83.76147577,64.1938326,0.01446696,437.9735683,2.218073269,7.52,4.62,10.52
(주)대현,16090,201312,199009,,0,0,0,제조업,1,8.746818932,7.572991089,13.09384684,5.07,6.02,0.49,5416.927206,194.1745242,75.04321224,2373.774659,303.58,114.26,36.44,1.22,62.69,10.19,5.33,19.45,2.36,143.17,492.7,94.76744235,66.19496855,0.011226415,453.3186583,2.36524709,7.52,4.16,10.45
(주)대현,16090,201412,199009,,0,0,0,제조업,1,4.398199301,2.166161755,0.045839028,5.03,3.36,0.53,5419.410273,103.3675402,60.78983161,2425.185464,312.23,119.97,33.63,1.31,58.07,5.64,2.65,9.02,1.25,144.62,534.88,86.70189621,59.95209581,0.008269461,450.5848303,2.258575854,7.52,3.44,10.32
(주)대현,16090,201512,199009,,0,0,0,제조업,1,-0.020382912,6.765210516,5.77320407,0.0,4.48,0.45,5732.283887,182.9700605,233.4077259,2589.267199,339.84,126.63,35.24,1.16,61.74,8.66,6.14,24.05,2.57,170.23,771.13,94.14443114,55.30339321,0.005848303,450.493014,2.2863055,7.52,3.34,10.96
(주)대현,16090,201612,199009,,0,0,0,제조업,1,10.63501791,38.68027966,7.937066373,0.2,6.76,-0.19,6187.259064,1035.241466,221.1186443,3590.784127,508.4,231.18,118.6,21.13,74.81,67.76,11.82,0.0,3.67,706.81,1680.99,197.1188645,27.88844622,0.003422311,497.4103586,2.00233178,4.96,3.57,11.21
(주)대현,16090,201712,199009,,0,0,0,제조업,1,-1.140073239,6.368368847,1.256718237,0.0,5.59,-0.38,6265.015477,275.5799781,-53.49722662,3819.460624,546.88,282.15,137.74,9.84,95.92,3609.853333,5.14,0.0,1.34,112.82,978.8,106.3975697,94.31075697,0.001005976,491.7390438,1.690902576,3.57,3.58,9.87
(주)대현,16090,201812,199009,,0,0,0,제조업,1,4.909128954,7.334399919,0.924201976,-1.0,7.08,-0.62,6465.703393,337.8069934,380.9947584,4192.193226,589.95,312.24,143.41,4.35,87.76,1868.31,9.85,0.0,2.52,121.62,985.53,114.8881288,94.46076459,2.01e-06,521.0704225,1.596883295,3.71,3.33,9.75
(주)대현,16090,201912,199009,,0,0,0,제조업,1,1.823973673,7.288849457,4.63392997,-7.24,7.75,-0.67,6765.31956,375.7417127,202.0632844,4497.755424,640.24,327.35,127.61,22.31,125.05,285.65,20.01,642.09,4.31,161.84,1280.73,162.8856833,100.64859,2.17e-06,572.0065076,1.557048734,4.29,3.18,10.97
(주)대현,16090,202012,199009,,0,0,0,제조업,1,-4.084937529,2.196279536,-15.48314843,1.52,2.76,-0.73,5717.83509,203.6543261,291.0283136,4596.530759,656.5,363.66,131.73,9.24,96.48,116.14,22.11,517.68,4.31,127.3,869.36,123.8299359,99.02136752,0.020034188,540.4337607,1.257458639,4.49,2.72,10.78
