회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,총자본정상영업이익률,자기자본순이익률,금융비용부담률,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,설비투자효율,기계투자효율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,자기자본회전률,당좌자산회전률,재고자산회전률,매출채권회전률
(주)SIMPAC,9160,201112,198907,,0,0,0,제조업,1,26.19510961,24.12474967,30.34391494,19.08811364,11.74,18.41861158,11.6,9.42,15.9,-0.29,20.24,7404.719008,858.747719,633.5605473,5357.861504,1075.2,130.69,108.07,54.55,160.8,84.02,20.93,14.71,47.94,9.7,73.71498705,74.79,533.38,33.45089233,185.7798054,243.9766537,39.1939572,1155.459144,1.274796255,1.8,9.05,3.66
(주)SIMPAC,9160,201312,198907,,0,0,0,제조업,1,13.59431263,3.928993351,11.16256187,-8.698414966,0.73,-6.319362055,9.74,6.93,10.11,-1.49,14.48,7074.151094,689.1403708,414.6669795,6804.24653,1349.5,81.19,62.03,7.16,182.56,73.34,16.58,8.23,19.01,6.13,-101.9307436,62.56,349.24,38.70562658,159.2655235,232.0252708,47.66966065,1262.949458,1.037334529,1.96,8.07,3.06
(주)SIMPAC,9160,201412,198907,,0,0,0,제조업,1,5.512201318,-28.59405568,4.929441837,27.8983174,10.11,-26.51534583,5.44,4.66,6.7,0.53,11.14,9047.720219,492.0871895,1184.249229,7010.676493,1417.16,105.96,76.17,19.44,158.91,74.3,8.48,14.28,56.94,8.84,494.1057717,30.95,284.41,54.55637683,114.8911475,231.4918033,42.75352787,1079.757377,1.229809046,2.81,7.93,3.67
(주)SIMPAC,9160,201512,198907,,0,0,0,제조업,1,10.70698041,14.93576268,5.879098316,2.422845961,-2.95,22.48387432,6.1,5.28,7.29,0.44,14.09,9266.932543,565.5841643,352.6441275,7567.081572,1508.53,102.82,69.62,14.76,145.26,82.25,14.66,11.71,42.01,8.29,494.1057717,34.11,295.6,52.02996624,163.8898649,256.2398649,53.40242568,1247.800676,1.194893667,2.43,5.56,3.56
(주)SIMPAC,9160,201612,198907,,0,0,0,제조업,1,-1.174925271,-1.617814206,3.624312421,-0.910436635,3.38,10.94655434,6.06,5.61,6.85,0.42,12.76,9182.562994,556.4340634,1211.818906,7872.084937,1585.77,113.8,84.21,33.41,143.41,73.81,16.75,12.82,41.51,8.52,214.4259929,33.07,247.21,51.45748802,149.7325817,245.5228758,65.43861111,1196.879085,1.130653592,2.15,5.23,3.67
(주)SIMPAC,9160,201712,198907,,0,0,0,제조업,1,-8.784458112,-20.3174487,0.170358502,-13.64390495,-0.33,-50.36145424,5.59,2.93,5.36,0.37,8.35,7929.702827,443.380858,-328.1269936,7694.088948,1643.73,115.32,85.28,23.55,260.25,58.27,10.1,9.16,23.27,5.57,196.0746752,25.07,218.27,60.24502511,109.5472459,230.8295082,53.86762951,1124.606557,0.958497014,1.9,5.41,3.21
(주)SIMPAC,9160,202012,198907,,0,0,0,제조업,1,8.559551973,259.8358517,5.16566483,-14.93235868,-1.43,-30.10362597,9.33,1.1,7.54,0.6,18.28,5591.716482,521.7749739,-260.4751195,6636.347425,1389.64,141.82,88.93,49.68,102.77,58.9,2.64,3.74,7.06,2.79,126.4750844,42.37,372.74,39.734838,142.1464256,298.8016529,49.07327479,1356.657025,0.808375431,1.73,3.33,7.19
(주)SNT에너지,100840,201112,200802,,0,0,0,제조업,1,9.49985093,-249.7925639,-3.661690281,-8.657168282,2.22,-183.0175364,-2.13,-2.49,-2.53,0.15,76.67,27569.43457,-586.5906277,-2079.939134,22668.28445,4775.29,151.52,135.46,21.28,137.93,72.18,-9.21,-14.12,-38.29,-8.38,-16.06388016,-4.14,-57.88,0.0,-27.57027174,666.2282609,31.39891304,1502.782609,1.216212802,1.58,18.73,4.55
(주)SNT에너지,100840,201312,200802,,0,0,0,제조업,1,6.445735983,78.14904309,8.105755924,-12.98465446,7.18,11.0463951,8.06,5.56,8.49,-0.56,74.22,28336.2002,2285.190495,2841.211911,27971.186,5494.23,197.1,177.76,71.62,108.13,57.28,50.81,20.6,450.13,11.65,-19.34265656,30.03,880.31,39.89592521,172.9437321,575.9186603,19.64580383,1491.267943,1.052509861,1.31,11.41,4.16
(주)SNT에너지,100840,201412,200802,,0,0,0,제조업,1,-2.298373815,-30.42328549,4.818130776,20.91940132,4.31,-18.01169455,4.64,4.47,5.55,-0.31,75.09,34263.96364,1589.960466,-2079.939134,29318.89566,5763.77,222.54,199.37,50.89,158.47,46.6,41.09,-2.4,-38.29,-0.96,-23.16495805,26.6,763.41,49.05022201,146.4270642,550.7614679,19.18069725,1396.844037,1.196159345,1.54,13.66,5.39
