회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순자산,유보율,자기자본구성비율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,부채비율,이자보상배율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,노동장비율_계산,기계장비율_계산,자본집약도_계산,재고자산회전률,매출채권회전률,순운전자본회전률
(주)종근당홀딩스,1630,201612,197606,,0,0,0,제조업,1,40.84979074,43.74734386,51.31969852,-20.83,-18.20875502,3.82,0.06,86.72,55.57,67002.96795,62445.04588,2823.14,77.66066073,220.87,148.28,59.32,243.53,28.77,16.34,22.42,1.96,5.157894737,0.0,16580.15789,4.36,4.77,0.9
(주)종근당홀딩스,1630,201712,197606,,0,0,0,제조업,1,16.04132346,16.81856744,34.27701539,-15.79,88.69832163,5.71,0.04,84.01,52.26,89969.58558,65937.15874,3164.87,78.1808313,232.17,162.47,42.92,243.96,27.91,27.25,81.32,4.71,5.0625,0.0,20940.8125,4.83,4.97,1.05
(주)종근당홀딩스,1630,201812,197606,,0,0,0,제조업,1,6.420130084,4.777353953,17.8329464,62.5,23.49564385,6.36,-0.04,87.79,53.71,106013.8136,68612.88167,3327.4,76.97397689,201.51,134.22,24.01,259.52,29.91,36.93,68.94,5.49,0.730769231,0.0,13326.53846,5.71,5.19,1.24
(주)종근당홀딩스,1630,201912,197606,,0,0,0,제조업,1,23.32976037,10.32929112,35.68525877,0.0,60.40045871,8.85,0.18,86.8,54.43,143845.1173,69338.65031,3644.0,68.85997571,140.22,91.29,16.86,224.69,45.22,29.23,48.4,6.94,0.961538462,0.0,14474.73077,6.75,6.33,1.43
(주)종근당홀딩스,1630,202012,197606,,0,0,0,제조업,1,17.09364763,13.54415242,19.07664947,53.85,3.600595683,7.65,0.26,84.5,55.85,171285.9461,70704.15726,4224.93,66.77260241,140.66,82.03,13.54,166.5,49.76,25.65,40.39,7.07,1.475,0.0,9836.8,6.1,7.37,1.37
(주)좋은사람들,33340,201112,199711,,0,0,0,제조업,1,13.18152678,11.84622081,7.263728698,3.09,-79.27923886,1.07,0.75,99.86,4.75,7165.790205,3995.186923,707.75,63.3555528,240.99,120.84,15.9,837.5,57.84,0.86,-14.31,-2.98,24.566,0.308172,224.212,3.56,4.01,1.19
(주)좋은사람들,33340,201212,199711,,0,0,0,제조업,1,6.947572305,14.54319662,6.871351052,-2.8,168.9487144,2.64,0.49,98.42,3.68,5608.634532,3415.355078,574.35,67.85518722,305.9,146.0,16.86,916.3,47.37,3.13,-21.91,-3.3,24.05967078,0.232899177,249.0987654,3.21,4.07,1.2
(주)좋은사람들,33340,201312,199711,,0,0,0,제조업,1,-0.548113982,3.15109601,6.578509614,-7.0,-77.39104172,0.58,0.28,99.22,-2.37,5709.818255,3229.696582,563.48,70.37912715,291.45,139.22,9.0,891.34,42.09,0.89,4.41,0.6,24.72787611,0.217236726,259.5619469,3.22,4.03,1.26
(주)좋은사람들,33340,201412,199711,,0,0,0,제조업,1,-1.084958703,1.452462879,-7.325159358,-4.65,256.0301337,2.08,0.28,98.45,0.32,5262.232093,3265.444935,569.07,72.18453019,359.48,195.02,25.93,1095.23,38.53,3.75,39.97,4.58,23.89791183,0.135139211,270.2436195,3.16,3.51,1.18
(주)좋은사람들,33340,201512,199711,,0,0,0,제조업,1,-1.024535912,1.598835022,-8.476612226,-5.57,-49.49101821,1.06,0.07,99.15,-0.14,4693.565018,3202.683756,562.13,74.09780031,364.29,192.96,34.65,943.98,34.96,2.98,86.68,7.43,26.37592138,0.259206388,283.5896806,3.07,3.29,1.11
(주)좋은사람들,33340,201612,199711,,0,0,0,제조업,1,-2.517370377,-4.163077081,2.156930338,-3.93,-441.5131442,-3.68,0.0,103.71,-5.72,4794.801946,3033.63524,535.44,72.84687749,310.96,178.51,42.23,769.56,37.27,-14.74,69.35,6.1,26.61892583,0.237066496,289.1381074,3.27,3.65,1.13
(주)좋은사람들,33340,201712,199711,,0,0,0,제조업,1,-11.02454944,-12.31769494,-5.81442246,-2.56,-18.89148383,-4.7,0.08,103.49,-18.27,4516.011904,2711.061142,459.77,71.78814037,293.37,166.08,47.89,755.18,39.3,-16.81,50.22,4.81,26.05774278,0.093346457,266.8293963,3.39,3.8,1.09
(주)좋은사람들,33340,201812,199711,,0,0,0,제조업,1,3.796220734,22.26246405,7.625067335,-11.29,295.1309601,2.51,-0.07,97.7,-18.89,4292.279475,2892.849806,488.72,84.55986999,532.05,248.47,141.64,592.63,18.26,9.84,33.58,0.98,26.15384615,0.070260355,311.6449704,3.3,5.88,1.27
(주)좋은사람들,33340,201912,199711,,0,0,0,제조업,1,7.173859369,-11.43205765,-1.307914403,-0.3,-462.9820594,-8.63,0.18,108.18,-34.82,4236.140133,2573.038105,418.68,69.87985442,347.27,135.68,9.56,616.77,43.1,-14.12,-38.79,-6.36,68.54005935,0.059679525,332.3590504,2.81,7.61,1.3
(주)좋은사람들,33340,202012,199711,,0,0,0,제조업,1,8.701456023,12.45147458,-11.57610755,-16.62,-153.9601605,-20.29,-0.04,121.45,-58.25,2244.700773,1747.72799,247.14,72.2905926,407.06,223.15,27.38,650.89,38.33,-24.91,-26.93,-4.77,67.18149466,0.247380783,399.519573,2.77,6.74,1.16
(주)주연테크,44380,201112,200611,,1,1,1,제조업,1,-19.59260961,-27.14446455,-40.91136351,0.77,-638.4999137,-20.74,-1.25,111.02,13.39,1507.90655,690.3729604,654.53,77.59424626,492.13,415.34,56.37,147.86,28.88,-188.41,0.0,1.44,1.992366412,0.00021374,291.3587786,8.1,17.17,1.52
(주)중앙디앤엠,51980,201112,200107,,0,0,0,제조업,1,63.46600542,2.117488529,152.2694428,28.85,139.8151426,5.59,0.3,88.27,78.94,2299.127765,2437.902729,468.93,53.59935352,140.36,102.67,3.39,137.61,86.57,17.07,-32.84,-2.38,160.0447761,3.590029851,1055.716418,4.83,2.84,0.66
(주)중앙디앤엠,51980,201212,200107,,0,0,0,제조업,1,-11.93153629,11.28100992,16.8445895,0.0,-24.6261494,3.92,1.77,94.78,78.68,2591.804307,2582.117669,497.2,67.7267428,240.14,145.5,31.22,304.83,47.65,3.17,-34.35,-6.48,52.25373134,7.269402985,924.9701493,3.62,2.47,0.75
(주)중앙디앤엠,51980,201312,200107,,0,1,1,제조업,1,-2.57862487,-0.690337054,-36.27367652,-7.46,-269.0600767,-7.18,1.01,131.39,67.83,1567.735111,2118.497312,314.53,69.03946891,233.95,182.99,31.33,263.84,44.84,-9.52,13.58,1.37,51.77419355,5.826935484,907.7741935,2.73,1.86,0.59
(주)중앙백신연구소,72020,201112,200310,,0,0,0,제조업,1,5.625612774,4.98856801,-3.15384278,8.57,-42.27642015,5.65,-3.35,82.36,65.09,2129.684836,5475.819672,995.16,94.51729617,1175.51,942.25,86.3,683.27,5.8,184.4,2786.43,11.52,152.8596491,60.21449123,372.0,3.82,11.77,0.68
(주)중앙백신연구소,72020,201212,200310,,0,0,0,제조업,1,19.82932299,10.07388529,23.56773332,2.63,89.67977682,9.49,-2.39,76.07,68.2,2631.603279,6027.459016,1105.49,86.82253857,401.02,269.85,40.89,620.15,15.18,133.58,189.83,9.93,249.3504274,73.76609402,434.3333333,3.57,15.95,0.79
(주)중앙백신연구소,72020,201312,200310,,0,0,0,제조업,1,12.22670617,9.070649037,26.4015018,7.69,15.3137448,9.46,-0.41,78.91,70.8,3326.386066,6574.180328,1214.83,84.38090144,300.62,134.33,29.69,105.44,18.51,58.14,144.46,7.98,243.047619,65.29746825,452.6269841,2.52,17.43,0.88
(주)중앙백신연구소,72020,201412,200310,,0,0,0,제조업,1,6.256290925,8.034513046,21.60013333,2.38,8.591502314,9.42,0.07,83.08,72.9,4044.889891,7102.322404,1320.47,85.79303416,352.52,167.54,97.69,118.9,16.56,27.88,151.54,8.75,239.7906977,53.84225581,469.7596899,2.19,19.46,0.9
(주)중앙백신연구소,72020,201512,200310,,0,0,0,제조업,1,2.481806416,5.560585539,16.87475603,6.98,-34.39006503,5.92,0.0,89.62,74.26,4727.455191,7497.26776,1399.46,88.37044582,441.79,237.7,135.36,53.51,13.16,78.20444444,2075.03,13.37,217.7826087,56.15852174,450.0217391,2.54,25.38,1.0
(주)중앙백신연구소,72020,201612,200310,,0,0,0,제조업,1,18.42144651,9.99444117,9.521062465,7.97,92.32174678,10.3,-0.27,81.35,76.54,5177.559153,8246.584699,1549.32,82.081904,398.27,244.61,158.49,104.19,21.83,128.0,133.83,11.99,227.6912752,72.62397987,493.5771812,2.78,22.99,0.94
(주)중앙백신연구소,72020,201712,200310,,0,0,0,제조업,1,10.98837165,7.141859407,-15.91884302,7.38,-20.6155446,7.15,-0.16,83.5,78.05,4353.351639,8835.519126,1667.12,79.23720015,297.97,149.05,88.88,147.14,26.2,90.85,89.84,9.36,278.7125,57.9393125,510.15,2.08,18.68,0.71
(주)중앙백신연구소,72020,201812,200310,,0,0,0,제조업,1,18.52421566,31.43019238,4.037003208,3.13,-36.81749748,3.93,0.01,89.43,62.79,3328.613153,8534.538153,1607.49,87.86525522,534.58,352.22,124.09,367.56,13.81,17.4,122.88,6.86,277.1151515,63.80175758,586.3272727,2.02,17.11,0.66
(주)중앙백신연구소,72020,201912,200310,,0,0,0,제조업,1,-0.18248781,1.603361305,-0.754297041,-0.61,-22.59053351,2.81,-1.23,93.91,63.32,3303.505522,8671.385542,1634.86,89.43726483,575.52,365.27,182.07,434.65,11.81,20.73,161.97,7.25,286.9939024,52.6495122,588.8231707,2.08,13.87,0.62
(주)중앙백신연구소,72020,202012,200310,,0,0,0,제조업,1,8.710819225,1.369260347,10.37785558,10.37,48.58437622,4.0,-0.81,91.19,65.34,3646.338554,8790.160643,1686.43,83.39730533,340.0,212.13,98.62,496.46,19.91,42.86,80.96,7.91,318.6685083,35.60569613,579.9944751,2.31,16.2,0.7
(주)중앙에너비스,440,201512,199303,,0,0,0,도매 및 소매업,1,4.095733829,1.110827292,-10.79582547,0.0,-19.48651744,2.76,0.58,98.4,42.9,72623.27107,35870.45718,1606.69,65.52685164,63.23,41.64,3.05,219.07,52.61,3.99,20.54,5.18,449.2095238,5.344390476,617.1047619,19.79,13.15,2.62
(주)중앙에너비스,440,201612,199303,,0,0,0,도매 및 소매업,1,0.212634966,0.169973357,1.306198299,3.81,-1.312227117,2.72,0.49,98.26,43.26,73571.87501,35629.57574,1616.39,65.49895614,68.11,45.2,10.57,185.88,52.67,4.54,19.59,4.8,424.6238532,3.381954128,592.3577982,19.12,13.22,2.57
(주)중앙에너비스,440,201712,199303,,0,0,0,도매 및 소매업,1,-21.97916813,-11.00839646,-22.71069538,-8.26,-69.5115692,1.03,0.27,97.2,44.12,56863.19059,36287.98499,1586.74,74.70898473,33.67,23.19,0.72,396.77,33.85,1.86,13.75,2.61,457.45,2.96762,604.94,34.37,25.9,3.23
(주)중앙에너비스,440,201812,199303,,0,0,0,도매 및 소매업,1,-2.892578883,0.153984613,7.504491457,-2.0,121.8708585,2.39,0.42,98.49,43.95,12226.09677,7268.838132,1588.98,77.05283923,31.17,24.19,0.57,891.61,29.78,4.41,19.16,3.35,458.9795918,2.342295918,599.4285714,60.37,27.44,4.03
