회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,금융비용부담률,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,당좌비율,현금비율,매출채권 대 매입채무비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,재고자산대순운전자본비율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,재고자산회전률,매출채권회전률
삼보모터스(주),53700,201912,200111,,0,0,0,제조업,1,2.719491474,-462.8884353,-3.467917047,-0.678337438,0.0,-182.4301843,-1.65,1.15,46.05,58892.60086,-972.6247809,1800.028335,5576.899026,2398.06,45.66,14.48,88.6,-0.91,9.17,14.38,-87.70400184,42.9,105.48,15.42,73.72293763,40.81797495,177.0626305,73.11385386,638.8037578,8.67,8.5
삼보산업(주),9620,201212,199312,,0,0,0,제조업,1,-3.753777718,8.086954623,9.136906005,-1.940000203,8.18,1.876289324,0.8,1.82,75.15,213115.7321,1696.838571,6285.397857,19321.42857,3764.33,54.99,1.14,647.27,1.0,2.85,3.18,-22.32281985,47.65,483.39,5.43,36.0984064,136.0538655,376.7647059,28.19405042,1147.991597,11.03,5.76
삼부토건(주),1470,201212,197606,,0,0,0,건설업,1,-5.894771138,87.65717906,-27.0911252,-15.67788476,-5.56,87.38602744,-4.83,6.06,-80.37,76705.237,-2136.550778,3056.572999,12211.02362,252.39,56.96,2.59,58.63,-0.45,-15.35,-21.36,-28.21817782,41.24,992.52,19.77,80.72414204,11.17400347,73.37608319,0.086393414,2550.102253,4.01,5.86
삼성SDI(주),6400,201212,197902,,0,0,0,제조업,1,27.76548011,323.5275692,19.79490051,6.012319175,1.6,-8.266266719,24.25,0.07,31.88,122332.4556,15144.68944,12247.74093,167481.9253,3033.38,92.63,47.23,185.64,7.64,13.17,38.72,135.9375104,199.69,584.26,56.4,23.56749423,580.5634384,145.5376703,42.1149976,1436.872963,10.11,7.88
삼성SDI(주),6400,201812,197902,,0,0,0,제조업,1,22.8438578,15.83586658,6.751831584,44.87359322,11.31,511.6360056,8.14,0.09,8.33,130121.5797,10585.72754,3702.767151,152893.6641,3342.31,94.04,37.79,234.33,13.81,0.07,0.16,115.8730828,97.32,220.02,32.38,45.15747062,180.3046323,217.2028874,75.06676112,1473.158614,6.75,7.37
삼성SDI(주),6400,201912,197902,,0,0,0,제조업,1,2.596292005,-45.99464866,3.559248888,10.25470375,7.59,-35.35727789,3.98,0.46,1.87,143465.1622,5716.859348,13115.0869,155563.4641,3451.9,92.84,30.9,297.56,5.62,8.23,16.42,118.614468,71.85,149.57,29.09,50.05740806,148.6533071,199.2880401,72.86191752,1340.566419,5.85,6.09
삼성공조(주),6660,201212,198711,,0,0,0,제조업,1,-4.186214471,-49.25002519,1.352031806,-15.48314268,-2.47,-38.95128831,2.34,-3.03,3.1,17410.59009,407.8380432,381.0246564,19969.69352,3939.1,255.85,18.3,76.7,3.34,7.44,16.1,7.198532115,87.66,179.7,19.47,71.56362852,47.10673239,32.92112676,13.04387324,569.3098592,16.24,5.43
삼성공조(주),6660,201812,198711,,0,0,0,제조업,1,-1.108828825,-42.37238145,2.72415842,-11.87570014,-1.73,-126.4911312,7.83,-3.03,2.75,9950.520125,779.2412402,181.4235827,25230.62732,5143.08,325.07,34.19,50.1,-4.27,17.87,91.13,11.36175161,73.21,163.56,20.85,80.02907092,51.49180617,50.87665198,25.00900881,1038.894273,8.05,5.45
삼성공조(주),6660,201912,198711,,1,0,1,제조업,1,-0.667700517,-20.42319458,2.272614488,-6.967948017,-6.61,-261.1646507,6.7,-3.03,2.02,9257.173055,620.0952855,904.4563132,25704.02768,5254.47,332.53,19.48,45.29,-16.55,11.12,58.25,11.28615193,61.26,154.42,20.38,91.57430874,47.30896226,49.98113208,23.55094811,1110.198113,6.78,6.3
삼성에스디에스(주),18260,201812,201411,,0,0,0,정보통신업,0,10.11421676,17.90788955,7.502894331,7.904037836,-2.17,19.92957975,6.37,-0.64,75.82,129678.2656,8255.497804,15463.49927,66823.40413,8431.84,372.3,73.77,233.45,526.31,54.45,3402.53,0.435906723,359.07,1043.55,35.98,61.77363704,208.1913339,77.93247614,23.0707191,487.3474008,460.98,8.02
