회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,설비투자효율,기계투자효율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,재고자산회전률,매출채권회전률
성보화학(주),3080,201112,197612,,0,0,0,제조업,1,6.214667246,767.8950912,-1.972225506,16.97564481,-1.41,130.7525847,1.82,1.63,1.86,-0.69,2.51,20580.73526,890.1013986,1697.396603,42948.55145,758.97,435.85,183.5,95.04,40.73,457.74,14.77,387.55,5.23,-252.3488281,23.79,933.55,67.30369131,66.60428571,279.9357143,7.134492857,718.4714286,1.69,14.37
성보화학(주),3080,201212,197612,,0,0,0,제조업,1,1.006295602,66.87948202,1.807928661,9.993419838,1.43,74.20325343,2.94,2.75,3.21,-0.39,3.19,22637.45455,1485.396603,1156.068432,43725.27473,774.5,453.16,170.39,77.81,37.4,81.81,20.31,0.0,6.3,-282.7706031,33.41,1254.88,51.6686813,91.58373239,274.0985915,7.298225352,715.4788732,1.7,14.11
성보화학(주),3080,201712,197612,,0,0,0,제조업,1,-4.566116256,-87.64268973,0.538074436,0.615613949,-4.14,-315.1912323,4.88,-1.45,-1.71,-3.09,7.17,2915.524925,463.1825674,232.2128372,8062.637363,1512.52,553.27,322.77,167.24,43.42,-21.15,-7.79,0.0,-3.23,-230.500929,44.74,163.26,42.99290959,146.4630935,327.3741007,89.71392086,1335.417266,1.38,9.73
성보화학(주),3080,201812,197612,,1,0,1,제조업,1,-1.216276398,-33.8404698,-4.785925191,-15.16414015,6.47,692.7769383,3.33,0.16,0.19,-2.96,3.49,2473.410639,306.4394106,410.4974026,7676.723277,1445.96,714.04,429.04,215.3,25.38,-21.15,21.68,0.0,12.99,-285.0080406,45.82,171.59,48.5560031,129.2779054,282.1283784,75.34119595,1238.952703,1.25,11.56
성신양회(주),4980,201112,197606,,0,0,0,제조업,1,-17.08664661,60.45513081,-36.05506906,-12.18492236,-7.8,692.7769383,-3.11,0.62,2.07,6.45,66.11,23828.66747,-1830.048332,-346.5763809,16615.7164,224.26,50.4,36.57,0.98,322.94,0.15,-3.18,-4.14,-5.34,-16.34760199,18.22,51.7,40.48421787,188.1156706,1109.266764,331.1692559,1665.686589,8.88,2.51
성신양회(주),4980,201212,197606,,0,0,0,제조업,1,-2.485820526,767.8950912,-1.986569774,12.49148405,-9.18,116.7238675,0.27,1.41,4.82,6.45,67.3,26805.22167,152.4847285,583.9519486,16246.31042,216.23,60.74,48.33,0.98,348.81,0.34,0.3,0.42,0.44,-31.61341534,24.78,75.24,29.55055244,254.0235795,1079.600321,331.1692559,1789.900482,9.53,2.6
성신양회(주),4980,201712,197606,,0,0,0,제조업,1,0.704659793,-2.298145089,17.64795653,-5.741127514,-1.15,-10.89398403,1.19,3.22,9.49,1.59,53.97,25629.15632,479.9102778,2563.557022,14799.78511,191.34,53.96,42.94,1.36,241.19,2.58,13.61,27.01,13.66,-23.9310483,24.36,112.38,42.26894297,221.3933624,946.2343523,200.6533042,1478.227074,12.94,3.26
성신양회(주),4980,201812,197606,,0,0,0,제조업,1,3.709643145,37.04853027,3.491353255,6.318204146,-9.32,-9.234038805,1.59,2.86,7.83,1.53,59.46,27248.45874,657.7099823,804.8839687,15318.7597,201.54,56.76,45.0,0.98,221.51,2.34,6.31,11.89,6.18,-27.18596713,23.09,106.97,44.37281978,222.4139486,855.1942215,207.3937737,1565.149278,12.31,3.82
성신양회(주),4980,201912,197606,,0,0,0,제조업,1,-3.013587955,4.633771522,3.459741254,2.814442405,-2.09,-30.30369902,1.66,1.99,5.28,1.53,55.82,28015.35092,688.1867602,2235.603059,15851.00071,211.99,58.54,45.69,2.67,205.76,1.58,6.1,11.04,5.43,-30.98977719,22.5,107.92,49.55291941,196.9177049,859.4590164,203.4214197,1551.468852,12.32,4.26
성우전자(주),81580,201112,200710,,0,0,0,제조업,1,23.2963501,304.8228701,18.76371851,20.4385833,3.57,358.2156832,10.34,8.09,11.76,-0.7,25.6,12465.2274,1014.570959,1102.013425,6908.90411,1426.19,210.15,194.43,26.13,134.46,38.84,22.94,113.98,6.13,14.273446,83.56,240.3,49.27991681,87.41241379,88.11724138,21.03871034,470.2689655,30.61,5.39
성우전자(주),81580,201212,200710,,0,0,0,제조업,1,17.54314016,-42.5021279,12.50070952,13.50396764,5.52,-37.54518417,5.09,4.33,6.48,-0.72,18.21,7074.263836,291.6783562,588.5364384,3885.342466,706.6,178.86,157.95,11.12,93.53,13.27,26.65,55.04,8.05,26.51959159,61.27,183.33,62.66244404,64.87751634,84.8627451,20.92337908,500.4052288,21.9,7.02
성우전자(주),81580,201712,200710,,0,0,0,제조업,1,-1.629388162,-41.88622924,2.680726217,6.238530684,3.27,3.43573593,5.17,6.09,8.46,-0.13,16.16,11834.05531,470.2326384,914.3921358,5156.194394,1232.17,239.14,217.93,32.63,217.62,15.82,40.78,74.34,8.2,15.24374543,78.94,166.49,52.11260704,57.89962025,98.65822785,19.77162658,546.2025316,28.4,12.45
성우전자(주),81580,201812,200710,,0,0,0,제조업,1,-1.493526358,20.60362554,6.850318806,-13.5851539,-30.38,-21.62857985,6.34,4.85,6.33,-0.3,12.64,10226.38068,567.1176104,1692.86413,5122.212247,1327.18,306.37,283.57,54.05,204.36,15.58,72.77,171.49,12.75,11.04773327,84.15,188.55,53.64107175,81.24981818,134.1363636,22.37058182,765.4363636,25.3,11.94
성우전자(주),81580,201912,200710,,0,0,0,제조업,1,-7.882418731,-161.1991598,-6.368499101,-25.12909874,-1.82,-175.3379246,-4.07,-3.83,-4.76,-0.54,5.33,7656.583383,-347.0712128,57.68143871,4858.737761,1230.91,297.7,272.71,37.04,195.69,-13.56,56.73,114.82,11.43,12.63699577,47.97,150.74,81.9287291,25.32453704,148.5555556,17.28860185,741.3333333,21.99,11.85
성우테크론(주),45300,201112,200112,,0,0,0,제조업,1,-23.38314034,490.5541262,2.978482022,-39.06662204,-4.28,276.1145673,7.38,10.85,22.42,4.51,65.91,3154.545178,537.451754,221.6436783,3539.284007,655.24,87.26,84.98,13.39,115.12,4.62,9.81,11.88,11.47,-17.91916744,56.01,165.52,55.76221345,62.70162602,93.20325203,28.23728049,182.6463415,57.47,9.79
성우테크론(주),45300,201212,200112,,0,0,0,제조업,1,3.489788073,-98.65360102,-1.706896799,3.140534281,-4.07,-104.3524374,0.1,-0.45,-0.93,2.78,64.81,3163.618656,7.036087941,135.3535537,3398.878606,622.25,86.29,83.18,5.32,124.14,-0.22,4.5,5.57,5.55,-22.66751556,46.46,133.67,68.53689687,50.09309322,95.91101695,25.79886441,202.0042373,40.25,11.48
성지건설(주),5980,201112,199503,43377.0,1,1,1,건설업,1,1.258050175,395.8353392,102.2831019,-34.21259601,-15.15,46.60412485,18.05,-11.54,0.0,4.14,-112.34,9333.210412,5960.305272,1388.870115,5184.998543,10.42,143.28,140.04,30.6,72.3,-3.76,67.44,401.32,27.93,-3.2416793,1880.24,0.0,12.69089751,478.7581429,5.328571429,0.0,935.4214286,20.13,6.18
성창기업지주(주),180,201112,197606,,0,0,0,"전문, 과학 및 기술 서비스업",0,27.02165381,107.3842237,82.53623778,8.101457609,18.97,314.6287621,4.65,7.26,17.69,5.04,28.36,24757.79183,2330.766333,1994.214167,13736.16667,352.92,61.47,39.35,2.38,159.6,2.76,4.43,5.38,5.31,-57.42450002,19.7,267.73,47.88779733,175.9437681,202.3478261,1.45e-05,1244.768116,6.55,5.56
성창기업지주(주),180,201212,197606,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.641837363,767.8950912,98.16452668,8.548848706,13.04,-98.69120907,18.05,0.09,0.15,4.37,17.63,26874.298,16127.38,-1644.348333,14215.0,777.89,201.86,142.28,72.93,178.09,0.04,1.48,2.61,0.65,58.49080133,74.92,862.45,15.1831499,126.6421795,180.9871795,1.28e-05,1123.051282,5.83,5.89
성호전자(주),43260,201112,200111,,0,0,0,제조업,1,8.371164683,-86.72658519,0.296774025,-13.90780814,-29.82,-76.66860172,0.77,1.9,3.83,0.62,39.88,4632.603521,28.10784177,151.0135742,1886.946056,285.23,144.04,95.72,14.28,197.22,2.18,7.8,11.59,3.37,109.7084547,57.91,194.42,70.69230921,92.29141667,122.6,0.255816667,881.8583333,6.27,5.02
성호전자(주),43260,201212,200111,,0,0,0,제조업,1,-3.228481385,-753.62334,-10.96669208,-19.24859691,-5.83,-275.2888877,-4.79,-3.19,-6.84,1.3,37.31,3622.403261,-177.9002826,202.0382061,1937.359347,232.81,163.31,110.92,22.75,159.84,-2.23,8.64,12.51,4.81,82.75651322,31.89,93.63,85.60795753,53.65920354,126.300885,0.199327434,1015.902655,5.47,4.4
세기상사(주),2420,201112,196812,,0,0,0,도매 및 소매업,1,66.03900323,1.90183106,102.2831019,-4.334709346,-4.44,44.46440373,-1.28,-0.72,-1.22,6.45,1.3,14791.95617,-1659.58115,-1131.867161,74675.16536,1420.08,208.01,207.63,12.52,0.0,-0.54,-0.86,-1.5,-3.04,0.344721531,5.36,1795.87,76.53922112,53.69674419,984.1395349,2.990023256,1199.651163,290.53,1.84
