회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,총자본증가율,순이익증가율,자기자본증가율,종업원수증가율,정상영업손익증가율,매출액정상영업이익률,매출액순이익률,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,총자본투자효율,설비투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,유동자산회전률,당좌자산회전률,재고자산회전률,자기자본구성비율,총자본회전률,타인자본회전률,순운전자본회전률
(주)MH에탄올,23150,201212,199612,,0,0,0,제조업,0.133347887,1616.277678,-7.005543678,1.96,803.7149942,9.12,0.48,0.21,4.06,13.24,1.01,7.51,98.31,85.99,8538.310714,41.05271429,-700.886,8387.571429,787.71,238.69,-2.5,-1.76,-3.95,11.43,21.39,25.71,37.65607508,220.6909615,1.25,1.83,3.94,29.5256308,0.45,0.64,0.47
(주)MH에탄올,23150,201312,199612,,0,0,0,제조업,-3.488371946,2345.717527,15.64399285,-1.92,-44.79294932,4.84,11.3,5.32,2.28,7.04,16.85,5.07,98.82,82.42,8885.698143,1004.033429,873.4357143,6731.428571,939.04,182.66,0.72,0.47,0.97,10.06,18.55,20.98,40.05949384,-198.0331373,1.33,2.07,3.76,35.37876115,0.47,0.7,0.5
(주)MH에탄올,23150,201412,199612,,0,0,0,제조업,-34.05073231,-102.8910961,15.04430493,3.92,190.5516122,17.85,-0.41,-0.19,8.13,17.72,-0.38,2.46,90.72,82.1,6638.694639,-27.53842705,699.2214976,7116.326486,1048.39,62.03,17.21,6.59,11.51,13.21,31.73,23.06,38.67303873,208.1232075,1.36,1.87,5.03,61.71599972,0.46,0.84,0.55
(주)MH에탄올,23150,201512,199612,,0,0,0,제조업,-7.644589125,102.6122076,9.652951927,-11.32,26.84050306,22.01,15.44,9.46,13.48,20.04,14.06,1.17,80.41,84.97,6828.762682,1054.22045,1813.921371,7802.371368,1178.69,36.47,43.92,11.74,18.4,20.83,44.99,32.66,26.63980529,350.0610638,1.97,2.48,9.52,73.27498721,0.61,1.87,0.97
(주)MH에탄올,23150,201612,199612,,0,0,0,제조업,-8.4262173,4.706390989,9.842964973,-8.51,7.054292129,24.28,16.66,10.76,15.69,19.55,13.41,0.6,78.78,86.9,6626.936735,1103.836186,1659.658176,8573.257043,1314.52,13.77,146.33,17.71,26.21,23.63,46.21,34.95,28.31500723,392.6251163,2.32,2.96,10.7,87.8935173,0.65,3.27,1.39
(주)MH에탄올,23150,201712,199612,,0,0,0,제조업,591.4326057,-47.10576862,68.03111037,11.63,-31.64573325,15.62,8.29,1.5,2.84,9.53,10.42,-1.46,88.65,90.08,7044.378782,583.8656664,452.2434427,8768.553502,1410.23,368.17,1.98,1.56,14.99,2.84,3.65,27.32,38.05332824,310.0485417,0.99,1.11,9.33,21.35977561,0.18,0.26,0.34
(주)MH에탄올,23150,201812,199612,,0,0,0,제조업,-11.99619191,-379.3230748,-14.27578638,4.17,-84.86820585,1.69,-16.53,-2.56,0.26,1.24,-0.93,14.97,112.24,99.39,9865.908584,-1630.871532,-1527.360478,9279.902246,1355.58,380.62,-1.14,-0.9,-5.45,3.83,4.32,23.15,35.78520565,320.945,1.27,1.42,11.99,20.80648561,0.15,0.2,0.33
(주)MH에탄올,23150,201912,199612,,0,0,0,제조업,2.566448174,37.24113362,-13.31695475,-6.0,537.4432098,9.68,-9.34,-1.69,1.76,9.16,-0.88,12.76,105.78,101.53,10961.44975,-1023.516486,1540.813301,8060.959601,1277.63,468.69,0.01,0.01,0.06,5.0,5.62,27.91,30.96013195,108.437234,2.59,3.39,11.0,17.58440081,0.18,0.22,0.33
(주)MH에탄올,23150,202012,199612,,0,0,0,제조업,-0.397605002,298.5904419,1.305491938,14.89,101.5802193,16.67,4.02,0.84,3.5,19.75,11.49,12.52,94.65,101.94,12827.12008,515.3906078,2573.11501,7807.656976,1363.18,459.13,4.11,3.38,16.04,10.06,11.5,47.78,22.02879444,205.4540741,2.68,3.5,11.45,17.8850757,0.21,0.26,0.38
(주)SH에너지화학,2360,201112,198512,,0,0,0,제조업,14.4585072,310.0069296,3.08790843,-1.8,23.48991936,2.41,1.04,1.8,4.16,6.57,3.31,0.77,98.0,4.5,1553.726486,16.15512027,52.25331551,578.5704066,15.02,60.5,8.32,3.13,1.9,13.57,44.34,8.2,59.35306122,130.4706422,3.88,4.8,20.16,62.307196,1.73,4.71,2.27
(주)SH에너지화학,2360,201212,198512,,0,0,0,제조업,-0.974751969,-88.29221109,-0.553511841,2.75,-47.59504828,1.13,0.11,0.2,2.1,3.36,0.61,0.65,99.59,6.05,1745.097978,1.897193583,-7.699526588,583.8494619,14.69,59.82,6.4,2.4,1.28,14.0,45.27,7.49,70.259756,117.5369643,3.85,5.14,15.32,62.57224245,1.86,4.96,2.36
(주)SH에너지화학,2360,201312,198512,,0,0,0,제조업,6.556925846,2084.86346,7.271657822,3.57,194.259531,2.77,1.99,4.3,6.0,9.55,7.35,0.52,97.71,12.26,2086.668367,41.45108937,53.53362135,627.875035,23.54,58.75,6.23,2.31,1.1,18.86,66.7,8.98,57.97240075,161.4256897,4.23,5.56,17.73,62.99194659,2.17,5.82,2.66
(주)SH에너지화학,2360,201412,198512,,0,0,0,제조업,0.228489815,263.2193384,21.03194923,20.69,231.1201021,9.21,7.25,15.13,19.23,27.66,21.7,0.34,90.96,26.39,2077.674023,150.5583726,222.6870176,750.441223,49.06,31.46,57.91,13.86,6.65,33.51,122.0,16.07,35.16254844,241.4039286,3.87,4.94,17.87,76.06657643,2.09,6.85,2.64
(주)SH에너지화학,2360,201512,198512,,0,0,0,제조업,4.315747045,-24.75599487,8.795430361,4.29,7.889598239,10.6,5.82,11.13,20.29,26.1,14.62,0.09,91.94,31.84,1947.466811,113.2861496,221.6185629,816.4480909,62.33,26.05,103.42,21.37,11.41,31.5,112.7,16.81,45.24632793,239.0107534,3.37,4.21,16.78,79.33314148,1.91,8.59,2.6
(주)SH에너지화학,2360,201612,198512,,0,0,0,제조업,7.763107375,43.19296664,13.57684568,1.37,5.015146943,11.04,8.26,15.02,20.08,24.63,18.66,-0.07,89.41,39.53,1965.069059,162.2177984,105.1445227,927.5062657,84.85,19.6,89.01,14.59,8.31,32.85,130.53,18.72,38.24387805,266.2941892,2.87,3.39,18.61,83.61310459,1.82,9.87,2.4
(주)SH에너지화학,2360,201712,198512,,0,0,0,제조업,0.661449466,-45.20426063,3.46298736,0.0,-41.15662483,7.54,5.25,7.91,11.35,13.39,9.21,-0.1,93.35,40.46,1692.594085,88.888442,127.8424185,951.2151121,90.76,16.36,73.48,10.33,6.88,23.24,94.63,15.48,50.02467638,184.1913514,2.19,2.68,11.92,85.94016507,1.51,9.9,1.95
(주)SH에너지화학,2360,201812,198512,,0,0,0,제조업,-2.296240954,-79.41534298,-2.138086884,5.41,-85.18771344,1.14,1.11,1.64,1.7,1.97,2.21,-0.11,98.53,39.13,1651.960128,18.29738091,46.81270776,936.3419724,87.25,16.17,56.94,7.93,5.29,16.27,67.41,10.85,75.98243207,127.2395513,2.12,2.8,8.69,86.07927729,1.48,10.59,1.95
(주)SH에너지화학,2360,201912,198512,,0,1,1,제조업,0.801363601,-251.9569526,-6.064011679,1.28,-249.053849,-2.22,-2.19,-2.51,-2.55,-3.06,-2.84,-0.2,102.32,35.02,1267.344236,-27.80414243,144.6976537,876.2465702,76.79,24.66,43.59,8.62,7.56,11.1,44.32,9.73,107.577529,82.02468354,1.66,2.16,7.22,80.21659328,1.15,6.79,1.54
