회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,자기자본구성비율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,자본집약도_계산,총자본회전률,타인자본회전률,유동자산회전률,재고자산회전률,순운전자본회전률,유동비율,당좌비율,현금비율,총자본투자효율,당좌자산회전률
아이크래프트(주),52460,201912,200501,,0,0,0,정보통신업,0,0.09,-0.69,-0.13,100.25,87.56,5049.182376,-17.72426988,561.162234,2284.71702,417.34,60.46802233,65.38,0.19,18.99,90.51,7.51,5.44,996.55,49471.43,18.77,93.43383587,85.71755396,351.2086331,1.45,4.06,1.71,11.24,1.21,220.15,189.76,96.92,25.9,2.02
아이크래프트(주),52460,202012,200501,,0,0,0,정보통신업,0,0.48,3.61,-0.01,98.72,90.82,6591.195019,77.13019827,-461.8726424,2175.119059,432.97,43.99422128,127.3,1.12,1.82,4.88,1.02,0.75,258.84,91612.42,17.41,85.48488124,92.9833557,409.1275168,1.54,3.16,1.86,11.41,1.22,168.43,137.56,47.4,23.53,2.23
아이텍(주),119830,201112,201010,,0,0,0,"전문, 과학 및 기술 서비스업",0,7.19,2.15,4.55,97.9,37.76,4562.71801,101.1492315,1623.452164,4764.979998,853.01,46.98659249,112.83,1.53,36.44,46.73,18.84,28.6,39.36,58.39,65.0,45.16633831,86.36100962,253.9759615,0.46,0.87,4.23,0.0,1.48,51.15,39.19,18.29,34.0,4.23
아이텍(주),119830,201212,201010,,0,0,0,"전문, 과학 및 기술 서비스업",0,-3.88,-7.81,5.3,110.9,32.81,4113.806444,-358.7088691,884.4062809,4419.619255,783.94,42.50999186,135.24,-0.68,20.98,24.06,12.06,28.6,41.21,62.78,65.0,52.2241649,80.9877,270.79,0.4,0.72,4.08,0.0,1.28,53.43,53.43,32.72,29.91,4.08
아이텍(주),119830,201312,201010,,0,0,0,"전문, 과학 및 기술 서비스업",0,4.07,0.32,4.1,98.73,33.27,4261.75292,14.00736334,1553.930221,4450.718999,790.14,48.15513851,107.66,0.95,25.44,30.4,13.19,28.6,55.95,96.59,65.0,43.97296967,94.47101604,257.4545455,0.43,0.79,3.81,0.0,1.32,52.52,52.52,33.31,36.69,3.81
아이텍(주),119830,201412,201010,,0,0,0,"전문, 과학 및 기술 서비스업",0,3.27,3.71,1.73,95.73,34.81,4687.302819,167.2454035,1644.739555,4555.536657,811.09,39.20824035,155.05,1.63,22.64,28.34,13.77,28.6,44.12,115.3,65.0,45.35902238,99.50192708,315.21875,0.45,0.79,3.34,0.0,1.21,60.76,60.76,25.68,31.57,3.34
아이텍(주),119830,201512,201010,,0,0,0,"전문, 과학 및 기술 서비스업",0,-6.44,-2.5,3.24,103.98,32.84,4406.54066,-112.4418944,1247.324558,4437.472812,787.5,47.35963511,111.15,-1.89,29.32,37.95,15.43,28.6,51.46,141.79,65.0,52.7992949,92.48958115,255.539267,0.42,0.73,3.39,0.0,1.35,78.57,78.57,31.78,36.19,3.39
아이텍(주),119830,201612,201010,,0,0,0,"전문, 과학 및 기술 서비스업",0,8.98,6.02,1.77,93.4,36.47,4949.103156,275.2020236,1764.182923,4710.459458,842.09,52.73417588,89.63,4.52,35.66,51.71,16.86,28.6,56.0,157.97,65.0,51.92907552,89.20241706,220.5165877,0.54,1.08,4.95,0.0,2.36,59.95,59.95,25.78,40.45,5.77
아이텍(주),119830,201712,201010,,0,0,0,"전문, 과학 및 기술 서비스업",0,9.8,5.98,1.62,92.94,39.41,4903.69938,286.9777649,1278.819232,4948.54342,889.71,53.0835482,88.38,5.75,34.55,52.23,16.21,28.6,50.78,120.84,65.0,58.15672896,86.49386047,228.5488372,0.54,1.15,4.95,0.0,2.41,51.15,48.02,19.96,37.85,6.91
아이텍(주),119830,201812,201010,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.68,4.22,4.99,93.79,28.65,4843.297948,247.0790839,831.4105556,5789.176257,1071.83,31.29079007,219.58,1.41,6.46,7.25,4.44,17.17,52.74,100.23,65.0,51.78115126,99.57862222,528.4755556,0.26,0.58,0.54,0.0,0.46,518.83,518.83,118.98,19.33,0.56
