회사명,index,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,시장구분,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,1주당순이익,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율,부가가치율,종업원1인당부가가치율_계산,자기자본회전률,타인자본회전률
(주)신세계푸드,693,031440,201312,201004,,0,0,0,KOSPI,숙박 및 음식점업,1,8.500527779,7.868876491,0.035199644,44.64,-33.99633946,8.22,-0.17,5629.787085,227.16,160.82,30.88,58.53,5.49,34.21,13.6,58.62455469,3.417943711,8.17
(주)엘에프,888,093050,201112,200612,,0,0,0,KOSPI,제조업,1,35.06858979,29.0521924,26.26777378,16.42,8.166847463,10.99,-0.19,3203.774453,229.93,67.13,42.16,-17.56,-4.24,46.41,37.81,625.1377457,1.744765535,4.14
(주)현대홈쇼핑,1561,057050,201912,201009,,0,0,0,KOSPI,도매 및 소매업,1,-1.721172277,2.6420614,82.96258463,1.03,16.04811351,5.16,-0.09,6930.746583,173.69,141.92,44.81,2.22,0.84,17.16,20.85,193.7451685,0.630373946,2.52
(주)보령,461,003850,202012,198810,,0,0,0,KOSPI,제조업,1,27.65111445,20.26263974,7.171498919,-1.75,2.361578392,6.92,0.51,564.0437211,256.9,179.19,90.43,14.91,8.16,26.26,30.28,122.5408922,1.803046909,2.11
미원상사(주),2296,002840,201912,198909,,0,0,0,KOSPI,제조업,1,14.3136567,13.58968483,-23.93354742,9.49,18.72738215,12.26,-0.11,6116.976219,338.59,166.13,25.0,50.86,11.42,32.31,36.28,159.1367528,1.623489026,4.81
고려산업(주),1783,002140,201112,199101,,0,0,0,KOSPI,제조업,1,-2.15665908,-4.229213832,9.146032029,-13.13,11.1140776,5.34,0.64,875.4834965,113.93,72.48,122.77,6.47,2.52,10.45,7.38,149.3459302,4.488717018,2.57
롯데제과(주),2214,280360,201812,201710,,0,0,0,KOSPI,제조업,1,33.33065675,52.06728012,82.96258463,0.0,594.6717064,2.89,0.85,1311.964514,156.73,103.95,102.13,8.39,6.36,15.67,23.51,75.9650948,2.113929883,1.43
롯데케미칼(주),2234,011170,201812,199105,,0,0,0,KOSPI,제조업,1,6.384172559,10.5229269,4.223772311,2.04,-32.84686708,9.75,-0.14,16360.35769,205.58,160.71,53.56,31.08,13.63,17.14,21.55,685.3952381,1.466089349,2.27
한일홀딩스(주),3763,003300,201312,196911,,0,0,0,KOSPI,제조업,1,4.90853282,8.029066572,27.38825786,-1.74,93.88899656,6.66,1.31,11007.01866,168.11,144.37,61.32,12.17,7.82,12.5,21.14,330.7697271,0.795912235,1.56
한국수출포장공업(주),3538,002200,201512,197406,,0,0,0,KOSPI,제조업,1,2.9199943,-1.074614681,-0.360543954,0.0,-80.94135935,0.91,0.16,-60.01,178.6,130.81,33.27,22.4,7.3,10.86,14.17,96.24089744,1.033989429,3.31
현대비앤지스틸(주),3852,004560,201412,198703,,0,0,0,KOSPI,제조업,1,0.610619483,9.084323695,2.142349027,4.82,5.399552776,7.7,0.75,1951.077524,228.87,119.44,95.41,13.22,5.72,16.69,14.79,230.272954,2.481529547,2.23
에스케이렌터카(주),2848,068400,202012,201207,,0,0,0,KOSPI,임대업,1,35.37488075,34.31949252,34.73085624,44.64,70.42598552,3.66,4.3,384.7003247,51.15,33.02,380.97,-5.07,-10.35,19.73,50.9,685.3952381,2.166241273,0.58
(주)STX,35,011810,201112,199009,,0,0,0,KOSPI,도매 및 소매업,1,-22.36308992,-31.51271657,-38.67458151,-30.12,-45.16695439,4.14,2.05,3709.57162,70.06,54.61,173.19,-0.52,-0.29,10.01,8.78,604.1530612,3.114760781,1.53
엘아이지넥스원(주),2912,079550,201512,201510,,0,0,0,KOSPI,제조업,1,7.893185255,61.14294558,35.96297704,0.0,55.7511933,6.64,0.31,3773.742045,93.04,84.5,203.99,3.08,1.9,25.31,23.33,140.8858855,2.172874491,1.56
(주)대유플러스,239,000300,201512,197506,,0,0,0,KOSPI,제조업,1,11.01259505,-0.332788966,-1.187433163,9.43,137.8408978,0.2,0.65,-1.962380479,120.22,101.55,388.92,0.88,1.21,9.53,15.08,73.89270115,4.643402472,0.78
영풍제지(주),2957,006740,202012,199607,,0,0,0,KOSPI,제조업,1,44.8621068,5.734527785,-1.523357697,-5.83,-6.095920271,5.98,-0.83,383.9865315,417.7,376.53,59.71,12.36,9.52,11.26,23.19,234.8443299,0.863615442,2.06
(주)종근당,1157,185750,201712,201312,,0,0,0,KOSPI,제조업,1,5.53319737,13.84461207,6.295455403,6.53,26.96419541,11.48,0.32,5710.274045,163.76,117.19,67.92,29.82,9.24,35.63,27.28,120.153993,2.487952419,3.23
평화홀딩스(주),3479,010770,201112,198603,,0,0,0,KOSPI,제조업,1,20.58359637,23.55640736,1.809820992,-30.12,-92.97372899,0.07,2.76,-847.5427723,104.4,89.15,243.64,2.29,1.81,18.4,20.58,247.5542593,6.550720162,1.32
AJ네트웍스(주),1659,095570,201612,201508,,0,0,0,KOSPI,임대업,1,20.64204812,7.405275636,18.78545605,44.64,-16.6977729,3.25,3.36,364.7661226,51.15,33.02,386.87,-8.86,-11.69,23.65,39.26,324.3460506,2.652134384,0.84
(주)에스지세계물산,844,004060,201212,197604,,0,0,0,KOSPI,도매 및 소매업,1,-4.402236494,0.254129419,-5.941476339,0.43,-93.2985666,0.08,-0.08,3.76997975,193.97,96.39,38.98,12.97,3.3,10.23,9.27,85.86812766,1.534633232,3.93
(주)경보제약,70,214390,201612,201506,,0,0,0,KOSPI,제조업,1,4.218930942,5.3617829,4.883114911,4.52,-39.16189454,7.81,0.5,531.476321,140.58,75.17,57.44,19.89,7.92,30.44,33.22,149.1036779,1.480664078,2.54
