,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,금융비용부담률,사내유보 대 자기자본비율,1주당순이익,1주당 CASH FLOW,이자보상배율,CASH FLOW 대 부채비율,설비투자효율,부가가치율,종업원1인당부가가치율_계산,재고자산회전률
87,(주)글로벌스탠다드테크놀로지,83450,201912,200602,,0,0,0,제조업,1,30.20559548,74.39192319,20.39776209,29.55833559,-1.82,110.5405427,10.68,-0.01,85.57,1928.408215,2072.149538,122.37,32.38,186.83,42.48,96.51902357,8.34
88,(주)금양,1570,201212,197612,,0,0,0,제조업,1,-2.492357292,25.41416241,0.812147029,11.92543569,5.33,-4.87021953,3.02,2.92,30.18,94.46270692,91.5552258,1.68,1.78,38.77,13.24,153.6311392,8.79
89,(주)금양,1570,201812,197612,,0,0,0,제조업,1,4.433366609,8.623353337,37.95593492,13.89764382,-4.59,2.932477587,9.86,1.46,10.36,468.5385414,401.7546396,3.72,-1.9,97.83,21.95,323.8647115,8.74
90,(주)금양,1570,201912,197612,,0,0,0,제조업,1,9.495875604,-153.8380758,-14.05711937,-15.92547314,-7.69,-31.90157475,-6.31,1.4,-32.08,-247.5470755,-13.60282337,2.53,5.38,10.87,2.97,-37.7759375,6.72
91,(주)금호에이치티,214330,201812,201511,,0,0,0,제조업,1,58.74595123,57.96091596,37.57111775,16.44469807,8.47,17.58383501,3.72,1.24,5.19,492.2536572,92.833822,3.66,6.89,89.83,22.3,78.38396484,5.17
92,(주)금호에이치티,214330,201912,201511,,0,0,0,제조업,1,35.11121627,-100.9652789,38.26840479,19.99190232,2.54,-61.31730225,-0.03,4.32,2.36,-3.186256591,305.6020476,0.35,2.91,94.68,20.99,89.37020952,5.11
93,(주)금화피에스시,36190,201212,200012,,0,0,0,건설업,1,12.00899858,21.75561337,20.9049399,30.80329782,7.27,24.34610346,17.08,-2.23,19.79,3080.924333,1877.982833,1374.805,102.82,511.84,64.5,128.0221034,0.0
94,(주)금화피에스시,36190,201812,200012,,0,0,0,건설업,1,13.32991822,96.73442766,19.81230171,13.38548235,46.15,22.20939963,16.99,-1.03,19.78,6608.284833,3716.79,431.66,82.35,544.12,59.59,92.13024355,214.5
95,(주)금화피에스시,36190,201912,200012,,0,0,0,건설업,1,7.304871176,-30.19509677,8.464116209,-10.23946922,-27.47,-17.05335828,13.22,-1.07,10.45,4612.906833,3829.2945,280.27,53.54,548.61,62.79,136.6392808,177.69
96,(주)기가레인,49080,201812,201312,,0,0,0,제조업,1,-1.384368662,-945.0634599,-22.67870232,24.60868476,11.0,-147.7334722,-17.34,2.59,-37.16,-429.3481688,-194.7126019,-0.71,-5.82,26.7,12.07,38.78238739,4.05
97,(주)기가레인,49080,201912,201312,,1,1,1,제조업,1,-20.81814264,-112.8859033,-27.0911252,-35.1056083,-10.36,-358.1124348,-33.34,5.02,-80.37,-881.0901995,153.2780168,-8.09,-1.0,-17.08,-5.79,-77.36723404,2.65
98,(주)기산텔레콤,35460,201212,199911,,0,0,0,제조업,1,-15.0997019,84.43430986,-6.999350313,13.14984448,-8.7,643.2236429,-2.53,2.42,-53.77,-131.2838365,867.8719344,0.71,10.29,515.09,15.6,60.8052381,4.64
99,(주)까스텔바작,308100,201912,201906,,0,0,0,도매 및 소매업,1,12.2854985,-38.74406512,22.12495586,-11.89865492,0.0,-38.11790936,8.44,-0.04,29.84,1041.372808,311.416769,214.89,51.68,631.35,19.66,269.2766102,2.26
100,(주)나노신소재,121600,201212,201102,,0,0,0,제조업,1,-6.439724874,-130.8605283,-2.751691651,-29.37929179,-0.75,-115.5866049,-6.12,0.1,34.61,-200.0397665,147.8578783,-2.32,-4.37,40.17,36.05,63.28518797,0.88
101,(주)나노신소재,121600,201812,201102,,0,0,0,제조업,1,10.6975453,12.35714289,7.166090248,14.66153228,1.56,2.560603141,14.68,-0.26,52.7,702.1479081,361.2331322,127.97,70.14,125.79,46.85,122.1752308,1.47
102,(주)나노신소재,121600,201912,201102,,0,0,0,제조업,1,3.465810626,-24.37991919,5.551223156,-6.424883387,9.23,-41.20938936,11.87,-0.31,54.14,531.4122824,1090.462779,42.91,97.77,124.02,47.02,104.6583099,1.26
103,(주)나노트로닉스,10670,201212,199605,41740.0,0,0,0,제조업,1,6.23859397,-87.15605769,13.78255897,13.53135034,-20.51,643.2236429,-16.38,6.06,5.58,-228.3566442,-180.4573456,1.4,-9.74,266.99,5.89,-45.60580645,5.84
104,(주)나무가,190510,201812,201511,,0,0,0,제조업,1,-16.60413012,767.8950912,15.79883943,21.45474732,-16.41,643.2236429,1.15,0.5,-45.29,1045.244634,7566.940426,1.01,-10.43,81.4,11.73,143.3492523,17.01
105,(주)나무가,190510,201912,201511,,0,0,0,제조업,1,63.78072647,-116.3432268,24.9734321,15.74010645,36.45,43.55185749,-0.16,0.53,-29.02,-170.6195211,3022.20323,1.15,12.09,72.28,11.12,81.42273973,14.35
106,(주)나스미디어,89600,201812,201307,,0,0,0,"전문, 과학 및 기술 서비스업",0,-4.068323848,-22.79092124,11.09730051,-11.3642208,-0.31,-27.26650377,19.32,-1.01,60.01,2352.605477,2442.876054,326.73,11.19,626.37,64.5,134.5101567,0.0
107,(주)나스미디어,89600,201912,201307,,0,0,0,"전문, 과학 및 기술 서비스업",0,17.52604067,9.165485469,7.87793697,9.755274113,10.03,22.49787062,19.22,-0.32,68.0,2568.233191,3702.855075,35.89,13.25,807.95,64.5,158.4166952,0.0
108,(주)나이스디앤비,130580,201212,201112,,0,0,0,임대업,1,9.491634058,21.80325598,11.27087893,10.53667071,6.19,12.0860189,15.68,-3.03,39.48,196.4123377,200.2737013,344.49,76.92,1874.95,57.4,107.4747573,0.0
109,(주)나이스디앤비,130580,201812,201112,,0,0,0,임대업,1,20.73854055,44.98688201,17.29174642,23.07781906,28.43,23.29026894,17.87,-1.0,71.41,603.8696104,740.8586364,344.49,84.21,1874.95,64.5,110.493626,711.59
110,(주)나이스디앤비,130580,201912,201112,,0,0,0,임대업,1,38.85466773,21.29959035,32.94364825,48.59540651,12.21,22.78374872,14.59,-0.88,75.44,732.4913636,872.473961,323.47,66.84,970.44,63.51,114.6137755,711.59
111,(주)나이스홀딩스,34310,201212,200402,,0,0,0,"전문, 과학 및 기술 서비스업",0,16.01594247,32.52261818,22.45693244,8.773742459,7.89,-3.598904427,21.15,-0.78,35.77,11831.94104,9806.6865,42.71,36.25,61.85,19.95,316.6239024,106.89
112,(주)나이스홀딩스,34310,201812,200402,,0,0,0,"전문, 과학 및 기술 서비스업",0,24.71411731,7.062935627,18.46061408,11.15968705,5.71,4.675956957,6.16,0.43,27.79,2621.328087,6558.193668,9.62,16.65,154.04,38.04,-77.36723404,19.57
113,(주)나이스홀딩스,34310,201912,200402,,0,0,0,"전문, 과학 및 기술 서비스업",0,18.0328379,-21.78827589,17.65495317,16.49313469,29.73,20.18534388,4.14,0.53,27.17,2050.185892,6890.2583,8.47,18.99,134.25,35.78,287.3758333,20.76
114,(주)남선알미늄,8350,201212,197805,,0,0,0,제조업,1,-8.804721256,-166.8208531,-17.3786307,2.0290893,-2.24,-179.8449515,-5.36,1.6,0.38,-149.6732285,-34.89878174,-0.73,-1.7,46.18,10.24,48.22667176,15.33
115,(주)남선알미늄,8350,201812,197805,,0,0,0,제조업,1,6.45484232,15.99694146,14.14674065,-13.1862225,8.4,-54.57354161,7.25,0.33,64.71,228.2668872,219.1162072,5.19,18.03,103.42,22.6,124.6067089,20.6
116,(주)남선알미늄,8350,201912,197805,,0,0,0,제조업,1,-2.472884317,-42.58877464,6.152505123,-6.627495576,-2.06,22.83943263,4.46,0.22,66.21,131.050817,250.3054116,7.9,22.27,91.96,20.8,96.75502423,19.32
117,(주)남성,4270,201212,198911,,1,0,1,도매 및 소매업,1,-0.681715427,-276.6205619,-7.509038094,2.81785123,15.25,89.04912658,-10.09,6.06,71.58,-1895.038297,-1580.863997,-0.01,-0.9,149.94,18.16,136.5119118,3.07
118,(주)네오리진,94860,201212,200704,,0,0,0,정보통신업,0,-14.20400999,-529.5726885,-12.40669169,-35.1056083,0.0,5.563679089,-11.32,4.53,0.0,-168.2844455,225.6765217,1.27,15.54,41.17,3.59,6.330857143,5.28
119,(주)네오오토,212560,201812,201511,,0,0,0,제조업,1,3.939435981,40.20622271,6.937692118,-10.14087144,-1.89,50.83031345,5.03,0.78,78.57,736.3088563,2727.299671,2.49,28.09,27.52,21.15,234.3175962,14.46
120,(주)네오오토,212560,201912,201511,,0,0,0,제조업,1,-1.014908091,-56.92149824,2.345145055,2.774778868,4.81,-67.17608618,2.11,0.66,79.0,317.1908236,1777.866512,0.84,28.75,26.61,20.61,223.9205505,14.89
121,(주)네오위즈,95660,201212,200707,,0,0,0,정보통신업,0,-0.065572161,-92.02151119,5.700813339,1.024519207,-25.25,3.500727157,0.86,0.26,55.92,263.9801455,4349.182715,12.72,13.87,163.13,26.68,136.2305667,711.59
122,(주)네오위즈홀딩스,42420,201212,200006,,0,0,0,정보통신업,0,-1.459093676,-81.79813912,2.710662506,2.1649197,46.15,-6.344624292,1.87,-0.53,42.22,1520.200361,11471.74645,20.9,17.34,252.82,30.28,686.434,711.59
123,(주)네오크레마,311390,201912,201908,,0,0,0,제조업,1,46.22650354,-71.20102629,63.57142937,-9.053037088,0.0,-79.63680017,5.19,0.93,0.0,141.3576351,-139.31629,3.38,-10.82,26.07,28.56,97.015,2.75
124,(주)네오티스,85910,201212,200710,,0,0,0,제조업,1,3.178438437,8.507093227,1.860017903,19.86282843,17.09,-31.89624946,12.33,-0.85,50.78,462.0248087,540.8095101,33.52,48.37,49.67,47.53,71.36120172,9.82
125,(주)네오티스,85910,201812,200710,,0,0,0,제조업,1,6.924203724,328.0798724,-3.313337569,3.961356891,0.46,43.68874521,7.03,1.39,63.81,288.5883353,473.7987619,6.77,15.39,78.66,47.23,78.74251142,8.38
126,(주)네오티스,85910,201912,200710,,0,0,0,제조업,1,0.313786233,-54.16998199,-1.951282939,-6.164294951,-5.02,-28.46179399,3.43,1.59,62.91,132.260086,290.8170186,4.37,9.74,64.36,48.17,79.30658654,7.37
127,(주)네오팜,92730,201212,200701,,0,0,0,제조업,1,0.415130397,-28.36397778,0.173075219,10.80048429,18.18,-82.55941267,3.45,-1.87,45.04,86.81710553,75.63692187,28.19,53.31,53.55,27.18,65.42410256,10.34
128,(주)네오팜,92730,201812,200701,,0,0,0,제조업,1,28.63344609,32.96482779,24.60034238,23.56936122,12.5,36.50043639,23.19,-1.09,73.67,2059.937916,2168.438424,3087.84,98.32,287.49,45.15,256.9829915,11.34
129,(주)네오팜,92730,201912,200701,,0,0,0,제조업,1,68.30397434,25.21650249,78.27214357,25.5991822,9.4,19.82458085,23.12,-1.48,54.26,2344.892835,2342.286394,1337.32,103.83,341.72,42.04,262.5332031,13.12
130,(주)네이블커뮤니케이션즈,153460,201212,201207,,0,0,0,정보통신업,0,75.18883221,55.95459368,93.07378839,37.1861222,0.0,24.98995493,20.2,-3.03,48.42,1193.608292,1316.972136,71.34,42.97,212.34,60.85,91.25421053,201.28
131,(주)네이블커뮤니케이션즈,153460,201812,201207,,0,0,0,정보통신업,0,-9.224633926,62.9788171,-8.767448015,17.51625553,-13.64,63.1376729,-14.81,-1.53,20.44,-359.199383,-140.0252741,4.93,-19.99,152.2,62.92,65.53894737,15.59
132,(주)네이블커뮤니케이션즈,153460,201912,201207,,0,0,0,정보통신업,0,-7.447812451,84.10071381,-1.530646483,-21.93209831,-24.34,79.71051255,-3.02,-2.0,19.21,-57.1101379,-299.9564779,-17.38,-19.99,148.23,64.5,80.44252174,35.41
133,(주)네패스,33640,201212,199912,,0,0,0,제조업,1,5.975739044,119.1972658,9.362930257,5.234348697,31.62,117.8396974,4.12,1.22,50.19,547.9258951,2501.628074,7.99,16.19,48.47,29.54,135.1248754,15.52
