회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,총자본정상영업이익률,유보율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,타인자본회전률,순운전자본회전률
(주)팬스타엔터프라이즈,54300,201312,200201,,0,0,0,제조업,1,-1.4295307388387106,-2.6034271058794594,-1.7206349206349205,-0.6940830541892085,-1.1977186311787071,-1.9712707182320441,-0.5047619047619049,-0.7868852459016391
(주)팬스타엔터프라이즈,54300,201412,200201,,1,0,1,제조업,1,-0.23440865233533248,6.030962740106674,-0.45714285714285713,-0.6940830541892085,-1.1977186311787071,-1.7679558011049723,-0.40000000000000013,-0.6065573770491801
(주)팬엔터테인먼트,68050,201312,200607,,0,0,0,정보통신업,0,-1.5701794541180993,-1.3056479514083095,-0.7507936507936508,-0.16621071231213194,-0.5079847908745246,-0.5613259668508287,-0.6666666666666669,-0.40983606557377034
(주)팬엔터테인먼트,68050,201412,200607,,1,0,1,정보통신업,0,1.2218159755260163,1.3883016305784406,-0.5365079365079365,-0.1619740890577777,-0.4988593155893536,-0.569060773480663,-0.5380952380952383,-0.22950819672131131
(주)퍼시스,16800,201312,199612,,0,0,0,제조업,1,-0.24783420231268172,-0.3197885306404753,0.11269841269841269,0.9527285627545556,2.256273764258555,0.7403314917127072,1.504761904761905,-0.163934426229508
(주)퍼시스,16800,201412,199612,,0,0,0,제조업,1,-0.06923931286320495,0.13189017929174549,0.184126984126984,1.043307704377844,1.517110266159696,0.5149171270718232,1.3190476190476192,0.0
(주)퍼시스,16800,201512,199612,,0,0,0,제조업,1,0.41370395213073263,0.1592589118896508,0.2587301587301587,1.156154701560251,1.8505703422053232,0.6397790055248618,1.3333333333333337,0.21311475409836084
(주)퍼시스,16800,201612,199612,,0,0,0,제조업,1,-0.38770930536492965,-0.3664766925185679,-0.058730158730158744,1.2380218175864213,1.7954372623574146,0.6861878453038673,1.1476190476190478,-0.03278688524590131
(주)퍼시스,16800,202012,199612,,0,0,0,제조업,1,-0.43537708851386814,-0.0012584601363357885,0.12063492063492058,1.7179746075495126,2.674524714828897,0.5005524861878453,2.4619047619047625,-0.11475409836065548
(주)펄어비스,263750,202012,201709,,0,0,0,정보통신업,0,-0.5846897600110733,0.022790052236199607,2.1190476190476186,4.652617359921954,1.8045627376425855,2.477348066298342,-0.27619047619047626,-0.5573770491803276
