,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,매출액증가율,종업원수증가율,매출액정상영업이익률,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,수지비율,자기자본구성비율,CASH FLOW 대 총자본비율,총자본투자효율,순운전자본회전률
43,(주)SIMPAC,9160,201212,198907,,0,0,0,제조업,1,2.504565694,4.637518481,7.0,11.18,8.0,14.12,-0.95,82.16,58.95239649,4.96,13.74,0.85
44,(주)SIMPAC,9160,201312,198907,,0,0,0,제조업,1,13.59431263,-8.698414966,0.73,11.47,6.93,11.9,-1.49,86.97,57.69038318,3.48,12.74,0.82
45,(주)SIMPAC,9160,201412,198907,,0,0,0,제조업,1,5.512201318,27.8983174,10.11,6.59,4.66,8.1,0.53,94.06,57.37175067,6.09,13.54,1.0
46,(주)SIMPAC,9160,201512,198907,,0,0,0,제조업,1,10.70698041,2.422845961,-2.95,7.88,5.28,9.42,0.44,92.04,54.86979418,5.29,14.18,0.86
47,(주)SIMPAC,9160,201612,198907,,0,0,0,제조업,1,-1.174925271,-0.910436635,3.38,8.82,5.61,9.98,0.42,92.06,57.53443355,5.44,14.14,0.79
48,(주)SIMPAC,9160,201712,198907,,0,0,0,제조업,1,-8.784458112,-13.64390495,-0.33,5.07,2.93,4.86,0.37,95.9,63.18270675,3.37,11.36,0.75
49,(주)SIMPAC,9160,201812,198907,,0,0,0,제조업,1,78.86293087,32.74267069,63.93,3.33,1.92,3.02,0.5,80.75,63.81112525,2.04,16.76,0.75
50,(주)SIMPAC,9160,201912,198907,,0,0,0,제조업,1,-0.382099871,40.48147167,-1.8,2.59,1.64,2.54,0.35,97.01,64.96328955,5.51,9.64,0.82
51,(주)SIMPAC,9160,202012,198907,,0,0,0,제조업,1,8.559551973,-14.93235868,-1.43,2.13,1.1,1.72,0.6,89.67,62.93234829,1.39,13.08,0.66
52,(주)SNT에너지,100840,201112,200802,,0,0,0,제조업,1,9.49985093,-8.657168282,2.22,-3.38,-2.49,-4.02,0.15,102.62,58.07919994,-5.92,-1.83,0.91
53,(주)SNT에너지,100840,201212,200802,,0,0,0,제조업,1,5.89131805,18.11849479,5.98,6.56,5.32,8.8,-0.27,95.11,62.60417905,1.6,-1.34,0.94
54,(주)SNT에너지,100840,201312,200802,,0,0,0,제조업,1,6.445735983,-12.98465446,7.18,8.37,5.56,8.81,-0.56,90.16,63.58049045,7.5,11.6,0.77
55,(주)SNT에너지,100840,201412,200802,,0,0,0,제조업,1,-2.298373815,20.91940132,4.31,5.68,4.47,6.79,-0.31,93.92,68.2116401,-0.76,10.48,0.93
56,(주)SNT에너지,100840,201512,200802,,0,0,0,제조업,1,3.837053075,7.146191304,6.42,13.04,10.93,15.45,-0.18,86.36,73.18241494,-3.57,16.98,1.05
57,(주)SNT에너지,100840,201612,200802,,0,0,0,제조업,1,10.07167717,-2.308449238,-6.03,0.47,0.36,0.52,-0.09,98.68,66.02632399,5.35,6.05,0.9
58,(주)SNT에너지,100840,201712,200802,,0,1,1,제조업,1,-13.72696557,-27.54850128,-10.55,10.43,5.92,8.28,-0.1,96.8,77.86988416,4.9,7.56,0.69
59,(주)SNT홀딩스,36530,201112,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.886024318,11.02629503,0.0,7.24,5.79,9.31,-0.01,92.91,61.69945603,3.65,14.88,1.06
60,(주)SNT홀딩스,36530,201212,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.349571484,0.294729128,0.0,5.14,4.08,6.52,-0.11,95.25,63.52211605,3.48,13.94,1.05
61,(주)SNT홀딩스,36530,201312,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,3.579555216,-5.53596676,-11.11,5.38,4.01,6.3,-0.19,95.53,63.94846622,3.52,13.37,0.99
62,(주)SNT홀딩스,36530,201412,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-5.108346682,-1.52208437,0.0,4.22,3.13,4.8,-0.24,95.25,66.49251459,4.64,13.74,1.0
63,(주)SNT홀딩스,36530,201512,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.370655606,3.889017186,0.0,10.02,7.68,11.2,-0.28,89.46,70.49468131,4.97,17.68,1.06
64,(주)SNT홀딩스,36530,201612,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,1.883875307,-4.653343476,0.0,4.7,3.3,4.72,-0.3,97.69,69.26556669,5.98,10.42,0.94
65,(주)SNT홀딩스,36530,201712,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.895851587,-1.921580134,-12.5,4.02,2.78,3.98,-0.3,98.05,70.79074157,5.78,10.27,0.91
66,(주)SNT홀딩스,36530,201812,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-1.506883918,-7.084474287,42.86,5.18,3.41,4.81,-0.48,92.95,71.11604263,5.51,13.41,0.88
67,(주)SNT홀딩스,36530,201912,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,5.811450601,7.907406791,0.0,8.35,5.81,8.07,-0.61,90.6,72.69407138,4.88,14.32,0.94
68,(주)SNT홀딩스,36530,202012,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,1.511469219,-5.049873056,-10.0,8.85,5.64,7.84,-0.43,93.0,71.24154257,7.72,11.94,0.85
