회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,자기자본정상영업이익률,금융비용부담률,1주당순이익,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율
(주)큐로홀딩스,51780,201912,200106,,0,0,0,도매 및 소매업,1,-0.16171013362150902,1.9329298694010522,-0.3773885350318472,3.961038961038961,-0.3829745118991738,-0.5986490573646537,-0.9117885082276773,-1.2652987107317957
(주)큐브엔터테인먼트,182360,201712,201311,,0,0,0,정보통신업,0,0.9139491044549166,7.6524172326543916,-0.535031847133758,-0.4155844155844155,-0.32228595816406225,-1.3882447827401954,-1.6056110062044782,0.5128018885055383
(주)큐브엔터테인먼트,182360,201812,201311,,0,0,0,정보통신업,0,1.6384425892128358,7.6524172326543916,0.3089171974522294,-0.3701298701298701,-0.261472431808558,1.1007157979635043,0.8902077151335311,0.9747593971309244
(주)큐브엔터테인먼트,182360,201912,201311,,0,0,0,정보통신업,0,-0.8796788533884273,-0.5195610628717712,-0.19108280254777074,-0.33116883116883117,-0.26483638969309686,0.5135598346607521,0.6819530617750202,0.883965861630652
(주)큐에스아이,66310,201112,200611,,0,0,0,제조업,1,0.09115146425930937,-0.15899005969725874,0.44506369426751596,-0.3896103896103896,0.11574719605622465,1.4551870148200423,0.1370380361478284,0.794625022698384
(주)큐에스아이,66310,201212,200611,,0,0,0,제조업,1,-0.33648468608175286,-0.4683121227621788,-0.17117834394904463,-0.3116883116883117,-0.10379614263599876,2.549652182679705,0.9074723496088482,0.0864354457962594
(주)큐에스아이,66310,201712,200611,,0,0,0,제조업,1,-0.13232658093046346,0.24554209859886367,-0.4753184713375797,-1.590909090909091,-0.22317043825850655,4.119971771347918,0.7499325600215807,0.07118213183221357
(주)큐에스아이,66310,201812,200611,,0,0,0,제조업,1,-1.0355647373903927,-2.152594508195203,-0.7977707006369428,-2.2337662337662336,-0.32682766933126856,4.143764492388345,1.3941192338818449,-0.10895224260032686
(주)큐에스아이,66310,201912,200611,,0,0,0,제조업,1,0.6855091236728434,3.9140184923084673,-0.5740445859872612,-1.9155844155844157,-0.190077358167107,2.7831434620425437,0.93876449959536,0.039222807336117604
(주)크라운제과,264900,201812,201704,,0,0,0,제조업,1,0.33323623954803283,-0.012825591313871247,0.6210191082802549,0.24025974025974026,0.505417998837198,0.04415767718520007,0.1370380361478284,1.0241510804430722
(주)크라운제과,264900,201912,201704,,0,0,0,제조업,1,-0.2824824729820953,0.37309707402759523,0.9259554140127388,0.17532467532467533,0.8124450424750662,0.1715898780118963,0.2600485567844618,0.9929181042309786
(주)크라운해태홀딩스,5740,201112,197606,,0,0,0,"전문, 과학 및 기술 서비스업",0,0.014837394752726411,-0.09418471183746907,2.1600318471337583,2.1168831168831166,11.016110930963894,-0.25869543300735964,-0.13811707580253577,0.6624296350099873
(주)크라운해태홀딩스,5740,201212,197606,,0,0,0,"전문, 과학 및 기술 서비스업",0,-0.17222292512690152,-0.04167022954862163,2.013535031847134,1.74025974025974,12.232070160741227,-0.06633733239237831,0.22228216886970592,0.9086617032867261
(주)크라운해태홀딩스,5740,201712,197606,,0,0,0,"전문, 과학 및 기술 서비스업",0,-0.9844700047528044,-0.4963599417214703,-0.030254777070063688,0.564935064935065,8.522240195597021,-0.1586853513459018,0.09063933099541406,1.1287452333393864
(주)크라운해태홀딩스,5740,201812,197606,,0,0,0,"전문, 과학 및 기술 서비스업",0,0.15460614656537047,0.2693313929537398,0.03343949044585987,0.6428571428571429,0.2502983895554196,-0.15102328863796755,0.03021311033180472,0.5992373343017977
(주)크라운해태홀딩스,5740,201912,197606,,0,0,0,"전문, 과학 및 기술 서비스업",0,-0.4154910606493073,-0.022944090126294576,0.02149681528662417,0.6363636363636365,-1.425357097309589,-0.00141143260409316,0.3355813326139735,0.6290176139458871
(주)크레버스,96240,201112,200806,,0,0,0,교육 서비스업,0,-0.3774072687937198,2.502592531426651,1.7937898089171977,-1.025974025974026,1.0520552496217515,3.875592297610645,1.0596169409225789,-0.11476302887234416
(주)크레버스,96240,201212,200806,,0,0,0,교육 서비스업,0,0.17035445584890638,-0.08250762752972934,1.375,-1.077922077922078,0.9031209780867533,2.0254057868736766,1.1135689236579445,-0.4314508806972943
(주)크레버스,96240,201712,200806,,0,0,0,교육 서비스업,0,0.03297910163996702,7.6524172326543916,0.7555732484076433,-0.05844155844155842,0.45920862165408677,0.7168061296501662,0.7477744807121661,1.9328127837297986
(주)크레버스,96240,201812,200806,,0,0,0,교육 서비스업,0,-0.09289250194934241,0.1743930108846366,0.8160828025477708,-0.12337662337662336,0.735157815423368,0.8002822865208185,1.1275964391691393,1.751952061013256
(주)크레버스,96240,201912,200806,,0,0,0,교육 서비스업,0,0.4137604295412005,0.5117735643264069,1.4028662420382167,0.16233766233766234,0.8395000993794726,0.9434418792216954,1.699487456164014,1.7497730161612493
(주)크리스에프앤씨,110790,201812,201810,,0,0,0,제조업,1,-0.6400094964366563,-0.03172370411609957,1.48328025477707,-0.06493506493506492,1.8953819792195679,1.1620122996269784,0.5524683032101428,0.414018521881242
(주)크리스에프앤씨,110790,201912,201810,,0,0,0,제조업,1,-0.23168433962717241,-0.11564728466582966,0.7866242038216561,-0.22727272727272727,1.3523595359524887,1.1821756225425948,0.44132721877528996,0.24114763028872346
(주)크린앤사이언스,45520,201112,200012,,0,0,0,제조업,1,0.34266284307851935,7.6524172326543916,-0.23726114649681534,0.48701298701298706,-0.2093921568694817,-0.17078334509527174,-0.14998651200431623,0.0595605592881787
(주)크린앤사이언스,45520,201212,200012,,0,0,0,제조업,1,-0.015551724447654498,1.2209627340431966,0.17038216560509561,0.49350649350649356,-0.1437935372479111,-0.08811372114124409,-0.1273266792554626,0.4074813873252224
(주)크린앤사이언스,45520,201712,200012,,0,0,0,제조업,1,1.0588964285818963,0.5227586604322219,1.0732484076433122,0.025974025974025997,0.2694467592562543,0.12602076822260308,0.11329916374426759,0.5062647539495188
(주)크린앤사이언스,45520,201812,200012,,0,0,0,제조업,1,0.8253238408768863,0.3515563883628227,1.25,0.12337662337662342,0.5251065042528013,-0.10827704405686057,-0.1338009171837065,0.5200653713455602
(주)크린앤사이언스,45520,201912,200012,,0,0,0,제조업,1,0.8585856271567437,0.40765547713938666,1.5581210191082804,-0.05844155844155842,0.6762301334674204,-0.12400443593104146,-0.01186943620178045,0.23025240602869088
(주)클라우드에어,36170,201112,199912,,0,0,0,제조업,1,-0.15562826414478156,-0.20469414710304518,0.08200636942675155,-2.2337662337662336,-0.20251494068534515,1.1886278858755923,2.429997302400863,-0.25640094425276916
(주)클라우드에어,36170,201212,199912,,0,0,0,제조업,1,3.694470765352979,-0.7159790964784828,-0.462579617834395,1.0909090909090906,-0.15088637784353737,-0.11997177134791819,-0.025896951712975475,-0.13001634283639
(주)클라우드에어,36170,201712,199912,,0,0,0,제조업,1,-0.5396713796166644,0.41748186244048385,-0.45939490445859876,-0.8506493506493507,-0.3189876042199942,0.12077830426454275,1.9012678715942812,-1.1410931541674234
(주)클라우드에어,36170,201812,199912,,0,0,0,제조업,1,-0.8658927056139225,-0.5340415848949869,-0.5581210191082803,3.961038961038961,-0.3552769511508901,-0.18328460530295393,1.29592662530348,-1.0989649536952968
(주)클라우드에어,36170,201912,199912,,1,0,1,제조업,1,-0.5556333714633029,-1.0814683773587874,-0.6377388535031847,3.961038961038961,-0.567157086669309,0.029236818227643898,0.788777987591044,-1.5601961140366807
(주)클래시스,214150,201812,201504,,0,0,0,제조업,1,1.4096067084957722,0.712501530708849,2.1600318471337583,0.14285714285714285,-0.10740870307559186,1.545518701482004,2.209873212840572,1.5609224623206825
(주)클래시스,214150,201912,201504,,0,0,0,제조업,1,3.0107091509573913,1.5580227885000622,2.1600318471337583,-0.12987012987012986,0.10928721971938332,3.8429277144873466,2.429997302400863,2.2821863083348464
(주)클리오,237880,201712,201611,,0,0,0,제조업,1,-0.25754856096047335,-0.6014285293329418,-0.031050955414012718,0.7337662337662337,0.04056867078584645,-0.3945962294586147,-0.4952792015106555,-0.945705465770837
(주)클리오,237880,201812,201611,,0,0,0,제조업,1,-0.4098425708425186,-1.2262560133490392,-0.7245222929936306,0.29220779220779225,-0.2480929034455701,2.110495009577578,1.1621257081197733,0.11040493916833119
(주)클리오,237880,201912,201611,,0,0,0,제조업,1,1.29188820858611,1.225977110268905,0.3972929936305733,-0.3701298701298701,-0.15899555703901078,1.7846557112612158,1.6153223630968436,-0.08135100780824413
(주)키다리스튜디오,20120,201112,199607,,1,0,1,정보통신업,0,-1.8787632041348663,-4.910348869129189,-2.635350318471338,3.961038961038961,-0.45027086433366165,-1.3882447827401954,-2.287564067979498,-0.5585618303976756
(주)키이스트,54780,201112,200311,,0,0,0,정보통신업,0,0.7584117446658682,5.078712763172109,0.6361464968152867,-0.6168831168831168,-0.18331791085939286,0.12319790301441674,-0.11761532236309682,0.28109678590884335
(주)키이스트,54780,201212,200311,,0,0,0,정보통신업,0,0.9617203956033566,0.46842981538665857,-0.10031847133757961,-0.8116883116883117,-0.09643967317331696,0.17884867426151824,0.8427299703264095,-0.6079535137098238
(주)키이스트,54780,201712,200311,,0,0,0,정보통신업,0,0.37977765202315933,1.4836502637604214,-0.5390127388535032,-0.22727272727272727,-0.2920436731340476,2.706522834963202,1.640140275155112,-0.4118394770292355
(주)키이스트,54780,201812,200311,,0,0,0,정보통신업,0,-0.3654866146808366,-3.7646355907757196,-0.8845541401273885,-0.4155844155844155,-0.3705630952328052,3.911886278858755,2.325330455894254,-0.9943708007989831
(주)키이스트,54780,201912,200311,,0,0,0,정보통신업,0,-0.4149599206944237,0.4379727529158676,-0.8049363057324841,-0.2727272727272727,-0.39115686123806304,1.76812178647041,1.8235770164553546,0.6108589068458325
