,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,사내유보 대 자기자본비율,1주당순이익,1주당 CASH FLOW,유보율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,설비투자효율,노동소득분배율,종업원1인당부가가치율_계산,순운전자본회전률,유동비율,당좌자산회전률
49,(주)SIMPAC,9160,201812,198907,,0,0,0,제조업,1,3.02,20.48,0.5,17.66,1057.604614,570.9998222,1277.69,56.71,4.07,5.64,4.54,32.0,27.54291805,189.48468,0.75,135.98,1.96
50,(주)SIMPAC,9160,201912,198907,,0,0,0,제조업,1,2.54,2.17,0.35,15.52,145.0036097,572.6821363,1296.53,53.93,3.47,15.72,8.7,24.96,57.1257515,103.31222,0.82,131.76,2.14
51,(주)SIMPAC,9160,202012,198907,,0,0,0,제조업,1,1.72,7.54,0.6,18.28,521.7749739,-260.4751195,1389.64,58.9,2.64,3.74,2.79,42.37,39.734838,142.1464256,0.66,141.82,1.73
52,(주)SNT에너지,100840,201112,200802,,0,0,0,제조업,1,-4.02,-2.53,0.15,76.67,-586.5906277,-1992.098136,4775.29,72.18,-9.21,-14.12,-8.38,-4.14,0.0,-27.57027174,0.91,151.52,1.58
53,(주)SNT에너지,100840,201212,200802,,0,0,0,제조업,1,8.8,5.29,-0.27,72.32,1282.740819,3759.590081,5074.77,59.73,77.44,4.27,2.03,-3.2,-49.52426252,-20.0574359,0.94,182.56,1.68
54,(주)SNT에너지,100840,201312,200802,,0,0,0,제조업,1,8.81,8.49,-0.56,74.22,2285.190495,2841.211911,5494.23,57.28,50.81,20.6,11.65,30.03,39.89592521,172.9437321,0.77,197.1,1.31
55,(주)SNT에너지,100840,201412,200802,,0,0,0,제조업,1,6.79,5.55,-0.31,75.09,1589.960466,-1992.098136,5763.77,46.6,41.09,-2.4,-0.96,26.6,49.05022201,146.4270642,0.93,222.54,1.54
56,(주)SNT에너지,100840,201512,200802,,0,0,0,제조업,1,15.45,12.31,-0.18,77.63,3815.301671,311.2161965,6432.47,36.64,359.1,-13.31,-4.34,45.23,30.11322367,231.4545259,1.05,286.28,1.6
57,(주)SNT에너지,100840,201612,200802,,0,0,0,제조업,1,0.52,0.72,-0.09,77.51,234.274227,4942.792209,6387.29,51.45,389.0242857,15.74,7.32,17.82,75.91191483,96.55591743,0.9,207.24,1.34
58,(주)SNT에너지,100840,201712,200802,,0,1,1,제조업,1,8.28,1.98,-0.1,78.47,646.7223611,-787.5415054,6500.71,28.42,389.0242857,22.15,8.0,19.42,63.94620718,116.3751282,0.69,351.97,0.98
59,(주)SNT홀딩스,36530,201112,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,9.31,6.88,-0.01,70.91,5842.934158,5828.544162,6053.63,62.08,16.87,9.54,4.66,32.51,48.60095359,-75.62221774,1.06,174.28,2.25
60,(주)SNT홀딩스,36530,201212,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.52,5.6,-0.11,71.43,4238.56571,3840.31559,6539.94,57.43,20.28,9.53,4.32,29.63,57.84897304,685.3952381,1.05,184.89,2.25
61,(주)SNT홀딩스,36530,201312,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.3,4.41,-0.19,70.47,3602.595799,6310.49867,6793.14,56.38,30.38,9.78,4.8,29.4,61.3042469,685.3952381,0.99,188.1,2.13
62,(주)SNT홀딩스,36530,201412,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,4.8,5.51,-0.24,70.78,4488.598092,6384.500526,7118.65,50.39,34.38,13.86,6.1,30.84,59.10541609,685.3952381,1.0,208.24,2.11
63,(주)SNT홀딩스,36530,201512,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,11.2,5.75,-0.28,72.73,7574.453828,7824.511993,7370.38,41.85,218.55,16.84,6.68,42.17,43.88689703,685.3952381,1.06,263.0,2.04
64,(주)SNT홀딩스,36530,201612,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,4.72,0.47,-0.3,72.56,640.9665634,9088.106807,7190.35,44.37,286.46,19.44,8.59,25.68,65.42289175,685.3952381,0.94,247.45,1.67
65,(주)SNT홀딩스,36530,201712,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,3.98,1.14,-0.3,72.48,1633.789921,6582.950903,7297.38,41.26,178.66,19.79,8.22,25.21,66.72353576,629.3057143,0.91,264.63,1.55
66,(주)SNT홀딩스,36530,201812,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,4.81,4.36,-0.48,73.84,4522.376874,7908.720902,7828.36,40.62,59.79,19.09,8.32,33.17,50.58828112,685.3952381,0.88,306.08,1.46
67,(주)SNT홀딩스,36530,201912,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,8.07,8.78,-0.61,75.51,7636.787021,5470.220474,7828.36,37.56,184.05,17.86,7.21,37.79,43.94839327,685.3952381,0.94,312.26,1.52
68,(주)SNT홀딩스,36530,202012,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,7.84,4.62,-0.43,77.06,4777.35308,16026.38776,7828.36,40.37,152.96,26.84,12.21,35.33,49.39128789,685.3952381,0.85,269.15,1.39
69,(주)STX,11810,201112,199009,,0,0,0,도매 및 소매업,1,13.26,14.56,2.05,39.81,3709.57162,930.9004014,1050.65,173.19,1.66,-0.52,-0.29,66.29,26.9641995,604.1530612,1.39,70.06,4.01
70,(주)STX,11810,201212,199009,,0,0,0,도매 및 소매업,1,-23.25,-35.59,1.78,37.31,-2238.020276,4150.003908,655.36,236.31,-3.12,4.3,2.49,-16.56,-49.52426252,245.7466667,1.68,62.81,5.1
71,(주)STX,11810,201312,199009,,1,1,1,도매 및 소매업,1,0.0,-42.5,3.01,0.0,-2238.020276,2127.240468,18.83,8.48,-10.71,10.3,7.79,-17.67,-10.3417342,-75.62221774,0.83,62.06,2.45
72,(주)TCC스틸,2710,201112,198412,,0,0,0,제조업,1,5.07,2.02,1.36,45.48,284.86675,-640.3749375,1343.62,101.53,1.41,-6.46,-2.87,60.97,62.27496014,150.4366667,1.55,110.8,4.91
73,(주)TCC스틸,2710,201212,198412,,0,0,0,제조업,1,2.63,0.07,1.78,43.11,7.328294118,-271.1984118,1254.33,142.04,0.57,-2.31,-1.48,39.33,62.90922628,138.7078683,1.32,113.94,4.52
