,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본순이익률,총자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,유동비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,노동소득분배율
45,(주)갤럭시아에스엠,11420,201312,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-14.42142299,-17.03827947,-15.64481368,25.0,-63.98137074,-4.26,1.83,0.31,-13.86,147.37,22.7,7.89,33.98484783
46,(주)갤럭시아에스엠,11420,201412,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,20.29248395,7.967235255,-5.494311212,26.0,-156.651855,-0.62,-1.02,0.7,-17.29,149.66,10.1,5.08,59.33870974
47,(주)갤럭시아에스엠,11420,201512,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,51.71372899,102.2875763,42.35269766,42.07,120.1462037,3.27,3.69,0.24,-2.9,263.29,6.28,1.91,57.8137881
48,(주)갤럭시아에스엠,11420,201612,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-14.91168226,-9.835754376,-15.76114765,15.05,-276.7631379,-2.46,-5.84,-0.15,-9.03,304.3,4.62,1.19,109.0787118
49,(주)경농,2100,201312,197706,,0,0,0,제조업,1,-4.984212111,7.525104588,43.35862475,1.63,47.54082458,5.31,7.15,1.75,10.92,178.73,14.74,6.97,46.99232713
50,(주)경농,2100,201412,197706,,0,0,0,제조업,1,11.18751832,3.52934286,-4.010922303,9.32,-21.98556127,2.63,5.42,1.45,15.14,154.43,14.38,8.83,55.70309917
51,(주)경농,2100,201512,197706,,0,0,0,제조업,1,11.14413908,3.405095672,4.210224164,1.76,-17.34904953,2.32,4.03,1.45,17.7,140.92,1.71,1.24,58.85428499
52,(주)경농,2100,201612,197706,,0,0,0,제조업,1,1.445682244,5.32524718,3.852091789,-3.18,-24.29962062,2.0,2.88,1.2,19.71,138.91,2.24,1.51,62.12534561
53,(주)경농,2100,202012,197706,,0,0,0,제조업,1,0.175683612,4.699184297,9.135641085,1.1,64.33551193,3.58,3.85,1.05,33.54,143.61,4.64,2.99,53.74785432
54,(주)경동나비엔,9450,201312,199308,,0,0,0,제조업,1,18.36654987,6.485042473,9.277567312,-7.91,42.07705702,3.4,6.05,0.13,7.46,89.68,14.5,5.86,65.84129955
55,(주)경동나비엔,9450,201412,199308,,0,0,0,제조업,1,13.21357111,1.46351855,3.575230616,5.68,-31.94244252,2.48,3.56,0.49,6.94,85.84,1.81,0.89,68.79652786
56,(주)경동나비엔,9450,201512,199308,,0,0,0,제조업,1,0.105913485,8.448884413,19.35864525,4.46,79.89887838,4.17,6.03,0.45,12.91,89.35,7.77,2.97,63.32989552
57,(주)경동나비엔,9450,201612,199308,,0,0,0,제조업,1,6.88172339,15.86088841,13.90965924,14.3,89.20849172,9.01,11.02,0.24,14.87,98.83,27.5,9.01,53.31704379
58,(주)경동나비엔,9450,202012,199308,,0,0,0,제조업,1,20.47863012,15.65267449,12.8011759,17.99,49.69175791,6.19,9.98,0.39,6.05,106.64,17.62,7.8,61.92005083
59,(주)경동도시가스,267290,202012,201705,,0,0,0,"전기, 가스, 증기 및 공기조절 공급업",0,-6.712179241,5.02504206,-23.60830514,0.0,-35.35800761,2.62,2.5,-0.11,6.07,126.07,5.0,1.58,45.24948034
60,(주)경방,50,201312,195603,,0,0,0,도매 및 소매업,1,-2.850161043,2.534919189,4.067118968,16.75,396.7193566,1.11,2.74,3.97,2.35,76.48,5.22,9.93,22.03456689
61,(주)경방,50,201412,195603,,0,0,0,도매 및 소매업,1,0.374115468,1.764547247,-5.228710233,0.44,-15.02448161,0.88,2.36,3.74,2.36,51.85,5.73,11.39,23.4835635
62,(주)경방,50,201512,195603,,0,0,0,도매 및 소매업,1,1.29062828,2.359864126,8.689663442,-9.43,27.2496937,1.27,2.97,2.75,3.19,58.13,4.86,8.91,21.34659463
63,(주)경방,50,201612,195603,,0,0,0,도매 및 소매업,1,-1.268906599,2.547764787,5.541193338,-6.67,11.48584304,2.25,3.32,2.0,4.57,68.2,8.67,14.29,19.63959585
64,(주)경방,50,202012,195603,,0,0,0,도매 및 소매업,1,-7.721394842,0.050786511,-4.26510078,-28.87,-31.75004599,0.99,1.66,1.75,3.51,51.85,9.61,15.26,17.47681829
65,(주)경보제약,214390,201512,201506,,0,0,0,제조업,1,16.33824365,79.74156275,4.860010275,0.0,-7.359355815,14.36,14.1,0.49,55.66,162.85,13.95,5.7,44.51134093
66,(주)경보제약,214390,201612,201506,,0,0,0,제조업,1,4.218930942,5.3617829,4.883114911,4.52,-39.16189454,6.37,7.81,0.5,57.69,140.58,19.89,7.92,54.51054168
67,(주)경보제약,214390,202012,201506,,0,0,0,제조업,1,6.485008108,4.621297982,12.29950171,1.82,39.83419311,3.83,3.53,0.57,64.07,147.38,22.88,10.33,59.41948691
68,(주)경인양행,12610,201312,199510,,0,0,0,제조업,1,10.25981675,8.432333211,19.30596812,17.44,206.1008468,3.38,3.69,0.65,64.63,162.42,8.59,4.19,57.82335205
69,(주)경인양행,12610,201412,199510,,0,0,0,제조업,1,-1.232287467,4.47673652,6.277671655,2.09,26.44211441,3.22,4.47,0.6,65.31,190.69,8.46,3.5,64.88466895
