,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,1주당순이익,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율,자기자본회전률,순운전자본회전률
36,(주)SH에너지화학,2360,201412,198512,,0,0,0,제조업,1,0.228489815,21.03194923,-0.431038523,20.69,231.1201021,19.23,0.34,150.5583726,291.69,224.49,31.46,57.91,6.65,33.51,3.002055171,2.53
37,(주)SH에너지화학,2360,201512,198512,,0,0,0,제조업,1,4.315747045,8.795430361,-6.266970193,4.29,7.889598239,20.29,0.09,113.2861496,399.36,329.69,26.05,103.42,11.41,31.5,2.461191242,2.53
38,(주)SH에너지화학,2360,201612,198512,,0,0,0,제조업,1,7.763107375,13.57684568,0.903853572,1.37,5.015146943,20.08,-0.07,162.2177984,673.11,580.63,19.6,89.01,8.31,32.85,2.23156366,2.4
39,(주)SH에너지화학,2360,201712,198512,,0,0,0,제조업,1,0.661449466,3.46298736,-13.86592358,0.0,-41.15662483,11.35,-0.1,88.888442,1057.37,816.13,16.36,73.48,6.88,23.24,1.776491894,1.95
40,(주)SH에너지화학,2360,201812,198512,,0,0,0,제조업,1,-2.296240954,-2.138086884,-2.400691212,5.41,-85.18771344,1.7,-0.11,18.29738091,1062.09,940.6,16.17,56.94,5.29,16.27,1.723249539,1.95
41,(주)SH에너지화학,2360,201912,198512,,0,1,1,제조업,1,0.801363601,-6.064011679,-23.28239559,1.28,-249.053849,-2.55,-0.2,-27.80414243,1062.09,887.83,24.66,43.59,7.56,11.1,1.378266812,1.54
42,(주)SIMPAC,9160,201112,198907,,0,0,0,제조업,1,26.19510961,30.34391494,19.08811364,11.74,18.41861158,9.42,-0.29,858.747719,130.69,108.07,84.02,14.71,9.7,17.28,1.274796255,0.84
43,(주)SIMPAC,9160,201212,198907,,0,0,0,제조업,1,2.504565694,11.19897057,4.637518481,7.0,-7.880603224,8.0,-0.95,663.0876992,140.97,117.58,69.63,12.07,7.01,13.74,1.263183398,0.85
44,(주)SIMPAC,9160,201312,198907,,0,0,0,제조업,1,13.59431263,11.16256187,-8.698414966,0.73,-6.319362055,6.93,-1.49,689.1403708,81.19,62.03,73.34,8.23,6.13,12.74,1.037334529,0.82
45,(주)SIMPAC,9160,201412,198907,,0,0,0,제조업,1,5.512201318,4.929441837,27.8983174,10.11,-26.51534583,4.66,0.53,492.0871895,105.96,76.17,74.3,14.28,8.84,13.54,1.229809046,1.0
46,(주)SIMPAC,9160,201512,198907,,0,0,0,제조업,1,10.70698041,5.879098316,2.422845961,-2.95,22.48387432,5.28,0.44,565.5841643,102.82,69.62,82.25,11.71,8.29,14.18,1.194893667,0.86
47,(주)SIMPAC,9160,201612,198907,,0,0,0,제조업,1,-1.174925271,3.624312421,-0.910436635,3.38,10.94655434,5.61,0.42,556.4340634,113.8,84.21,73.81,12.82,8.52,14.14,1.130653592,0.79
48,(주)SIMPAC,9160,201712,198907,,0,0,0,제조업,1,-8.784458112,0.170358502,-13.64390495,-0.33,-50.36145424,2.93,0.37,443.380858,115.32,85.28,58.27,9.16,5.57,11.36,0.958497014,0.75
49,(주)SIMPAC,9160,201812,198907,,0,0,0,제조업,1,78.27578096,80.64191091,32.74267069,44.64,-12.88556978,1.92,0.5,1057.604614,135.98,87.82,56.71,5.64,4.54,16.76,0.905960631,0.75
50,(주)SIMPAC,9160,201912,198907,,0,0,0,제조업,1,-0.382099871,1.416586295,40.48147167,-1.8,9.329672564,1.64,0.35,145.0036097,131.76,91.59,53.93,15.72,8.7,9.64,0.981673693,0.82
