,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,당좌비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,종업원1인당부가가치율_계산
21,(주)SH에너지화학,2360,201812,198512,,0,0,0,제조업,1,-2.296240954,-2.138086884,-2.400691212,5.41,-85.18771344,1.64,1.7,1.97,-0.11,39.13,933.26,22.72,56.94,5.29,127.2395513
22,(주)SH에너지화학,2360,201912,198512,,0,1,1,제조업,1,0.801363601,-6.064011679,-23.28239559,1.28,-249.053849,-2.51,-2.55,-3.06,-0.2,35.02,887.83,-21.15,43.59,7.56,82.02468354
23,(주)SIMPAC,9160,201112,198907,,0,0,0,제조업,1,26.19510961,30.34391494,19.08811364,11.74,18.41861158,8.61,9.42,17.4,-0.29,20.24,108.07,20.93,14.71,9.7,185.7798054
24,(주)SIMPAC,9160,201212,198907,,0,0,0,제조업,1,2.504565694,11.19897057,4.637518481,7.0,-7.880603224,6.13,8.0,14.12,-0.95,17.53,117.58,15.51,12.07,7.01,165.4670909
25,(주)SIMPAC,9160,201712,198907,,0,0,0,제조업,1,-8.784458112,0.170358502,-13.64390495,-0.33,-50.36145424,3.23,2.93,4.86,0.37,8.35,85.28,10.1,9.16,5.57,109.5472459
26,(주)SIMPAC,9160,201812,198907,,0,0,0,제조업,1,78.86293087,80.64191091,32.74267069,48.62,-12.88556978,13.02,1.92,3.02,0.5,17.66,87.82,4.07,5.64,4.54,189.48468
27,(주)SIMPAC,9160,201912,198907,,0,0,0,제조업,1,-0.382099871,1.416586295,40.48147167,-1.8,9.329672564,1.39,1.64,2.54,0.35,15.52,91.59,3.47,15.72,8.7,103.31222
28,(주)SNT에너지,100840,201112,200802,,0,0,0,제조업,1,9.49985093,-3.661690281,-8.657168282,2.22,-183.0175364,-1.57,-2.49,-4.02,0.15,76.67,135.46,-9.21,-14.12,-8.38,-27.57027174
29,(주)SNT에너지,100840,201212,200802,,0,0,0,제조업,1,5.89131805,14.14136286,18.11849479,5.98,143.5955237,3.19,5.32,8.8,-0.27,72.32,162.88,77.44,4.27,2.03,-20.0574359
30,(주)SNT에너지,100840,201712,200802,,0,1,1,제조업,1,-13.72696557,1.748375357,-27.54850128,-10.55,692.7769383,1.41,5.92,8.28,-0.1,78.47,347.24,389.0242857,22.15,8.0,116.3751282
