회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,총자본정상영업이익률,자기자본순이익률,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,순운전자본회전률
(주)베노홀딩스,206400,201712,201412,,0,0,0,건설업,1,-0.5135060646793631,-1.6613249500475102,-2.463076923076923,-4.966796875,-1.276305683563748,-2.248186946011281,-0.20967741935483855
(주)베노홀딩스,206400,202012,201412,,0,0,0,건설업,1,-2.1002257945219567,-0.8028138768726318,-0.47538461538461535,-3.5722656249999996,-0.6822196620583718,-1.7442922374429222,-1.258064516129032
(주)베셀,177350,201512,201506,,0,0,0,제조업,1,-0.5585375892938667,0.045195208389204246,1.4476923076923076,2.1669921874999996,-0.2114055299539171,-0.18103679828095626,-0.5161290322580643
(주)베셀,177350,201612,201506,,0,0,0,제조업,1,-0.9773842426113323,-0.8308060993537996,-0.21999999999999995,0.44042968750000006,-0.691820276497696,-1.0298146655922642,-0.8064516129032256
(주)베셀,177350,201712,201506,,0,0,0,제조업,1,3.74816665306334,4.173963985316351,1.136923076923077,0.5351562499999999,-0.20602918586789556,-0.09293580445876982,-0.4032258064516127
(주)베셀,177350,202012,201506,,0,0,0,제조업,1,2.985969553215163,0.881414840396214,-0.9938461538461538,-1.0947265625,-0.3688556067588326,-0.4131077088369594,-0.5483870967741933
(주)베스파,299910,202012,201812,,0,0,0,정보통신업,0,-1.711319444850171,-3.266593341676639,-2.463076923076923,-4.966796875,-1.276305683563748,-2.248186946011281,-0.16129032258064493
(주)벽산,7210,201112,197201,,0,0,0,제조업,1,-1.1836200949540898,-0.21015658426488135,0.34307692307692317,0.4033203125,-0.1188556067588326,-0.07681976900349179,-0.12903225806451588
(주)벽산,7210,201312,197201,,0,0,0,제조업,1,1.002932633991537,0.38844760193101674,0.18461538461538465,0.05371093749999998,0.038210445468509956,-0.0005372011818425886,0.22580645161290344
(주)벽산,7210,201412,197201,,0,0,0,제조업,1,0.15121079700673426,0.5937190252211739,0.5292307692307693,0.46093749999999994,0.19566052227342545,0.06177813591189902,0.12903225806451624
(주)벽산,7210,201512,197201,,0,0,0,제조업,1,-0.033143139445019044,0.2798770180593874,0.7923076923076923,0.775390625,0.2521121351766512,0.11979586355089983,0.12903225806451624
(주)벽산,7210,201612,197201,,0,0,0,제조업,1,-0.1822822998905175,-0.15042500876059223,0.5307692307692308,0.42480468750000006,0.32661290322580644,0.2809562181036797,0.0
(주)벽산,7210,201712,197201,,0,0,0,제조업,1,-0.5026501088821047,-0.4479380990397401,0.04307692307692312,-0.11914062499999997,0.13805683563748075,0.039215686274509824,-0.11290322580645136
(주)벽산,7210,202012,197201,,0,0,0,제조업,1,-0.07642525233480693,1.5498137861212993,-0.3692307692307692,-0.6474609375,-0.10311059907834104,-0.21649207628256786,0.2580645161290325
(주)보광산업,225530,201512,201512,,0,0,0,제조업,1,1.1206770296746318,0.335495950670501,2.407692307692308,2.1845703124999996,0.5086405529953918,2.2675261885576146,0.3709677419354842
(주)보광산업,225530,201612,201512,,0,0,0,제조업,1,0.6807657915667514,-0.1533319529570551,1.3784615384615386,1.4443359374999998,0.7943548387096775,1.904378189632017,0.12903225806451624
(주)보광산업,225530,201712,201512,,0,0,0,제조업,1,-0.7539358183452973,-0.2410452308773281,0.9138461538461539,0.994140625,1.0055683563748081,2.424388933655654,-0.20967741935483855
(주)보광산업,225530,202012,201512,,0,0,0,제조업,1,0.48558309061034804,0.3299210405852089,0.4123076923076924,0.4990234375,0.4011136712749616,1.9172710179962396,-0.6774193548387095
(주)보라티알,250000,201712,201706,,0,0,0,도매 및 소매업,1,0.2660387276178504,0.07103381653426956,1.6292307692307693,0.9951171874999998,1.2859062980030722,0.9642761214074671,-0.7419354838709675
(주)보라티알,250000,202012,201706,,0,0,0,도매 및 소매업,1,0.17498155048077285,0.16459211705703167,-0.004615384615384517,-0.3125,-0.19066820276497695,-0.18211120064464142,-0.8548387096774193
(주)보락,2760,201112,198911,,0,0,0,제조업,1,0.23340570941138797,-0.4157726020148627,-0.5353846153846153,-0.548828125,-0.02937788018433182,-0.14987912973408546,0.22580645161290344
(주)보락,2760,201312,198911,,0,0,0,제조업,1,-0.291075751922375,-0.7244739734425081,-0.4538461538461538,-0.40136718749999994,0.5359062980030721,0.3314531291968842,0.41935483870967744
(주)보락,2760,201412,198911,,0,0,0,제조업,1,-0.1306620142459489,0.06727247342428853,-0.4415384615384615,-0.0771484375,0.5132488479262672,0.28955143701316133,0.40322580645161293
