,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,유동비율,당좌비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,종업원1인당부가가치율_계산,당좌자산회전률
91,(주)강원랜드,35250,201712,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,5.194032632,7.640002955,-5.426507031,1.76,-14.17986492,13.0,-2.33,12.83,317.65,317.46,2241.82,77.4,28.6,0.087636797,273.9177633,0.81
92,(주)강원랜드,35250,201812,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,1.089049143,2.443170287,-10.37169597,40.64,-18.87320515,10.23,-2.91,7.99,276.57,276.38,1834.66,64.16,28.6,0.102297441,162.9483288,0.73
93,(주)강원랜드,35250,201912,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,4.889296892,3.651801708,5.703599988,-0.9,16.35782737,11.56,-2.74,8.46,288.36,287.8,255.56,53.57,25.39,0.296412217,176.1451739,0.84
94,(주)강원랜드,35250,202012,200309,,0,1,1,"예술, 스포츠 및 여가관련 서비스업",0,-17.94650054,-12.66167297,-38.67458151,-27.86,-186.1181601,-10.68,-2.91,0.0,454.03,453.38,-21.04,-19.54,-13.66,0.184892364,1.955149475,0.56
95,(주)강원에너지,114190,201212,200911,,0,1,1,제조업,1,66.15740553,47.36466589,82.96258463,0.0,76.19348869,13.01,-0.73,54.5,151.93,144.74,58.37,-5.92,-2.95,-7.189204055,185.7486139,1.39
96,(주)갤럭시아에스엠,11420,201112,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,28.7682389,15.7754875,10.83353815,12.12,37.16385178,11.45,0.97,-7.82,157.4,157.27,6.31,30.0,12.57,0.224731996,403.7189189,1.92
97,(주)갤럭시아에스엠,11420,201212,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-2.507814392,2.505478255,16.30693493,8.11,-59.83667642,4.72,0.56,-6.74,184.17,183.89,3.79,15.5,5.09,0.33138655,243.02775,2.23
98,(주)갤럭시아에스엠,11420,201312,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-14.42142299,-17.03827947,-15.64481368,25.0,-63.98137074,1.83,0.31,-13.86,147.37,146.43,1.9,22.7,7.89,1.975418083,78.5672,2.09
99,(주)갤럭시아에스엠,11420,201412,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,20.29248395,7.967235255,-5.494311212,26.0,-156.651855,-1.02,0.7,-17.29,149.66,146.81,-0.88,10.1,5.08,5.732892269,53.96857143,1.91
100,(주)갤럭시아에스엠,11420,201512,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,51.71372899,102.2875763,42.35269766,44.64,120.1462037,3.69,0.24,-2.9,263.29,263.23,5.69,6.28,1.91,0.040939605,109.8562366,1.77
101,(주)갤럭시아에스엠,11420,201612,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-14.91168226,-9.835754376,-15.76114765,15.05,-276.7631379,-5.84,-0.15,-9.03,304.3,304.3,-18.76,4.62,1.19,0.0,46.85299065,1.28
102,(주)갤럭시아에스엠,11420,201712,198911,,1,1,1,"예술, 스포츠 및 여가관련 서비스업",0,-14.73788188,-9.705247407,-29.15850432,17.76,4.526226848,-6.55,-0.03,-24.57,328.78,328.78,-21.04,-19.54,-11.51,0.0,-2.18984127,1.12
103,(주)경농,2100,201112,197706,,0,0,0,제조업,1,-13.26769375,-6.054754713,-15.23268875,-4.94,-45.34691591,4.42,0.81,1.98,379.4,97.18,4.52,46.0,11.68,101.0102664,93.53707792,5.02
104,(주)경농,2100,201212,197706,,0,0,0,제조업,1,55.03623894,6.12141086,12.96196018,-0.65,65.83909445,4.73,1.33,5.24,138.53,38.82,5.6,7.48,6.42,258.7955288,106.6718627,3.43
105,(주)경농,2100,201312,197706,,0,0,0,제조업,1,-4.984212111,7.525104588,43.35862475,1.63,47.54082458,7.15,1.75,10.92,178.73,42.31,4.81,14.74,6.97,173.2739541,136.6358199,5.56
106,(주)경농,2100,201412,197706,,0,0,0,제조업,1,11.18751832,3.52934286,-4.010922303,9.32,-21.98556127,5.42,1.45,15.14,154.43,45.72,4.53,14.38,8.83,199.7293579,113.3140882,5.24
107,(주)경농,2100,201512,197706,,0,0,0,제조업,1,11.14413908,3.405095672,4.210224164,1.76,-17.34904953,4.03,1.45,17.7,140.92,39.99,3.96,1.71,1.24,246.6727401,106.0123699,4.51
108,(주)경농,2100,201612,197706,,0,0,0,제조업,1,1.445682244,5.32524718,3.852091789,-3.18,-24.29962062,2.88,1.2,19.71,138.91,35.77,3.5,2.24,1.51,265.0833003,112.5188358,4.75
109,(주)경농,2100,201712,197706,,0,0,0,제조업,1,4.661277896,4.448493022,1.249819233,0.9,-7.860416182,2.57,1.4,23.34,135.0,36.12,2.8,11.07,7.7,282.5157018,133.9497041,4.92
110,(주)경농,2100,201812,197706,,0,0,0,제조업,1,6.367462053,4.840364542,2.963300803,3.55,74.83590704,4.26,1.28,30.49,132.49,38.2,5.16,8.48,6.21,290.2241701,134.8708857,4.59
111,(주)경농,2100,201912,197706,,0,0,0,제조업,1,3.810538371,0.214133864,6.986128122,3.43,-41.15866756,2.39,1.61,31.24,150.9,41.85,2.2,2.84,2.11,214.2448559,121.0581215,4.54
112,(주)경농,2100,202012,197706,,0,0,0,제조업,1,0.175683612,4.699184297,9.135641085,1.1,64.33551193,3.85,1.05,33.54,143.61,40.76,5.1,4.64,2.99,235.8300381,132.1256831,4.69
