,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,총자본정상영업이익률,자기자본순이익률,금융비용부담률,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,종업원1인당부가가치율_계산
7075,에스지씨에너지(주),5090,201712,199301,,1,0,1,"전기, 가스, 증기 및 공기조절 공급업",0,-6.616314095,-1.994593521,7.564967684,-5.34,-488.7035721,1.28,-2.06,1.75,3.62,76.12,42.2,146.73,1.29,1.91,109.5345511
7076,에스지씨이테크건설(주),16250,201112,199912,,0,0,0,건설업,1,-23.18877172,-19.96903096,-12.7105181,44.44,-56.79991844,4.02,5.21,18.55,0.37,94.06,93.89,131.72,11.57,3.58,98.29259484
7077,에스지씨이테크건설(주),16250,201312,199912,,0,0,0,건설업,1,78.12143123,42.92981369,-15.02649359,-6.1,-91.1653803,-1.72,0.17,-15.72,1.2,64.64,63.66,295.78,1.39,1.6,30.66691198
7078,에스지씨이테크건설(주),16250,201412,199912,,0,0,0,건설업,1,27.97679902,14.94977079,31.42037226,-6.78,558.2374493,5.08,4.97,11.18,0.78,50.76,48.47,340.63,3.72,4.31,89.12815789
7079,에스지씨이테크건설(주),16250,201512,199912,,0,0,0,건설업,1,13.67146636,12.33826199,25.47256675,3.56,37.19644673,3.79,5.69,12.57,1.32,50.76,48.76,345.86,4.52,4.76,105.7337818
7080,에스지씨이테크건설(주),16250,201612,199912,,0,0,0,건설업,1,9.82795143,15.87496688,8.256812752,-2.99,12.52049378,5.09,5.73,16.58,1.85,56.82,55.05,322.59,7.23,7.61,118.3866718
7081,에스지씨이테크건설(주),16250,201712,199912,,0,0,0,건설업,1,8.452665227,14.4061639,23.01004156,9.24,61.53165143,4.45,8.49,11.73,1.94,74.91,71.11,300.6,11.63,10.61,105.7187306
7082,에스지씨이테크건설(주),16250,202012,199912,,0,0,0,건설업,1,-23.18877172,-33.4889481,-33.13112389,1.93,-147.3257373,15.91,-2.7,28.33,-0.06,112.43,103.02,381.96,15.37,7.12,276.0764286
7083,에스지에이(주),49470,201112,200110,,0,0,0,정보통신업,0,2.044159615,8.853035562,14.72872714,-0.66,478.2631495,1.97,5.31,2.16,0.27,163.74,156.5,48.08,-19.47,-14.14,48.87606667
7084,에스지에이(주),49470,201312,200110,,0,0,0,정보통신업,0,31.00182959,20.44039119,50.28276629,44.44,145.5871677,2.59,3.7,1.71,0.94,239.1,229.61,99.14,-8.95,-6.18,26.09073529
7085,에스지에이(주),49470,201412,200110,,0,0,0,정보통신업,0,16.67686567,18.36886398,13.9826944,-21.57,98.55856777,8.38,5.97,8.5,1.14,204.08,189.45,96.29,-0.77,-0.54,38.3001875
