,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,수지비율,유보율,자기자본구성비율,유동비율,이자보상배율,CASH FLOW 대 총자본비율,순운전자본회전률
48,(주)SIMPAC,9160,201712,198907,,0,0,0,제조업,1,-8.784458112,0.170358502,-13.64390495,-0.33,-50.36145424,2.93,0.37,95.9,1643.73,63.18270675,115.32,10.1,3.37,0.75
49,(주)SIMPAC,9160,201812,198907,,0,0,0,제조업,1,78.86293087,80.64191091,32.74267069,63.93,-12.88556978,1.92,0.5,80.75,1277.69,63.81112525,135.98,4.07,2.04,0.75
50,(주)SIMPAC,9160,201912,198907,,0,0,0,제조업,1,-0.382099871,1.416586295,40.48147167,-1.8,9.329672564,1.64,0.35,97.01,1296.53,64.96328955,131.76,3.47,5.51,0.82
51,(주)SIMPAC,9160,202012,198907,,0,0,0,제조업,1,8.559551973,5.16566483,-14.93235868,-1.43,-30.10362597,1.1,0.6,89.67,1389.64,62.93234829,141.82,2.64,1.39,0.66
52,(주)SNT에너지,100840,201112,200802,,0,0,0,제조업,1,9.49985093,-3.661690281,-8.657168282,2.22,-183.0175364,-2.49,0.15,102.62,4775.29,58.07919994,151.52,-9.21,-5.92,0.91
53,(주)SNT에너지,100840,201212,200802,,0,0,0,제조업,1,5.89131805,14.14136286,18.11849479,5.98,143.5955237,5.32,-0.27,95.11,5074.77,62.60417905,182.56,77.44,1.6,0.94
54,(주)SNT에너지,100840,201312,200802,,0,0,0,제조업,1,6.445735983,8.105755924,-12.98465446,7.18,11.0463951,5.56,-0.56,90.16,5494.23,63.58049045,197.1,50.81,7.5,0.77
55,(주)SNT에너지,100840,201412,200802,,0,0,0,제조업,1,-2.298373815,4.818130776,20.91940132,4.31,-18.01169455,4.47,-0.31,93.92,5763.77,68.2116401,222.54,41.09,-0.76,0.93
56,(주)SNT에너지,100840,201512,200802,,0,0,0,제조업,1,3.837053075,11.40395236,7.146191304,6.42,146.181537,10.93,-0.18,86.36,6432.47,73.18241494,286.28,359.1,-3.57,1.05
57,(주)SNT에너지,100840,201612,200802,,0,0,0,제조업,1,10.07167717,-0.691604331,-2.308449238,-6.03,-96.47637586,0.36,-0.09,98.68,6387.29,66.02632399,207.24,389.0242857,5.35,0.9
58,(주)SNT에너지,100840,201712,200802,,0,1,1,제조업,1,-13.72696557,1.748375357,-27.54850128,-10.55,1506.660871,5.92,-0.1,96.8,6500.71,77.86988416,351.97,389.0242857,4.9,0.69
59,(주)SNT홀딩스,36530,201112,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.886024318,7.591926828,11.02629503,0.0,0.091018683,5.79,-0.01,92.91,6053.63,61.69945603,174.28,16.87,3.65,1.06
60,(주)SNT홀딩스,36530,201212,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.349571484,0.535114109,0.294729128,0.0,-28.88774228,4.08,-0.11,95.25,6539.94,63.52211605,184.89,20.28,3.48,1.05
61,(주)SNT홀딩스,36530,201312,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,3.579555216,4.274764453,-5.53596676,-11.11,-1.044982685,4.01,-0.19,95.53,6793.14,63.94846622,188.1,30.38,3.52,0.99
62,(주)SNT홀딩스,36530,201412,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-5.108346682,-1.333292015,-1.52208437,0.0,-22.75182731,3.13,-0.24,95.25,7118.65,66.49251459,208.24,34.38,4.64,1.0
63,(주)SNT홀딩스,36530,201512,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.370655606,12.77307699,3.889017186,0.0,146.5975508,7.68,-0.28,89.46,7370.38,70.49468131,263.0,218.55,4.97,1.06
64,(주)SNT홀딩스,36530,201612,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,1.883875307,0.107472354,-4.653343476,0.0,-55.25201112,3.3,-0.3,97.69,7190.35,69.26556669,247.45,286.46,5.98,0.94
65,(주)SNT홀딩스,36530,201712,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.895851587,-0.757692402,-1.921580134,-12.5,-16.11155647,2.78,-0.3,98.05,7297.38,70.79074157,264.63,178.66,5.78,0.91
66,(주)SNT홀딩스,36530,201812,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-1.506883918,-1.054283563,-7.084474287,42.86,19.81125792,3.41,-0.48,92.95,7869.89,71.11604263,306.08,59.79,5.51,0.88
67,(주)SNT홀딩스,36530,201912,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,5.811450601,8.159352782,7.907406791,0.0,73.81535328,5.81,-0.61,90.6,9259.26,72.69407138,312.26,184.05,4.88,0.94
68,(주)SNT홀딩스,36530,202012,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,1.511469219,-0.516871344,-5.049873056,-10.0,0.640743452,5.64,-0.43,93.0,10362.75,71.24154257,269.15,152.96,7.72,0.85
69,(주)STX,11810,201112,199009,,0,0,0,도매 및 소매업,1,-78.0164777,-55.06736808,-69.5639924,-39.04,-45.16695439,4.14,2.05,97.59,1050.65,36.60446966,70.06,1.66,-0.33,1.39
70,(주)STX,11810,201212,199009,,0,0,0,도매 및 소매업,1,-3.19335903,-21.36301621,3.21981614,-4.34,-275.105282,-7.98,1.78,108.17,655.36,29.73416967,62.81,-3.12,3.02,1.68
71,(주)STX,11810,201312,199009,,1,1,1,도매 및 소매업,1,-73.50478949,-133.8278114,-60.23602847,-52.8,-134.1164185,-30.01,3.01,148.06,-416.07,-37.96315884,62.06,-10.71,14.21,0.83
72,(주)TCC스틸,2710,201112,198412,,0,0,0,제조업,1,42.93297362,41.81268227,16.27230507,-2.78,-27.43072417,2.63,1.36,98.75,1343.62,49.62080671,110.8,1.41,-3.25,1.55
73,(주)TCC스틸,2710,201212,198412,,0,0,0,제조업,1,20.40027424,0.246987287,-2.543926198,1.27,-48.04523837,1.19,1.78,99.86,1254.33,41.31499211,113.94,0.57,-1.36,1.32
74,(주)TCC스틸,2710,201312,198412,,1,0,1,제조업,1,-0.604258967,-8.964950568,-0.1006749,-2.51,-230.532425,-1.42,2.24,104.23,1064.71,37.83977371,141.27,-0.59,-3.11,1.27
75,(주)가비아,79940,201112,200510,,0,0,0,정보통신업,0,27.48236786,36.62566069,29.67804843,23.23,23.63744105,13.88,-0.44,83.57,351.5,74.92288749,207.38,22.28,15.32,1.41
76,(주)가비아,79940,201212,200510,,0,0,0,정보통신업,0,31.23739501,21.12267188,30.69573941,10.47,-6.856484807,10.15,-5.46,84.5,447.19,69.14843377,215.35,15.43,13.42,1.54
77,(주)가비아,79940,201312,200510,,0,0,0,정보통신업,0,7.023066528,16.3795734,2.342114784,8.06,-7.696337593,7.97,-3.97,85.09,534.07,75.19374547,249.42,15.81,14.27,1.42
78,(주)가비아,79940,201412,200510,,0,0,0,정보통신업,0,8.015646473,10.07208766,13.80460418,8.33,19.18224544,8.83,-0.32,90.17,582.67,76.62531136,258.29,24.59,14.73,1.45
79,(주)가비아,79940,201512,200510,,0,0,0,정보통신업,0,6.634083479,11.37131491,13.94540537,6.07,35.38728866,11.15,-0.42,89.16,664.04,80.02939964,395.42,64.83,16.88,1.48
80,(주)가비아,79940,201612,200510,,0,0,0,정보통신업,0,19.71343442,14.09778365,11.48992289,2.29,10.5749851,10.87,-0.36,89.16,699.68,76.27529165,295.5,83.64,14.76,1.4
81,(주)가비아,79940,201712,200510,,0,0,0,정보통신업,0,6.030227139,4.111102986,13.73958056,2.61,1.298068675,9.81,-0.28,90.55,745.49,74.89472539,224.87,53.72,14.36,1.32
82,(주)가비아,79940,201812,200510,,0,0,0,정보통신업,0,13.53843992,14.30577361,10.7646865,1.82,43.07917217,12.77,-0.28,86.32,853.3,75.40089093,262.0,62.3,13.97,1.27
83,(주)가비아,79940,201912,200510,,0,0,0,정보통신업,0,32.00968327,18.19082721,15.20910244,-1.07,30.50368396,13.51,0.03,83.72,1007.26,67.50787859,201.58,34.25,14.71,1.25
84,(주)가비아,79940,202012,200510,,0,0,0,정보통신업,0,30.06717252,28.33782898,13.98321998,7.58,20.25832179,12.41,-0.29,84.09,1231.0,66.61030919,244.16,58.63,16.74,1.11
85,(주)강원랜드,35250,201112,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,3.866238169,7.469802391,-3.683470629,2.14,-13.66902279,18.36,-3.11,61.71,2166.21,83.25445203,263.97,1142.61,16.61,0.8
86,(주)강원랜드,35250,201212,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,7.201202725,5.079568924,2.410138672,1.24,-17.1272683,14.41,-3.55,69.19,2280.19,81.60675168,224.82,565.68,14.87,0.79
87,(주)강원랜드,35250,201312,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,6.721867694,6.141140325,5.022050284,14.86,-4.156014781,12.92,-3.03,70.29,2416.09,81.16268829,189.47,1421.81,14.04,0.82
88,(주)강원랜드,35250,201412,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,8.803584759,7.453677967,9.935809491,-1.8,32.24675992,15.85,-3.0,65.36,2591.54,80.1557172,219.66,2073.72,13.85,0.82
89,(주)강원랜드,35250,201512,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,9.352670699,10.80809917,9.166161006,0.81,16.02354386,16.85,-2.49,64.66,2864.9,81.22254906,263.38,2623.81,14.7,0.74
90,(주)강원랜드,35250,201612,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,7.808507152,8.505439456,3.844954676,0.25,3.899205631,16.13,-2.29,65.73,3103.31,81.7476154,251.71,836.02,14.72,0.69
91,(주)강원랜드,35250,201712,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,5.194032632,7.640002955,-5.426507031,1.76,-14.17986492,13.0,-2.33,66.19,3335.69,83.64840993,317.65,2241.82,12.66,0.6
92,(주)강원랜드,35250,201812,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,1.089049143,2.443170287,-10.37169597,40.64,-18.87320515,10.23,-3.05,72.47,3415.74,84.76890796,276.57,1834.66,9.77,0.55
93,(주)강원랜드,35250,201912,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,4.889296892,3.651801708,5.703599988,-0.9,16.35782737,11.56,-2.74,69.67,3538.18,83.76879529,288.36,255.56,8.69,0.62
94,(주)강원랜드,35250,202012,200309,,0,1,1,"예술, 스포츠 및 여가관련 서비스업",0,-17.94650054,-12.66167297,-68.51621463,-27.86,-186.1181601,-10.68,-5.28,173.05,3098.14,89.16410007,454.03,-230.09,-3.4,0.22
95,(주)강원에너지,114190,201212,200911,,0,1,1,제조업,1,66.15740553,47.36466589,111.9973776,0.0,76.19348869,13.01,-0.73,89.58,581.28,40.45334408,151.93,58.37,-3.52,0.8
96,(주)갤럭시아에스엠,11420,201112,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,28.7682389,15.7754875,10.83353815,12.12,37.16385178,11.45,0.97,91.36,143.1,56.02708389,157.4,6.31,13.19,1.17
97,(주)갤럭시아에스엠,11420,201212,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-2.507814392,2.505478255,16.30693493,8.11,-59.83667642,4.72,0.56,98.48,149.31,58.90813703,184.17,3.79,6.37,1.44
98,(주)갤럭시아에스엠,11420,201312,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-14.42142299,-17.03827947,-15.64481368,25.0,-63.98137074,1.83,0.31,103.29,119.07,57.10682009,147.37,1.9,9.74,1.3
99,(주)갤럭시아에스엠,11420,201412,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,20.29248395,7.967235255,-5.494311212,26.0,-156.651855,-1.02,0.7,100.3,136.52,51.25561696,149.66,-0.88,4.92,1.13
100,(주)갤럭시아에스엠,11420,201512,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,51.71372899,114.3415348,42.35269766,47.62,120.1462037,3.69,0.24,95.97,261.09,72.4140635,263.29,5.69,1.73,1.18
101,(주)갤럭시아에스엠,11420,201612,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-14.91168226,-9.835754376,-15.76114765,15.05,-276.7631379,-5.84,-0.15,103.2,225.57,76.73391108,304.3,-18.76,1.07,0.94
102,(주)갤럭시아에스엠,11420,201712,198911,,1,1,1,"예술, 스포츠 및 여가관련 서비스업",0,-14.73788188,-9.705247407,-29.15850432,17.76,4.526226848,-6.55,-0.03,117.38,193.97,81.26316434,328.78,-35.52,-8.61,0.85
103,(주)경농,2100,201112,197706,,0,0,0,제조업,1,-13.26769375,-6.054754713,-15.23268875,-4.94,-45.34691591,4.42,0.81,98.23,1278.16,82.28281335,379.4,4.52,8.15,1.02
104,(주)경농,2100,201212,197706,,0,0,0,제조업,1,55.03623894,6.12141086,12.96196018,-0.65,65.83909445,4.73,1.33,91.22,1319.33,56.32211089,138.53,5.6,3.27,0.56
105,(주)경농,2100,201312,197706,,0,0,0,제조업,1,-4.984212111,7.525104588,43.35862475,1.63,47.54082458,7.15,1.75,91.18,1409.85,63.73720619,178.73,4.81,5.34,0.88
106,(주)경농,2100,201412,197706,,0,0,0,제조업,1,11.18751832,3.52934286,-4.010922303,9.32,-21.98556127,5.42,1.45,94.21,1449.95,59.34722865,154.43,4.53,5.84,0.87
107,(주)경농,2100,201512,197706,,0,0,0,제조업,1,11.14413908,3.405095672,4.210224164,1.76,-17.34904953,4.03,1.45,95.69,1485.56,55.21484,140.92,3.96,0.77,0.78
108,(주)경농,2100,201612,197706,,0,0,0,제조업,1,1.445682244,5.32524718,3.852091789,-3.18,-24.29962062,2.88,1.2,96.36,1531.29,57.326409,138.91,3.5,0.96,0.75
109,(주)경농,2100,201712,197706,,0,0,0,제조업,1,4.661277896,4.448493022,1.249819233,0.9,-7.860416182,2.57,1.4,94.07,1583.5,57.20985976,135.0,2.8,4.74,0.75
110,(주)경농,2100,201812,197706,,0,0,0,제조업,1,6.367462053,4.840364542,2.963300803,3.55,74.83590704,4.26,1.28,94.89,1639.37,56.38850863,132.49,5.16,3.7,0.73
111,(주)경농,2100,201912,197706,,0,0,0,제조업,1,3.810538371,0.214133864,6.986128122,3.43,-41.15866756,2.39,1.61,96.84,1648.84,54.43498937,150.9,2.2,1.29,0.75
112,(주)경농,2100,202012,197706,,0,0,0,제조업,1,0.175683612,4.699184297,9.135641085,1.1,64.33551193,3.85,1.05,93.19,1729.2,56.89303809,143.61,5.1,2.0,0.78
113,(주)경동나비엔,9450,201112,199308,,0,0,0,제조업,1,12.51894039,9.344704821,10.83480968,6.88,-3.313199158,4.95,0.07,96.51,1216.19,63.87064514,158.59,12.0,7.21,1.73
114,(주)경동나비엔,9450,201212,199308,,0,0,0,제조업,1,13.87435129,4.616387393,11.06745296,12.16,12.10645428,4.95,0.03,97.0,1270.59,58.67797339,145.1,11.7,7.2,1.66
115,(주)경동나비엔,9450,201312,199308,,0,0,0,제조업,1,18.36654987,6.485042473,9.277567312,-7.91,42.07705702,6.05,0.13,96.31,1360.07,52.78794132,89.68,14.4,6.84,1.57
116,(주)경동나비엔,9450,201412,199308,,0,0,0,제조업,1,13.21357111,1.46351855,3.575230616,5.68,-31.94244252,3.56,0.49,97.5,1380.39,47.30925993,85.84,4.93,0.95,1.36
117,(주)경동나비엔,9450,201512,199308,,0,0,0,제조업,1,0.105913485,8.448884413,19.35864525,4.46,79.89887838,6.03,0.45,95.78,1505.49,51.25208175,89.35,6.98,3.79,1.5
118,(주)경동나비엔,9450,201612,199308,,0,0,0,제조업,1,6.88172339,15.86088841,13.90965924,14.3,89.20849172,11.02,0.24,91.88,1758.06,55.55778422,98.83,25.05,12.22,1.69
119,(주)경동나비엔,9450,201712,199308,,0,0,0,제조업,1,17.20574729,7.431791022,17.38663508,7.03,4.200339602,10.23,0.17,94.71,1918.58,50.92474048,105.03,30.33,8.08,1.7
120,(주)경동나비엔,9450,201812,199308,,0,0,0,제조업,1,15.86242814,9.199423514,6.146203681,10.05,-14.56291653,7.51,0.43,95.33,2101.97,47.99616573,104.32,11.32,0.5,1.44
121,(주)경동나비엔,9450,201912,199308,,0,0,0,제조업,1,4.491554633,7.475450799,6.542777793,8.76,9.859214268,7.51,0.46,93.92,2266.35,49.36676047,101.49,11.06,5.27,1.4
122,(주)경동나비엔,9450,202012,199308,,0,0,0,제조업,1,20.47863012,15.65267449,12.8011759,17.99,49.69175791,9.98,0.39,94.17,2463.92,47.38929944,106.64,16.97,9.27,1.41
123,(주)경동도시가스,267290,201812,201705,,0,0,0,"전기, 가스, 증기 및 공기조절 공급업",0,9.5721968,8.887311773,84.33079343,0.0,96.89878415,5.73,-0.14,97.25,2615.41,41.17982625,118.17,98.82,9.0,2.1
124,(주)경동도시가스,267290,201912,201705,,0,0,0,"전기, 가스, 증기 및 공기조절 공급업",0,-3.632435028,5.966477764,-11.4422898,0.36,-34.23110873,3.67,-0.17,97.76,2202.7,45.28163749,123.03,29.28,10.31,1.85
