,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,자기자본정상영업이익률,금융비용부담률,1주당순이익,1주당 CASH FLOW,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,부가가치율,종업원1인당부가가치율_계산,자본집약도_계산,타인자본회전률,순운전자본회전률
3530,크루셜텍(주),114120,201212,201007,,0,0,0,제조업,1,0.3578778246089592,-1.604924009111668,-1.1993410214168039,0.5649350649350648,-0.656279209885197,-0.3694711943089541,-0.680741910023678,-0.9547461368653422,-0.8192898781134077,-1.0458638537214016,-0.18081457798875034,-0.26905829596412567,-0.2187500000000002
3531,키네마스터(주),139670,201212,201112,,0,0,0,정보통신업,0,1.1631040270404582,0.5117600110000045,1.4019769357495884,-1.87012987012987,0.13084652470891253,-0.029097490801719306,3.2213891081294395,1.6467991169977927,0.320084790673026,-0.5734084510109054,-0.5483084906236291,1.3991031390134532,-0.5625000000000001
3532,태경산업(주),15890,201212,199601,,0,0,0,제조업,1,-0.12413467082473043,-0.3456634633931508,0.06589785831960467,-0.2987012987012987,0.34913893117711386,0.20398394164557804,0.32280978689818474,0.2284768211920529,0.25119236883942764,0.3475678440426785,0.1295727309717385,0.09417040358744395,0.20312499999999983
3533,태경산업(주),15890,201812,199601,,0,0,0,제조업,1,-0.20829478809947025,0.27609327083339397,0.032125205930807296,0.2792207792207792,0.08379943547712557,0.0008106473044242232,0.009076558800315724,-0.04966887417218545,0.05458399576046623,0.26663144532447847,0.00481502824935912,0.07623318385650223,0.7031249999999999
3534,태경산업(주),15890,201912,199601,,0,0,0,제조업,1,-0.5982241289647463,-0.5604759000718054,-0.3673805601317957,0.1883116883116883,0.3751431021981096,0.7160953692131394,0.22138910812943968,0.20971302428256064,0.4207737148913619,1.207209056621031,-0.045704076493088906,-0.026905829596412585,0.34374999999999994
3535,태경케미컬(주),6890,201212,200301,,0,0,0,제조업,1,0.011817487164235172,-0.13318829180781308,0.12520593080724873,-2.1818181818181817,0.18074795499541746,0.07321284971951408,1.9913180741910024,0.9746136865342161,0.2819289878113408,0.7559787411426633,0.5386769476495422,0.8699551569506726,0.14062499999999978
3536,태경케미컬(주),6890,201812,200301,,0,0,0,제조업,1,-0.3550032270469858,0.9198875239949269,-0.38550247116968694,-2.090909090909091,-0.10290750281314252,-0.10287061767948673,0.9704025256511443,0.684326710816777,0.31796502384737685,0.20026098363599393,0.6384908461256987,0.4349775784753363,0.8437499999999997
3537,태경케미컬(주),6890,201912,200301,,0,0,0,제조업,1,-0.8012525654728285,-0.6558853961741297,-0.5527182866556837,-2.1818181818181817,0.35414316893057995,1.1266121089800825,3.897395422257301,2.43598233995585,1.3248542660307365,0.144095620727111,0.8680806174408441,0.09865470852017928,-0.2968750000000001
3538,태광산업(주),3240,201212,197512,,0,0,0,제조업,1,-0.5702267398514637,-0.6331812311470029,-0.07907742998352553,-0.09740259740259742,11.313521373728783,13.140001190915845,1.37095501183899,1.1920529801324504,-0.34181240063593016,-0.21860287045317395,1.1523556874884364,0.23766816143497754,0.7968749999999997
3539,태광산업(주),3240,201812,197512,,0,0,0,제조업,1,0.12724147830667035,0.48179805875756965,0.1787479406919275,-0.6038961038961038,11.313521373728783,13.140001190915845,0.909234411996843,0.6324503311258277,-0.005829358770535212,1.5837814793239988,1.988192457236587,0.3811659192825113,0.10937499999999975
