,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,종업원수증가율,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,수지비율,CASH FLOW 대 총자본비율,총자본투자효율,순운전자본회전률
82,(주)가비아,79940,201812,200510,,0,0,0,정보통신업,0,13.53843992,1.82,12.77,16.99,-0.28,86.32,13.97,41.1,1.27
83,(주)가비아,79940,201912,200510,,0,0,0,정보통신업,0,32.00968327,-1.07,13.51,19.05,0.03,83.72,14.71,66.57,1.25
84,(주)가비아,79940,202012,200510,,0,0,0,정보통신업,0,30.06717252,7.58,12.41,18.53,-0.29,84.09,16.74,35.27,1.11
85,(주)강원랜드,35250,201112,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,3.866238169,2.14,18.36,22.43,-3.11,61.71,16.61,28.7,0.8
86,(주)강원랜드,35250,201212,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,7.201202725,1.24,14.41,17.49,-3.55,69.19,14.87,24.52,0.79
87,(주)강원랜드,35250,201312,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,6.721867694,14.86,12.92,15.87,-3.03,70.29,14.04,27.01,0.82
88,(주)강원랜드,35250,201412,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,8.803584759,-1.8,15.85,19.65,-3.0,65.36,13.85,26.79,0.82
89,(주)강원랜드,35250,201512,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,9.352670699,0.81,16.85,20.88,-2.49,64.66,14.7,27.67,0.74
90,(주)강원랜드,35250,201612,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,7.808507152,0.25,16.13,19.79,-2.29,65.73,14.72,26.22,0.69
91,(주)강원랜드,35250,201712,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,5.194032632,1.76,13.0,15.72,-2.33,66.19,12.66,23.89,0.6
92,(주)강원랜드,35250,201812,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,1.089049143,40.64,10.23,12.15,-3.05,72.47,9.77,19.7,0.55
93,(주)강원랜드,35250,201912,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,4.889296892,-0.9,11.56,13.72,-2.74,69.67,8.69,20.46,0.62
94,(주)강원랜드,35250,202012,200309,,0,1,1,"예술, 스포츠 및 여가관련 서비스업",0,-17.94650054,-27.86,-10.68,-12.39,-5.28,173.05,-3.4,0.81,0.22
95,(주)강원에너지,114190,201212,200911,,0,1,1,제조업,1,66.15740553,0.0,13.01,32.16,-0.73,89.58,-3.52,21.02,0.8
96,(주)갤럭시아에스엠,11420,201112,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,28.7682389,12.12,11.45,20.44,0.97,91.36,13.19,36.11,1.17
97,(주)갤럭시아에스엠,11420,201212,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-2.507814392,8.11,4.72,8.01,0.56,98.48,6.37,25.7,1.44
98,(주)갤럭시아에스엠,11420,201312,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-14.42142299,25.0,1.83,3.15,0.31,103.29,9.74,12.06,1.3
99,(주)갤럭시아에스엠,11420,201412,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,20.29248395,26.0,-1.02,-1.89,0.7,100.3,4.92,12.1,1.13
100,(주)갤럭시아에스엠,11420,201512,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,51.71372899,47.62,3.69,5.76,0.24,95.97,1.73,15.59,1.18
101,(주)갤럭시아에스엠,11420,201612,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-14.91168226,15.05,-5.84,-7.85,-0.15,103.2,1.07,9.68,0.94
102,(주)갤럭시아에스엠,11420,201712,198911,,1,1,1,"예술, 스포츠 및 여가관련 서비스업",0,-14.73788188,17.76,-6.55,-8.31,-0.03,117.38,-8.61,-0.32,0.85
103,(주)경농,2100,201112,197706,,0,0,0,제조업,1,-13.26769375,-4.94,4.42,5.37,0.81,98.23,8.15,15.24,1.02
104,(주)경농,2100,201212,197706,,0,0,0,제조업,1,55.03623894,-0.65,4.73,8.39,1.33,91.22,3.27,14.5,0.56
105,(주)경농,2100,201312,197706,,0,0,0,제조업,1,-4.984212111,1.63,7.15,11.93,1.75,91.18,5.34,20.75,0.88
106,(주)경농,2100,201412,197706,,0,0,0,제조업,1,11.18751832,9.32,5.42,8.83,1.45,94.21,5.84,16.63,0.87
107,(주)경농,2100,201512,197706,,0,0,0,제조업,1,11.14413908,1.76,4.03,7.05,1.45,95.69,0.77,14.83,0.78
108,(주)경농,2100,201612,197706,,0,0,0,제조업,1,1.445682244,-3.18,2.88,5.11,1.2,96.36,0.96,15.03,0.75
109,(주)경농,2100,201712,197706,,0,0,0,제조업,1,4.661277896,0.9,2.57,4.49,1.4,94.07,4.74,16.59,0.75
110,(주)경농,2100,201812,197706,,0,0,0,제조업,1,6.367462053,3.55,4.26,7.5,1.28,94.89,3.7,16.22,0.73
111,(주)경농,2100,201912,197706,,0,0,0,제조업,1,3.810538371,3.43,2.39,4.31,1.61,96.84,1.29,15.09,0.75
112,(주)경농,2100,202012,197706,,0,0,0,제조업,1,0.175683612,1.1,3.85,6.91,1.05,93.19,2.0,17.84,0.78
113,(주)경동나비엔,9450,201112,199308,,0,0,0,제조업,1,12.51894039,6.88,4.95,7.56,0.07,96.51,7.21,23.05,1.73
114,(주)경동나비엔,9450,201212,199308,,0,0,0,제조업,1,13.87435129,12.16,4.95,8.1,0.03,97.0,7.2,22.83,1.66
115,(주)경동나비엔,9450,201312,199308,,0,0,0,제조업,1,18.36654987,-7.91,6.05,10.9,0.13,96.31,6.84,22.33,1.57
116,(주)경동나비엔,9450,201412,199308,,0,0,0,제조업,1,13.21357111,5.68,3.56,7.14,0.49,97.5,0.95,20.16,1.36
